instrument_type,symbol,scrip_name,scrip_code,isin,isin_reinvestment
Equity,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,533573,INE901L01018,
Equity,ALFAICA,ALFA ICA (INDIA) LTD.,530973,INE042C01010,
Equity,ALFATRAN,ALFA TRANSFORMERS LTD.,517546,INE209C01015,
Equity,ALFAVIO,ALFAVISION OVERSEAS (INDIA) LTD.,531156,INE883B01027,
Equity,ALFREDHE,ALFRED HERBERT (INDIA) LTD.,505216,INE782D01027,
Equity,ALKALI,ALKALI METALS LTD.,533029,INE773I01017,
Equity,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,506767,INE150B01039,
Equity,ALLCARGO,ALLCARGO LOGISTICS LTD.,532749,INE418H01029,
Equity,AIML,ALLIANCE INTEGRATED METALIKS LTD.,534064,INE123D01024,
Equity,ADSL,ALLIED DIGITAL SERVICES LTD.,532875,INE102I01027,
Equity,ALLSEC,ALLSEC TECHNOLOGIES LTD.,532633,INE835G01018,
Equity,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.,531400,INE326B01027,
Equity,ALNATRD,ALNA TRADING & EXPORTS LTD.,506120,INE07I701011,
Equity,ALOKINDS,ALOK INDUSTRIES LTD.,521070,INE270A01029,
Equity,ALPA,ALPA LABORATORIES LTD.,532878,INE385I01010,
Equity,ALPHAGEO,ALPHAGEO (INDIA) LTD.-$,526397,INE137C01018,
Equity,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,526519,INE840D01015,
Equity,ALPSINDUS,ALPS INDUSTRIES LTD.,530715,INE093B01015,
Equity,ALUFLUOR,ALUFLUORIDE LTD.,524634,INE058F01019,
Equity,AMAL,AMAL LTD.,506597,INE841D01013,
Equity,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.,501622,INE492N01022,
Equity,AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.,521097,INE484D01012,
Equity,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,500009,INE432A01017,
Equity,AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD.,532335,INE792B01012,
Equity,AMBIKCO,AMBIKA COTTON MILLS LTD.,531978,INE540G01014,
Equity,AMBIT,AMBITIOUS PLASTOMAC COMPANY LTD.,526439,INE267C01013,
Equity,AMBUJACEM,AMBUJA CEMENTS LTD.,500425,INE079A01024,
Equity,AMCOIND,AMCO INDIA LTD.-$,530133,INE924B01011,
Equity,AMDIND,AMD INDUSTRIES LTD.,532828,INE005I01014,
Equity,AMFORG,AMFORGE INDUSTRIES LTD.,513117,INE991A01020,
Equity,AMNPLST,AMINES & PLASTICIZERS LTD.,506248,INE275D01022,
Equity,AMITINT,AMIT INTERNATIONAL LTD.,531300,INE053D01015,
Equity,AMJLAND,AMJ Land Holdings Ltd,500343,INE606A01024,
Equity,AMRAPLIN,AMRAPALI INDUSTRIES LTD.,526241,INE762C01021,
Equity,AMRAAGRI,AMRAWORLD AGRICO LTD.,531991,INE735C01027,
Equity,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,590006,INE098F01031,
Equity,AMS,AMS Polymers Ltd,540066,INE345U01019,
Equity,ACL,ANDHRA CEMENTS LTD.,532141,INE666E01020,
Equity,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,500012,INE714B01016,
Equity,ANDHRSUGAR,ANDHRA SUGARS LTD.,590062,INE715B01021,
Equity,ANDREWYU,ANDREW YULE & COMPANY LTD.,526173,INE449C01025,
Equity,ANG,ANG Lifesciences India Ltd,540694,INE236W01016,
Equity,ANIKINDS,ANIK INDUSTRIES LTD.,519383,INE087B01017,
Equity,ANJANIFIN,ANJANI FINANCE LTD.,531878,INE283D01018,
Equity,APCL,ANJANI PORTLAND CEMENT LTD.-$,518091,INE071F01012,
Equity,ANJANI,ANJANI SYNTHETICS LTD.-$,531223,INE364D01032,
Equity,ANKIN,ANKA INDIA LTD.,531673,INE067C01025,
Equity,ANKITMETAL,ANKIT METAL & POWER LTD.,532870,INE106I01010,
Equity,ANNAINFRA,ANNA INFRASTRUCTURES LTD.,530799,INE336D01014,
Equity,ANSINDUS,ANS Industries Ltd,531406,INE234J01018,
Equity,ANSALBU,ANSAL BUILDWELL LTD.-$,523007,INE030C01015,
Equity,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,500013,INE436A01026,
Equity,ANSHNCO,ANSHUNI COMMERCIALS LTD.,512091,INE425H01016,
Equity,ANUHPHR,ANUH PHARMA LTD.,506260,INE489G01022,
Equity,APARINDS,APAR INDUSTRIES LTD.,532259,INE372A01015,
Equity,APCOTEXIND,APCOTEX INDUSTRIES LTD.,523694,INE116A01032,
Equity,APIS,APIS INDIA LTD.,506166,INE070K01014,
Equity,APLAPOLLO,APL APOLLO TUBES LTD.,533758,INE702C01027,
Equity,APLAB,APLAB LTD.-$,517096,INE273A01015,
Equity,APMIN,APM INDUSTRIES LTD.-$,523537,INE170D01025,
Equity,APOLLOFI,APOLLO FINVEST (INDIA) LTD.,512437,INE412D01013,
Equity,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,508869,INE437A01024,
Equity,APOLLOTYRE,APOLLO TYRES LTD.,500877,INE438A01022,
Equity,APTPACK,APT PACKAGING LTD.,506979,INE046E01025,
Equity,APTECHT,APTECH LTD.,532475,INE266F01018,
Equity,ARAVALIS,ARAVALI SECURITIES & FINANCE LTD.,512344,INE068C01015,
Equity,ARCFIN,ARC Finance Ltd,540135,INE202R01026,
Equity,ARCEEIN,ARCEE INDUSTRIES LTD.,520121,INE276D01012,
Equity,ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD.,532994,INE877I01016,
Equity,ARCHIES,ARCHIES LTD.,532212,INE731A01020,
