instrument_type,symbol,scrip_name,scrip_code,isin,isin_reinvestment
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT - NOV 2026 INDEX FUND - DIRECT GROWTH,,INF194KB1ET9,
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT - NOV 2026 INDEX FUND - DIRECT IDCW,,INF194KB1EU7,INF194KB1EV5
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT - NOV 2026 INDEX FUND - REGULAR GROWTH,,INF194KB1EW3,
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT - NOV 2026 INDEX FUND - REGULAR IDCW,,INF194KB1EX1,INF194KB1EY9
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT - SEP27 INDEX FUND - DIRECT GROWTH,,INF194KB1EZ6,
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT APRIL 2032 INDEX FUND - DIRECT GROWTH,,INF194KB1EN2,
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT APRIL 2032 INDEX FUND - DIRECT IDCW,,INF194KB1EO0,INF194KB1EP7
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT APRIL 2032 INDEX FUND - REGULAR GROWTH,,INF194KB1EQ5,
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT APRIL 2032 INDEX FUND - REGULAR IDCW,,INF194KB1ER3,INF194KB1ES1
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT SEP27 INDEX FUND - DIRECT IDCW,,INF194KB1FA6,INF194KB1FB4
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT SEP27 INDEX FUND - REGULAR GROWTH,,INF194KB1FC2,
Mutual Fund,,BANDHAN CRISIL IBX 90:10 SDL PLUS GILT SEP27 INDEX FUND - REGULAR IDCW,,INF194KB1FD0,INF194KB1FE8
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2026 INDEX FUND - DIRECT PLAN - GROWTH,,INF194KB1EH4,
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2026 INDEX FUND - DIRECT PLAN - IDCW,,INF194KB1EI2,INF194KB1EJ0
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2026 INDEX FUND - REGULAR PLAN - GROWTH,,INF194KB1EK8,
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2026 INDEX FUND - REGULAR PLAN - IDCW,,INF194KB1EL6,INF194KB1EM4
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2032 INDEX FUND - DIRECT GROWTH,,INF194KB1FF5,
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2032 INDEX FUND - DIRECT IDCW,,INF194KB1FG3,INF194KB1FH1
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2032 INDEX FUND - REGULAR GROWTH,,INF194KB1FI9,
Mutual Fund,,BANDHAN CRISIL IBX GILT APRIL 2032 INDEX FUND - REGULAR IDCW,,INF194KB1FJ7,INF194KB1FK5
Mutual Fund,,BANDHAN CRISIL IBX Gilt April 2028 Index Fund Direct Plan-Growth,,INF194KB1BV1,
Mutual Fund,,BANDHAN CRISIL IBX Gilt April 2028 Index Fund Direct Plan-IDCW,,INF194KB1BW9,INF194KB1BX7
Mutual Fund,,BANDHAN CRISIL IBX Gilt April 2028 Index Fund Regular Plan-Growth,,INF194KB1BS7,
Mutual Fund,,BANDHAN CRISIL IBX Gilt April 2028 Index Fund Regular Plan-IDCW,,INF194KB1BT5,INF194KB1BU3
Mutual Fund,,BANDHAN CRISIL IBX Gilt June 2027 Index Fund Direct Plan-Growth,,INF194KB1BP3,
Mutual Fund,,BANDHAN CRISIL IBX Gilt June 2027 Index Fund Direct Plan-IDCW,,INF194KB1BQ1,INF194KB1BR9
Mutual Fund,,BANDHAN CRISIL IBX Gilt June 2027 Index Fund Regular Plan-Growth,,INF194KB1BL2,
Mutual Fund,,BANDHAN CRISIL IBX Gilt June 2027 Index Fund Regular Plan-IDCW,,INF194KB1BM0,INF194KB1BO6
Mutual Fund,,BANDHAN Conservative Hybrid Fund - Regular Plan - Growth,,INF194K01RW9,
Mutual Fund,,BANDHAN Conservative Hybrid Fund - Regular Plan - IDCW,,INF194K01RY5,INF194K01RX7
Mutual Fund,,BANDHAN Conservative Hybrid Fund - Regular Plan - Quarterly IDCW,,INF194K01SB1,INF194K01SA3
Mutual Fund,,BANDHAN Conservative Hybrid Fund-Direct Plan-Growth,,INF194K015B9,
Mutual Fund,,BANDHAN Conservative Hybrid Fund-Direct Plan-IDCW,,INF194K017B5,INF194K016B7
Mutual Fund,,BANDHAN Conservative Hybrid Fund-Direct Plan-Quarterly IDCW,,INF194K010C8,INF194K019B1
Mutual Fund,,BANDHAN Core Equity Fund - Regular Plan - Growth,,INF194K01524,
Mutual Fund,,BANDHAN Core Equity Fund - Regular Plan - IDCW,,INF194K01532,INF194K01540
Mutual Fund,,BANDHAN Core Equity Fund-Direct Plan-Growth,,INF194K01V89,
Mutual Fund,,BANDHAN Core Equity Fund-Direct Plan-IDCW,,INF194K01V97,INF194K01W05
Mutual Fund,,BANDHAN Corporate Bond Fund - Direct Annual IDCW,,INF194KA1T34,INF194KA1T42
Mutual Fund,,BANDHAN Corporate Bond Fund - Direct Growth,,INF194KA1M23,
Mutual Fund,,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,,INF194KA1T00,INF194KA1T18
Mutual Fund,,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,,INF194KA1S43,INF194KA1S50
Mutual Fund,,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,,INF194KA1M31,INF194KA1M49
Mutual Fund,,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,,INF194KA1S76,INF194KA1S84
Mutual Fund,,BANDHAN Corporate Bond Fund - Regular Annual IDCW,,INF194KA1S19,INF194KA1S27
Mutual Fund,,BANDHAN Corporate Bond Fund - Regular Growth,,INF194KA1L81,
Mutual Fund,,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,,INF194KA1R85,INF194KA1R93
Mutual Fund,,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,,INF194KA1R28,INF194KA1R36
Mutual Fund,,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,,INF194KA1L99,INF194KA1M07
Mutual Fund,,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,,INF194KA1R51,INF194KA1R69
Mutual Fund,,BANDHAN Credit Risk Fund - Regular Plan Annual IDCW,,INF194KA1W05,INF194KA1W13
Mutual Fund,,BANDHAN Credit Risk Fund - Regular Plan Growth,,INF194KA1W39,
Mutual Fund,,BANDHAN Credit Risk Fund - Regular Plan Half Yearly IDCW,,INF194KA1V71,INF194KA1V89
Mutual Fund,,BANDHAN Credit Risk Fund - Regular Plan Periodic IDCW,,INF194KA1V14,INF194KA1V22
Mutual Fund,,BANDHAN Credit Risk Fund - Regular Plan Quarterly IDCW,,INF194KA1V48,INF194KA1V55
Mutual Fund,,BANDHAN Credit Risk Fund-Direct Plan-Annual IDCW,,INF194KA1X38,INF194KA1X46
Mutual Fund,,BANDHAN Credit Risk Fund-Direct Plan-Growth,,INF194KA1X61,
Mutual Fund,,BANDHAN Credit Risk Fund-Direct Plan-Periodic IDCW,,INF194KA1W47,INF194KA1W54
Mutual Fund,,BANDHAN Credit Risk Fund-Direct Plan-Quarterly IDCW,,INF194KA1W70,INF194KA1W88
Mutual Fund,,BANDHAN Dynamic Bond Fund - Regular Plan B - Annual IDCW,,INF194K01QL4,INF194K01QK6
Mutual Fund,,BANDHAN Dynamic Bond Fund - Regular Plan B - Growth,,INF194K01QG4,
Mutual Fund,,BANDHAN Dynamic Bond Fund - Regular Plan B - Half Yearly IDCW,,INF194K018R9,INF194K019R7
Mutual Fund,,BANDHAN Dynamic Bond Fund - Regular Plan B - IDCW,,INF194K01QO8,INF194K01QN0
Mutual Fund,,BANDHAN Dynamic Bond Fund - Regular Plan B - Periodic IDCW,,INF194KA1TM3,INF194KA1TN1
Mutual Fund,,BANDHAN Dynamic Bond Fund - Regular Plan B - Quarterly IDCW,,INF194K01QI0,INF194K01QH2
Mutual Fund,,BANDHAN Dynamic Bond Fund-Direct Plan-Annual IDCW,,INF194K01O13,INF194K01O05
Mutual Fund,,BANDHAN Dynamic Bond Fund-Direct Plan-Growth,,INF194K01N63,
Mutual Fund,,BANDHAN Dynamic Bond Fund-Direct Plan-Half Yearly IDCW,,INF194K011P8,INF194K012P6
Mutual Fund,,BANDHAN Dynamic Bond Fund-Direct Plan-IDCW,,INF194K01O47,INF194K01O39
Mutual Fund,,BANDHAN Dynamic Bond Fund-Direct Plan-Periodic IDCW,,INF194KA1TP6,INF194KA1TQ4
Mutual Fund,,BANDHAN Dynamic Bond Fund-Direct Plan-Quarterly IDCW,,INF194K01N89,INF194K01N71
Mutual Fund,,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,,INF194K01Y29,
Mutual Fund,,BANDHAN ELSS Tax Saver Fund - Direct Plan - IDCW,,INF194K01Y37,INF194K01Y45
Mutual Fund,,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,,INF194K01292,
Mutual Fund,,BANDHAN ELSS Tax Saver Fund - Regular Plan - IDCW,,INF194K01300,INF194K01318
Mutual Fund,,BANDHAN Equity Savings Fund - Regular Plan - Growth,,INF194K01581,
Mutual Fund,,BANDHAN Equity Savings Fund - Regular Plan - Monthly IDCW,,INF194K01599,INF194K01607
Mutual Fund,,BANDHAN Equity Savings Fund - Regular Plan -Annual IDCW,,INF194KA1XX2,INF194KA1XY0
Mutual Fund,,BANDHAN Equity Savings Fund -B-DIVIDEND,,INF194K01565,INF194K01573
Mutual Fund,,BANDHAN Equity Savings Fund -B-GROWTH,,INF194K01557,
Mutual Fund,,BANDHAN Equity Savings Fund- Regular Plan -Quarterly IDCW,,INF194KA16J0,INF194KA17J8
Mutual Fund,,BANDHAN Equity Savings Fund-Direct Plan -Quarterly IDCW,,INF194KA19J4,INF194KA10K1
Mutual Fund,,BANDHAN Equity Savings Fund-Direct Plan-Annual IDCW,,INF194KA1YA8,INF194KA1YB6
Mutual Fund,,BANDHAN Equity Savings Fund-Direct Plan-Growth,,INF194K01Z02,
Mutual Fund,,BANDHAN Equity Savings Fund-Direct Plan-Monthly IDCW,,INF194K01Z10,INF194K01Z28
Mutual Fund,,BANDHAN FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH,,INF194KB1GB2,
Mutual Fund,,BANDHAN FINANCIAL SERVICES FUND - DIRECT PLAN - IDCW,,INF194KB1GC0,INF194KB1GD8
Mutual Fund,,BANDHAN FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,,INF194KB1GE6,
Mutual Fund,,BANDHAN FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW,,INF194KB1GF3,INF194KB1GG1
Mutual Fund,,BANDHAN FLOATING RATE FUND- DIRECT PLAN ANNUAL IDCW,,INF194KB1BJ6,INF194KB1BK4
Mutual Fund,,BANDHAN FLOATING RATE FUND- DIRECT PLAN GROWTH,,INF194KB1BA5,
Mutual Fund,,BANDHAN FLOATING RATE FUND- DIRECT PLAN MONTHLY IDCW,,INF194KB1BD9,INF194KB1BE7
Mutual Fund,,BANDHAN FLOATING RATE FUND- DIRECT PLAN PERIODIC IDCW,,INF194KB1BH0,INF194KB1BI8
Mutual Fund,,BANDHAN FLOATING RATE FUND- DIRECT PLAN QUARTERLY IDCW,,INF194KB1BF4,INF194KB1BG2
Mutual Fund,,BANDHAN FLOATING RATE FUND- REGULAR PLAN ANNUAL IDCW,,INF194KB1AY7,INF194KB1AZ4
Mutual Fund,,BANDHAN FLOATING RATE FUND- REGULAR PLAN GROWTH,,INF194KB1AP5,
Mutual Fund,,BANDHAN FLOATING RATE FUND- REGULAR PLAN MONTHLY IDCW,,INF194KB1AS9,INF194KB1AT7
Mutual Fund,,BANDHAN FLOATING RATE FUND- REGULAR PLAN PERIODIC IDCW,,INF194KB1AW1,INF194KB1AX9
Mutual Fund,,BANDHAN FLOATING RATE FUND- REGULAR PLAN QUARTERLY IDCW,,INF194KB1AU5,INF194KB1AV3
Mutual Fund,,BANDHAN Fixed Term Plan Series 179 DIRECT PLAN HALF YEARLY-IDCW (3652 days),,INF194KB1793,
Mutual Fund,,BANDHAN Fixed Term Plan Series 179 DIRECT PLAN-GROWTH (3652 days),,INF194KB1777,
Mutual Fund,,BANDHAN Fixed Term Plan Series 179 REGULAR PLAN PERIODIC-IDCW (3652 days),,INF194KB1769,
Mutual Fund,,BANDHAN Fixed Term Plan Series 179 REGULAR PLAN-GROWTH (3652 days),,INF194KB1736,
Mutual Fund,,BANDHAN Flexi Cap Fund - Regular Plan - Growth,,INF194K01391,
Mutual Fund,,BANDHAN Flexi Cap Fund - Regular Plan - IDCW,,INF194K01409,INF194K01417
Mutual Fund,,BANDHAN Flexi Cap Fund-Direct Plan-Growth,,INF194K01W62,
Mutual Fund,,BANDHAN Flexi Cap Fund-Direct Plan-IDCW,,INF194K01W70,INF194K01W88
Mutual Fund,,BANDHAN Focused Equity Fund - Regular Plan - Growth,,INF194K01466,
Mutual Fund,,BANDHAN Focused Equity Fund - Regular Plan - IDCW,,INF194K01474,INF194K01482
Mutual Fund,,BANDHAN Focused Equity Fund-Direct Plan-Growth,,INF194K01W21,
Mutual Fund,,BANDHAN Focused Equity Fund-Direct Plan-IDCW,,INF194K01W39,INF194K01W47
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Growth,,INF194K01FA0,
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Monthly IDCW,,INF194K01FC6,INF194K01FB8
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Periodic IDCW,,INF194KA1SI3,INF194KA1SJ1
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Quarterly IDCW,,INF194K01FF9,INF194K01FE2
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Weekly IDCW,,INF194K01FI3,INF194K01FH5
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth,,INF194K01P38,
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Monthly IDCW,,INF194K01P53,INF194K01P46
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Periodic IDCW,,INF194KA1SL7,INF194KA1SM5
Mutual Fund,,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Quarterly IDCW,,INF194K01P87,INF194K01P79
Mutual Fund,,BANDHAN Government Securities Fund - IP - Regular - Plan B - Half Yearly IDCW,,INF194K01EB1,INF194K01EA3
Mutual Fund,,BANDHAN Government Securities Fund - IP - Regular -Plan B - Periodic IDCW,,INF194KA1RW6,INF194KA1RX4
Mutual Fund,,BANDHAN Government Securities Fund - IP - Regular Plan - Annual IDCW,,INF194K01EE5,INF194K01ED7
Mutual Fund,,BANDHAN Government Securities Fund - IP - Regular Plan - Growth,,INF194K01DZ2,
Mutual Fund,,BANDHAN Government Securities Fund - IP - Regular Plan - IDCW,,INF194K01EK2,INF194K01EJ4
Mutual Fund,,BANDHAN Government Securities Fund - IP - Regular Plan - Quarterly IDCW,,INF194K01EH8,INF194K01EG0
Mutual Fund,,BANDHAN Government Securities Fund-Investment Plan-Direct Plan-Annual IDCW,,INF194K01Q78,INF194K01Q60
Mutual Fund,,BANDHAN Government Securities Fund-Investment Plan-Direct Plan-Growth,,INF194K01Q29,
Mutual Fund,,BANDHAN Government Securities Fund-Investment Plan-Direct Plan-Half Yearly IDCW,,INF194K01Q45,INF194K01Q37
Mutual Fund,,BANDHAN Government Securities Fund-Investment Plan-Direct Plan-IDCW,,INF194K01R36,INF194K01R28
Mutual Fund,,BANDHAN Government Securities Fund-Investment Plan-Direct Plan-Periodic IDCW,,INF194KA1RZ9,INF194KA1SA0
Mutual Fund,,BANDHAN Government Securities Fund-Investment Plan-Direct Plan-Quarterly IDCW,,INF194K01R02,INF194K01Q94
Mutual Fund,,BANDHAN Hybrid Equity Fund-Direct Plan Growth,,INF194KA1U56,
Mutual Fund,,BANDHAN Hybrid Equity Fund-Direct Plan IDCW,,INF194KA1U64,INF194KA1U72
Mutual Fund,,BANDHAN Hybrid Equity Fund-Regular Plan Growth,,INF194KA1U15,
Mutual Fund,,BANDHAN Hybrid Equity Fund-Regular Plan IDCW,,INF194KA1U23,INF194KA1U31
Mutual Fund,,BANDHAN Infrastructure Fund - Regular Plan - Growth,,INF194K01BY9,
Mutual Fund,,BANDHAN Infrastructure Fund - Regular Plan - IDCW,,INF194K01BZ6,INF194K01CA7
Mutual Fund,,BANDHAN Infrastructure Fund-Direct Plan-Growth,,INF194K01X46,
Mutual Fund,,BANDHAN Infrastructure Fund-Direct Plan-IDCW,,INF194K01X53,INF194K01X61
Mutual Fund,,BANDHAN LIQUID FUND - Inst Plan B - Periodic Div,,INF194K01VP5,INF194K01VO8
Mutual Fund,,BANDHAN LIQUID Fund - Regular Plan - Daily IDCW,,INF194K01VZ4,INF194K01VY7
Mutual Fund,,BANDHAN LIQUID Fund - Regular Plan - Growth,,INF194K01VX9,
Mutual Fund,,BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW,,INF194K01WF4,INF194K01WE7
Mutual Fund,,BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW,,INF194K01WC1,INF194K01WB3
Mutual Fund,,BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW,,INF194K01WI8,INF194K01WH0
Mutual Fund,,BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years,,INF194KA14C0,
Mutual Fund,,BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years,,INF194KA15C7,
Mutual Fund,,BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years,,INF194KA12C4,
Mutual Fund,,BANDHAN LIQUID Fund - Unclaimed Redemption More than 3 years,,INF194KA13C2,
Mutual Fund,,BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW,,INF194K01J36,INF194K01J28
Mutual Fund,,BANDHAN LIQUID Fund -Direct Plan-Growth,,INF194K01I60,
Mutual Fund,,BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW,,INF194K01J02,INF194K01I94
Mutual Fund,,BANDHAN Large Cap Fund - Regular Plan - Growth,,INF194K01516,
Mutual Fund,,BANDHAN Large Cap Fund - Regular Plan - IDCW,,INF194K01490,INF194K01508
Mutual Fund,,BANDHAN Large Cap Fund-Direct Plan-Growth,,INF194K01Z44,
Mutual Fund,,BANDHAN Large Cap Fund-Direct Plan-IDCW,,INF194K01Z51,INF194K01Z69
Mutual Fund,,BANDHAN Low Duration Fund - Regular Plan - Daily IDCW,,INF194K01FW4,INF194K01FV6
Mutual Fund,,BANDHAN Low Duration Fund - Regular Plan - Growth,,INF194K01FU8,
Mutual Fund,,BANDHAN Low Duration Fund - Regular Plan - Monthly IDCW,,INF194K01FZ7,INF194K01FY0
Mutual Fund,,BANDHAN Low Duration Fund - Regular Plan - Periodic IDCW,,INF194K01I29,INF194K01I37
Mutual Fund,,BANDHAN Low Duration Fund - Regular Plan - Quarterly IDCW,,INF194K01UR3,INF194K01US1
Mutual Fund,,BANDHAN Low Duration Fund - Regular Plan - Weekly IDCW,,INF194K01GC4,INF194K01GB6
Mutual Fund,,BANDHAN Low Duration Fund-Direct Plan-Growth,,INF194K01J77,
Mutual Fund,,BANDHAN Low Duration Fund-Direct Plan-Monthly IDCW,,INF194K01K17,INF194K01K09
Mutual Fund,,BANDHAN Low Duration Fund-Direct Plan-Periodic IDCW,,INF194K01K82,INF194K01K90
Mutual Fund,,BANDHAN Low Duration Fund-Direct Plan-Quarterly IDCW,,INF194K01K58,INF194K01K66
Mutual Fund,,BANDHAN MIDCAP FUND - GROWTH - DIRECT PLAN,,INF194KB1DJ2,
Mutual Fund,,BANDHAN MIDCAP FUND - GROWTH - REGULAR PLAN,,INF194KB1DM6,
Mutual Fund,,BANDHAN MIDCAP FUND - IDCW - DIRECT PLAN,,INF194KB1DK0,INF194KB1DL8
Mutual Fund,,BANDHAN MIDCAP FUND - IDCW - REGULAR PLAN,,INF194KB1DN4,INF194KB1DO2
Mutual Fund,,BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN,,INF194KB1CL0,
Mutual Fund,,BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN,,INF194KB1CI6,
Mutual Fund,,BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN,,INF194KB1CM8,INF194KB1CN6
Mutual Fund,,BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN,,INF194KB1CJ4,INF194KB1CK2
Mutual Fund,,BANDHAN Money Manager Fund - Regular Plan - Daily IDCW,,INF194K01LL5,INF194K01LK7
Mutual Fund,,BANDHAN Money Manager Fund - Regular Plan - Growth,,INF194K01LJ9,
Mutual Fund,,BANDHAN Money Manager Fund - Regular Plan - Monthly IDCW,,INF194K01LO9,INF194K01LN1
Mutual Fund,,BANDHAN Money Manager Fund - Regular Plan - Periodic IDCW,,INF194KA1TG5,INF194KA1TH3
Mutual Fund,,BANDHAN Money Manager Fund - Regular Plan - Weekly IDCW,,INF194K01LR2,INF194K01LQ4
Mutual Fund,,BANDHAN Money Manager Fund -Direct Plan-Growth,,INF194K01M80,
Mutual Fund,,BANDHAN Money Manager Fund -Direct Plan-Monthly IDCW,,INF194K01N22,INF194K01N14
Mutual Fund,,BANDHAN Money Manager Fund -Direct Plan-Periodic IDCW,,INF194KA1TJ9,INF194KA1TK7
Mutual Fund,,BANDHAN NIFTY 100 INDEX FUND - DIRECT PLAN - GROWTH,,INF194KB1CR7,
Mutual Fund,,BANDHAN NIFTY 100 INDEX FUND - DIRECT PLAN - IDCW,,INF194KB1CS5,INF194KB1CT3
Mutual Fund,,BANDHAN NIFTY 100 INDEX FUND - REGULAR PLAN - GROWTH,,INF194KB1CO4,
Mutual Fund,,BANDHAN NIFTY 100 INDEX FUND - REGULAR PLAN - IDCW,,INF194KB1CP1,INF194KB1CQ9
Mutual Fund,,BANDHAN NIFTY100 LOW VOLATILITY 30 INDEX FUND - GROWTH - DIRECT PLAN,,INF194KB1DV7,
Mutual Fund,,BANDHAN NIFTY100 LOW VOLATILITY 30 INDEX FUND - GROWTH - REGULAR PLAN,,INF194KB1DY1,
Mutual Fund,,BANDHAN NIFTY100 LOW VOLATILITY 30 INDEX FUND - IDCW - DIRECT PLAN,,INF194KB1DW5,INF194KB1DX3
Mutual Fund,,BANDHAN NIFTY100 LOW VOLATILITY 30 INDEX FUND - IDCW - REGULAR PLAN,,INF194KB1DZ8,INF194KB1EA9
Mutual Fund,,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - GROWTH - DIRECT PLAN,,INF194KB1DP9,
Mutual Fund,,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - GROWTH - REGULAR PLAN,,INF194KB1DS3,
Mutual Fund,,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - IDCW - DIRECT PLAN,,INF194KB1DQ7,INF194KB1DR5
Mutual Fund,,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - IDCW - REGULAR PLAN,,INF194KB1DT1,INF194KB1DU9
Mutual Fund,,BANDHAN Nifty 50 ETF,,INF194KA1U07,
Mutual Fund,,BANDHAN Nifty 50 Index Fund - Regular Plan - Growth,,INF194K01920,
Mutual Fund,,BANDHAN Nifty 50 Index Fund - Regular Plan - IDCW,,INF194K01938,INF194K01946
Mutual Fund,,BANDHAN Nifty 50 Index Fund-Direct Plan-Growth,,INF194K012A8,
Mutual Fund,,BANDHAN Nifty 50 Index Fund-Direct Plan-IDCW,,INF194K013A6,INF194K014A4
Mutual Fund,,BANDHAN Nifty Smallcap 250 Index Fund - Direct Plan - Growth,,INF194KB1HG9,
Mutual Fund,,BANDHAN Nifty Smallcap 250 Index Fund - Direct Plan - IDCW,,INF194KB1HH7,INF194KB1HI5
Mutual Fund,,BANDHAN Nifty Smallcap 250 Index Fund - Regular Plan - Growth,,INF194KB1HD6,
Mutual Fund,,BANDHAN Nifty Smallcap 250 Index Fund - Regular Plan - IDCW,,INF194KB1HE4,INF194KB1HF1
Mutual Fund,,BANDHAN Overnight Fund - Direct Plan - Daily IDCW,,INF194KB1462,INF194KB1470
Mutual Fund,,BANDHAN Overnight Fund - Direct Plan - Growth,,INF194KB1447,
Mutual Fund,,BANDHAN Overnight Fund - Direct Plan - Monthly IDCW,,INF194KB1496,INF194KB1504
Mutual Fund,,BANDHAN Overnight Fund - Direct Plan - Periodic IDCW,,INF194KB1520,INF194KB1538
Mutual Fund,,BANDHAN Overnight Fund - Direct Plan - Weekly IDCW,,INF194KB1553,INF194KB1561
Mutual Fund,,BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW,,INF194KB1397,INF194KB1405
Mutual Fund,,BANDHAN Overnight Fund - Regular Plan - Daily IDCW,,INF194KB1330,INF194KB1348
Mutual Fund,,BANDHAN Overnight Fund - Regular Plan - Growth,,INF194KB1314,
Mutual Fund,,BANDHAN Overnight Fund - Regular Plan - Monthly IDCW,,INF194KB1363,INF194KB1371
Mutual Fund,,BANDHAN Overnight Fund - Regular Plan - Weekly IDCW,,INF194KB1421,INF194KB1439
Mutual Fund,,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,,INF194KB1AL4,
Mutual Fund,,BANDHAN SMALL CAP FUND - DIRECT PLAN IDCW,,INF194KB1AM2,
Mutual Fund,,BANDHAN SMALL CAP FUND - REGULAR PLAN GROWTH,,INF194KB1AJ8,
Mutual Fund,,BANDHAN SMALL CAP FUND - REGULAR PLAN IDCW,,INF194KB1AK6,
Mutual Fund,,BANDHAN Sterling Value Fund - Regular Plan - Growth,,INF194K01342,
Mutual Fund,,BANDHAN Sterling Value Fund - Regular Plan - IDCW,,INF194K01359,INF194K01367
Mutual Fund,,BANDHAN Sterling Value Fund-Direct Plan-Growth,,INF194K01Z85,
Mutual Fund,,BANDHAN Sterling Value Fund-Direct Plan-IDCW,,INF194K01Z93,INF194K010A2
Mutual Fund,,BANDHAN TRANSPORTATION AND LOGISTICS FUND - GROWTH - DIRECT PLAN,,INF194KB1EB7,
Mutual Fund,,BANDHAN TRANSPORTATION AND LOGISTICS FUND - GROWTH - REGULAR PLAN,,INF194KB1EE1,
Mutual Fund,,BANDHAN TRANSPORTATION AND LOGISTICS FUND - IDCW - DIRECT PLAN,,INF194KB1EC5,INF194KB1ED3
Mutual Fund,,BANDHAN TRANSPORTATION AND LOGISTICS FUND - IDCW - REGULAR PLAN,,INF194KB1EF8,INF194KB1EG6
Mutual Fund,,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN -MONTHLY IDCW,,INF194KA11S2,INF194KA12S0
Mutual Fund,,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN GROWTH,,INF194KA16R3,
Mutual Fund,,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN PERIODIC IDCW,,INF194KA17S9,INF194KA18S7
Mutual Fund,,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN QUARTERLY IDCW,,INF194KA14S6,INF194KA15S3
Mutual Fund,,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN- WEEKLY IDCW,,INF194KA10T2,INF194KA11T0
Mutual Fund,,BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN-DAILY IDCW,,INF194KA18R9,INF194KA19R7
