date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2023-02-01 00:00:00+05:30,44.25,45.75,42.2,42.95,1529890.0,0.0,0.0,0.0
2023-02-02 00:00:00+05:30,42.9,44.9,42.5,43.05,934819.0,0.0,0.0,0.0
2023-02-03 00:00:00+05:30,43.4,43.65,41.95,42.7,973810.0,0.0,0.0,0.0
2023-02-06 00:00:00+05:30,42.65,43.35,42.5,42.6,602087.0,0.0,0.0,0.0
2023-02-07 00:00:00+05:30,42.2,43.15,41.8,42.35,907484.0,0.0,0.0,0.0
2023-02-08 00:00:00+05:30,42.6,43.25,42.1,42.5,749379.0,0.0,0.0,0.0
2023-02-09 00:00:00+05:30,42.5,43.6,42.25,42.75,950417.0,0.0,0.0,0.0
2023-02-10 00:00:00+05:30,42.85,44.0,42.5,42.95,1168871.0,0.0,0.0,0.0
2023-02-13 00:00:00+05:30,42.0,42.35,40.25,40.6,1752504.0,0.0,0.0,0.0
2023-02-14 00:00:00+05:30,40.9,41.65,36.6,38.0,4390806.0,0.0,0.0,0.0
2023-02-15 00:00:00+05:30,40.0,41.95,39.0,39.7,4472639.0,0.0,0.0,0.0
2023-02-16 00:00:00+05:30,39.95,40.55,39.6,40.1,1421254.0,0.0,0.0,0.0
2023-02-17 00:00:00+05:30,40.0,40.9,39.35,39.85,1155324.0,0.0,0.0,0.0
2023-02-20 00:00:00+05:30,40.95,40.95,39.85,40.1,783187.0,0.0,0.0,0.0
2023-02-21 00:00:00+05:30,40.35,40.8,39.8,40.05,917413.0,0.0,0.0,0.0
2023-02-22 00:00:00+05:30,39.9,40.1,39.15,39.35,737154.0,0.0,0.0,0.0
2023-02-23 00:00:00+05:30,39.55,39.9,38.55,39.6,942660.0,0.0,0.0,0.0
2023-02-24 00:00:00+05:30,39.8,40.8,39.45,39.85,706175.0,0.0,0.0,0.0
2023-02-27 00:00:00+05:30,39.85,39.85,38.5,38.65,690527.0,0.0,0.0,0.0
