date,open,high,low,close,volume,dividends,stock_splits
2022-05-04 00:00:00+05:30,42.3,42.6,39.85,40.85,281564,0.0,0.0
2022-05-05 00:00:00+05:30,41.2,42.4,40.7,40.95,192124,0.0,0.0
2022-05-06 00:00:00+05:30,40.5,41.75,39.85,40.8,300204,0.0,0.0
2022-05-09 00:00:00+05:30,41.6,41.6,39.6,39.95,142139,0.0,0.0
2022-05-10 00:00:00+05:30,40.4,40.4,32.95,34.7,819978,0.0,0.0
2022-05-11 00:00:00+05:30,34.7,36.05,30.7,32.2,6746221,0.0,0.0
2022-05-12 00:00:00+05:30,33.0,33.0,30.5,31.35,801970,0.0,0.0
2022-05-13 00:00:00+05:30,33.0,37.6,32.45,37.45,1796658,0.0,0.0
2022-05-16 00:00:00+05:30,39.35,44.35,37.5,43.4,1464763,0.0,0.0
2022-05-17 00:00:00+05:30,44.4,45.8,41.65,43.55,821484,0.0,0.0
2022-05-18 00:00:00+05:30,44.3,46.4,43.1,45.65,592080,0.0,0.0
2022-05-19 00:00:00+05:30,44.1,44.15,41.5,41.8,396941,0.0,0.0
2022-05-20 00:00:00+05:30,43.5,44.35,42.55,43.2,95164,0.0,0.0
2022-05-23 00:00:00+05:30,45.0,45.0,41.45,41.9,348154,0.0,0.0
2022-05-24 00:00:00+05:30,43.2,43.2,41.2,41.7,120282,0.0,0.0
2022-05-25 00:00:00+05:30,43.0,43.0,39.05,39.6,141922,0.0,0.0
2022-05-26 00:00:00+05:30,41.4,41.4,36.6,40.4,402647,0.0,0.0
2022-05-27 00:00:00+05:30,41.7,43.1,39.65,40.85,479600,0.0,0.0
2022-05-30 00:00:00+05:30,43.9,44.9,42.95,44.9,985255,0.0,0.0
