date,open,high,low,close,volume,dividends,stock_splits
2022-02-01 00:00:00+05:30,5.86,5.86,5.86,5.86,540275,0.0,0.0
2022-02-02 00:00:00+05:30,6.14,6.14,6.14,6.14,635422,0.0,0.0
2022-02-03 00:00:00+05:30,6.45,6.45,6.45,6.45,721249,0.0,0.0
2022-02-04 00:00:00+05:30,6.76,6.76,6.76,6.76,2240735,0.0,0.0
2022-02-07 00:00:00+05:30,7.09,7.09,7.09,7.09,2086095,0.0,0.0
2022-02-08 00:00:00+05:30,7.45,7.45,6.74,6.74,7080595,0.0,0.0
2022-02-09 00:00:00+05:30,6.41,7.08,6.41,7.08,9631970,0.0,0.0
2022-02-10 00:00:00+05:30,7.43,7.43,7.43,7.43,2673260,0.0,0.0
2022-02-11 00:00:00+05:30,7.79,7.79,7.79,7.79,2943574,0.0,0.0
2022-02-14 00:00:00+05:30,8.17,8.17,7.41,7.41,2805835,0.0,0.0
2022-02-15 00:00:00+05:30,7.05,7.05,7.05,7.05,1049987,0.0,0.0
2022-02-16 00:00:00+05:30,6.94,7.39,6.94,7.39,4003098,0.0,0.0
2022-02-17 00:00:00+05:30,7.75,7.75,7.03,7.18,7644226,0.0,0.0
2022-02-18 00:00:00+05:30,6.83,7.25,6.83,6.83,2785135,0.0,0.0
2022-02-21 00:00:00+05:30,6.64,7.16,6.57,7.16,3234440,0.0,0.0
2022-02-22 00:00:00+05:30,6.81,7.43,6.81,6.96,3371172,0.0,0.0
2022-02-23 00:00:00+05:30,7.1,7.3,6.97,7.3,1278135,0.0,0.0
2022-02-24 00:00:00+05:30,7.28,7.28,6.94,6.94,1371330,0.0,0.0
2022-02-25 00:00:00+05:30,6.59,7.28,6.59,7.25,3489309,0.0,0.0
