date,open,high,low,close,volume,dividends,stock_splits
2022-11-01 00:00:00+05:30,28.03,28.03,28.03,28.03,482462,0.0,0.0
2022-11-02 00:00:00+05:30,26.65,26.65,26.65,26.65,623296,0.0,0.0
2022-11-03 00:00:00+05:30,25.33,27.63,25.33,27.24,4684918,0.0,0.0
2022-11-04 00:00:00+05:30,25.92,25.92,25.92,25.92,281712,0.0,0.0
2022-11-07 00:00:00+05:30,24.65,24.65,24.65,24.65,122343,0.0,0.0
2022-11-09 00:00:00+05:30,23.42,23.42,23.42,23.42,181528,0.0,0.0
2022-11-10 00:00:00+05:30,22.29,22.29,22.29,22.29,142466,0.0,0.0
2022-11-11 00:00:00+05:30,21.22,21.22,21.22,21.22,689197,0.0,0.0
2022-11-14 00:00:00+05:30,21.36,21.95,20.43,20.82,2549562,0.0,0.0
2022-11-15 00:00:00+05:30,20.97,21.46,19.79,19.79,1505997,0.0,0.0
2022-11-16 00:00:00+05:30,18.81,18.81,18.81,18.81,382901,0.0,0.0
2022-11-17 00:00:00+05:30,17.88,17.88,17.88,17.88,2426222,0.0,0.0
2022-11-18 00:00:00+05:30,17.0,18.77,17.0,18.03,3355642,0.0,0.0
2022-11-21 00:00:00+05:30,18.52,18.91,17.98,18.91,1441469,0.0,0.0
2022-11-22 00:00:00+05:30,19.35,19.84,19.16,19.84,1358833,0.0,0.0
2022-11-23 00:00:00+05:30,20.82,20.82,20.82,20.82,367619,0.0,0.0
2022-11-24 00:00:00+05:30,21.85,21.85,21.85,21.85,218749,0.0,0.0
2022-11-25 00:00:00+05:30,22.93,22.93,22.93,22.93,309533,0.0,0.0
2022-11-28 00:00:00+05:30,24.06,24.06,21.8,21.8,3073687,0.0,0.0
2022-11-29 00:00:00+05:30,21.8,22.88,21.02,22.88,4185082,0.0,0.0
