date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
2024-03-21 00:00:00,NIFTY,2350,FON,FO,NIFTY,European Call,21950,21-03-2024,22190784,12:49:44,Sell,50,47
2024-03-21 00:00:00,NIFTY,2650,FON,FO,NIFTY,European Call,21950,21-03-2024,21294229,12:39:12,Buy,50,53
2024-03-20 00:00:00,NIFTY,5200,FON,FO,NIFTY,European Put,21800,21-03-2024,89653963,10:26:20,Sell,50,104
2024-03-20 00:00:00,NIFTY,5250,FON,FO,NIFTY,European Put,21800,21-03-2024,89425966,10:21:39,Buy,50,105
2024-02-29 00:00:00,NIFTY,3447.5,FON,FO,NIFTY,European Call,21950,29-02-2024,19361549,13:17:24,Buy,50,68.95
2024-02-29 00:00:00,NIFTY,3000,FON,FO,NIFTY,European Call,21950,29-02-2024,19547632,13:19:18,Sell,50,60
2024-02-29 00:00:00,NIFTY,1177.5,FON,FO,NIFTY,European Put,21950,29-02-2024,105213019,13:54:11,Sell,50,23.55
2024-02-29 00:00:00,NIFTY,1850,FON,FO,NIFTY,European Put,21950,29-02-2024,104422663,13:41:01,Buy,50,37
2024-02-28 00:00:00,NIFTY,7532.5,FON,FO,NIFTY,European Put,22000,29-02-2024,95841413,13:09:09,Buy,50,150.65
2024-02-28 00:00:00,NIFTY,5750,FON,FO,NIFTY,European Put,22000,29-02-2024,96619296,13:23:50,Sell,50,115
2024-02-22 00:00:00,NIFTY,2250,FON,FO,NIFTY,European Call,21950,22-02-2024,30640597,13:39:46,Buy,50,45
2024-02-22 00:00:00,NIFTY,5950,FON,FO,NIFTY,European Call,21950,22-02-2024,38163478,14:05:10,Sell,50,119
2024-02-21 00:00:00,NIFTY,5000,FON,FO,NIFTY,European Put,22250,22-02-2024,91113423,12:45:49,Buy,50,100
2024-02-21 00:00:00,NIFTY,4857.5,FON,FO,NIFTY,European Put,22250,22-02-2024,91130078,12:47:17,Sell,50,97.15
2024-02-16 00:00:00,BANKNIFTY,6450,FON,FO,BANKNIFTY,European Put,46500,21-02-2024,690904919,13:32:23,Buy,15,430
2024-02-16 00:00:00,BANKNIFTY,5625,FON,FO,BANKNIFTY,European Put,46500,21-02-2024,690958370,13:35:44,Sell,15,375
2024-02-16 00:00:00,BANKNIFTY,7035,FON,FO,BANKNIFTY,European Call,46500,21-02-2024,519874225,13:39:08,Buy,15,469
2024-02-16 00:00:00,BANKNIFTY,7836,FON,FO,BANKNIFTY,European Call,46500,21-02-2024,520616230,13:57:05,Sell,15,522.4
2024-02-01 00:00:00,NIFTY,1327.5,FON,FO,NIFTY,European Call,21750,01-02-2024,31128281,13:02:04,Sell,50,26.55
2024-02-01 00:00:00,NIFTY,2100,FON,FO,NIFTY,European Call,21750,01-02-2024,29924759,12:53:39,Buy,50,42
2024-01-24 00:00:00,NIFTY,6650,FON,FO,NIFTY,European Call,21400,25-01-2024,19667267,15:00:52,Buy,50,133
2024-01-24 00:00:00,NIFTY,6000,FON,FO,NIFTY,European Call,21400,25-01-2024,20144360,15:04:23,Sell,50,120
2024-01-16 00:00:00,NIFTY,5500,FON,FO,NIFTY,European Put,22100,18-01-2024,89609597,12:22:45,Sell,50,110
2024-01-16 00:00:00,NIFTY,5700,FON,FO,NIFTY,European Put,22100,18-01-2024,89499199,12:16:50,Buy,50,114
2024-01-12 00:00:00,NIFTY,6000,FON,FO,NIFTY,European Call,21900,18-01-2024,3348911,11:01:15,Buy,50,120
2024-01-12 00:00:00,NIFTY,5600,FON,FO,NIFTY,European Call,21900,18-01-2024,3470297,11:05:39,Sell,50,112
2024-01-05 00:00:00,NIFTY,6250,FON,FO,NIFTY,European Put,21650,11-01-2024,90923250,14:27:22,Buy,50,125
2024-01-05 00:00:00,NIFTY,5900,FON,FO,NIFTY,European Put,21650,11-01-2024,91019876,14:32:02,Sell,50,118
2024-01-04 00:00:00,NIFTY,700,FON,FO,NIFTY,European Put,21650,04-01-2024,108073643,14:29:14,Buy,50,14
2024-01-01 00:00:00,NIFTY,6300,FON,FO,NIFTY,European Call,21750,04-01-2024,4140129,13:30:51,Buy,50,126
2024-01-01 00:00:00,NIFTY,8250,FON,FO,NIFTY,European Call,21750,04-01-2024,5077050,14:10:03,Sell,50,165
2023-12-28 00:00:00,NIFTY,2850,FON,FO,NIFTY,European Call,21750,28-12-2023,4046465,09:56:13,Sell,50,57
2023-12-28 00:00:00,NIFTY,3150,FON,FO,NIFTY,European Call,21750,28-12-2023,3651326,09:50:55,Buy,50,63
2023-12-26 00:00:00,NIFTY,5150,FON,FO,NIFTY,European Call,21500,28-12-2023,4633818,12:02:12,Buy,50,103
2023-12-26 00:00:00,NIFTY,4837.5,FON,FO,NIFTY,European Call,21500,28-12-2023,5012514,12:29:30,Sell,50,96.75
2023-12-21 00:00:00,NIFTY,235,FON,FO,NIFTY,European Call,21250,21-12-2023,51196223,15:24:11,Sell,50,4.7
2023-12-21 00:00:00,NIFTY,1567.5,FON,FO,NIFTY,European Call,21250,21-12-2023,43551122,14:41:07,Buy,50,31.35
2023-12-20 00:00:00,NIFTY,2500,FON,FO,NIFTY,European Put,21250,21-12-2023,98830990,14:17:25,Sell,50,50
2023-12-20 00:00:00,NIFTY,5000,FON,FO,NIFTY,European Put,21500,21-12-2023,94123129,13:26:54,Sell,50,100
2023-12-20 00:00:00,NIFTY,3150,FON,FO,NIFTY,European Put,21250,21-12-2023,98680569,14:15:51,Buy,50,63
2023-12-20 00:00:00,NIFTY,3200,FON,FO,NIFTY,European Put,21500,21-12-2023,93176627,13:12:16,Buy,50,64
2023-12-19 00:00:00,NIFTY,4100,FON,FO,NIFTY,European Call,21500,21-12-2023,7516879,14:46:45,Sell,50,82
2023-12-19 00:00:00,NIFTY,4400,FON,FO,NIFTY,European Call,21500,21-12-2023,7071563,14:32:15,Buy,50,88
2023-12-15 00:00:00,NIFTY,6020,FON,FO,NIFTY,European Call,21350,21-12-2023,4939525,13:13:49,Sell,50,120.4
2023-12-15 00:00:00,NIFTY,6150,FON,FO,NIFTY,European Call,21350,21-12-2023,4667798,12:47:04,Buy,50,123
2023-12-14 00:00:00,NIFTY,4550,FON,FO,NIFTY,European Call,21100,14-12-2023,26366123,13:50:40,Sell,50,91
2023-12-14 00:00:00,NIFTY,3750,FON,FO,NIFTY,European Call,21100,14-12-2023,21717380,13:11:54,Buy,50,75
2023-12-13 00:00:00,NIFTY,3957.5,FON,FO,NIFTY,European Call,20850,14-12-2023,10861193,14:17:24,Sell,50,79.15
2023-12-13 00:00:00,NIFTY,2750,FON,FO,NIFTY,European Put,20850,14-12-2023,90675302,11:00:21,Sell,50,55
2023-12-13 00:00:00,NIFTY,3237.5,FON,FO,NIFTY,European Call,20850,14-12-2023,8737851,13:21:37,Buy,50,64.75
2023-12-13 00:00:00,NIFTY,3150,FON,FO,NIFTY,European Put,20850,14-12-2023,88660287,10:03:10,Buy,50,63
2023-12-12 00:00:00,NIFTY,5750,FON,FO,NIFTY,European Put,21050,14-12-2023,90517356,14:00:35,Buy,50,115
2023-12-12 00:00:00,NIFTY,7127.5,FON,FO,NIFTY,European Put,21050,14-12-2023,91709766,14:45:53,Sell,50,142.55
2023-12-08 00:00:00,NIFTY,7050,FON,FO,NIFTY,European Call,20950,14-12-2023,7119361,15:09:58,Sell,50,141
2023-12-08 00:00:00,NIFTY,5750,FON,FO,NIFTY,European Call,20950,14-12-2023,6645818,14:55:19,Buy,50,115
2023-12-05 00:00:00,NIFTY,6087.5,FON,FO,NIFTY,European Call,20800,07-12-2023,9598789,15:11:06,Sell,50,121.75
2023-12-05 00:00:00,NIFTY,5400,FON,FO,NIFTY,European Call,20800,07-12-2023,7771372,13:44:10,Buy,50,108
