date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price,qt,amt,remark,note
2021-12-02 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,348,NSE,EQ,534741,Equity,,,0,00:00:00,BUY,300,1.16,300,348,,
2021-12-03 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,111,NSE,EQ,534741,Equity,,,0,00:00:00,SELL,100,1.11,-100,-111,,
2021-12-03 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,111,NSE,EQ,534741,Equity,,,0,00:00:00,SELL,100,1.11,-100,-111,,
2021-12-03 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,111,NSE,EQ,534741,Equity,,,0,00:00:00,SELL,100,1.11,-100,-111,,
2021-12-03 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,111,NSE,EQ,534741,Equity,,,0,00:00:00,SELL,100,1.11,-100,-111,,
2021-12-10 00:00:00,TRIDENT LIMITED,2800,NSE,EQ,521064,Equity,,,0,00:00:00,BUY,50,56,50,2800,,
2021-12-15 00:00:00,HFCL LIMITED,825.5,NSE,EQ,500183,Equity,,,0,00:00:00,BUY,10,82.55,10,825.5,,
2021-12-20 00:00:00,JAIPRAKASH POWER VEN. LTD,96,NSE,EQ,532627,Equity,,,0,00:00:00,BUY,20,4.8,20,96,,
2021-12-21 00:00:00,HFCL LIMITED,1154.25,NSE,EQ,500183,Equity,,,0,00:00:00,BUY,15,76.95,15,1154.25,,
2021-12-21 00:00:00,JAIPRAKASH POWER VEN. LTD,150,NSE,EQ,532627,Equity,,,0,00:00:00,BUY,30,5,30,150,,
2021-12-21 00:00:00,PRAKASH STEELAGE LTD,52,NSE,EQ,533239,Equity,,,0,00:00:00,BUY,10,5.2,10,52,-1237.23,
2021-12-21 00:00:00,PRAKASH STEELAGE LTD,52,NSE,EQ,533239,Equity,,,0,00:00:00,BUY,10,5.2,10,52,,
2021-12-21 00:00:00,SUZLON ENERGY LIMITED,365,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,50,7.3,50,365,,
2021-12-21 00:00:00,TATA POWER CO LTD,4293,NSE,EQ,500400,Equity,,,0,00:00:00,BUY,20,214.65,20,4293,,
2021-12-21 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,318,NSE,EQ,534741,Equity,,,0,00:00:00,BUY,200,1.59,200,318,,
2021-12-22 00:00:00,BRIGHTCOM GROUP LIMITED,3717,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,20,185.85,20,3717,,
2021-12-22 00:00:00,EXIDE INDUSTRIES LTD,7912.5,NSE,EQ,500086,Equity,,,0,00:00:00,BUY,50,158.25,50,7912.5,Intraday trade,
2021-12-22 00:00:00,EXIDE INDUSTRIES LTD,7965,NSE,EQ,500086,Equity,,,0,16:00:00,SELL,50,159.3,-50,-7965,,
2021-12-22 00:00:00,PRAKASH STEELAGE LTD,49.5,NSE,EQ,533239,Equity,,,0,00:00:00,BUY,10,4.95,10,49.5,,
2021-12-22 00:00:00,PRAKASH STEELAGE LTD,50,NSE,EQ,533239,Equity,,,0,00:00:00,BUY,10,5,10,50,,
2021-12-23 00:00:00,PUNJAB NATIONAL BANK,75.9,NSE,EQ,532461,Equity,,,0,00:00:00,SELL,2,37.95,-2,-75.9,,
2021-12-23 00:00:00,SINTEX INDUSTRIES LTD,10101,NSE,EQ,502742,Equity,,,0,00:00:00,SELL,740,13.65,-740,-10101,,
2021-12-23 00:00:00,TATA TELESERV(MAHARASTRA),1541,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,10,154.1,10,1541,,
2021-12-24 00:00:00,BRIGHTCOM GROUP LIMITED,4000,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,20,200,20,4000,,
2021-12-24 00:00:00,DATA PATTERNS INDIA LTD,1592,NSE,EQ,543428,Equity,,,0,00:00:00,BUY,2,796,2,1592,,
2021-12-24 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,230,NSE,EQ,512359,Equity,,,0,00:00:00,BUY,200,1.15,200,230,,
2021-12-24 00:00:00,TATA TELESERV(MAHARASTRA),3236,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,20,161.8,20,3236,,manully free share
2021-12-24 00:00:00,TATA TELESERV(MAHARASTRA),4854,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,30,161.8,30,4854,,
2021-12-27 00:00:00,CAPITAL TRADE LINKS LTD,107.5,NSE,EQ,538476,Equity,,,0,00:00:00,SELL,10,10.75,-10,-107.5,,bonus
2021-12-27 00:00:00,CAPITAL TRADE LINKS LTD,150.5,NSE,EQ,538476,Equity,,,0,00:00:00,SELL,14,10.75,-14,-150.5,,
2021-12-27 00:00:00,CAPITAL TRADE LINKS LTD,5117,NSE,EQ,538476,Equity,,,0,00:00:00,SELL,476,10.75,-476,-5117,,
2021-12-27 00:00:00,K.P. Energy Limited,2371,NSE,EQ,539686,Equity,,,0,00:00:00,BUY,20,118.55,20,2371,,
2021-12-27 00:00:00,K.P. Energy Limited,2371,NSE,EQ,539686,Equity,,,0,00:00:00,BUY,20,118.55,20,2371,,
2021-12-27 00:00:00,RATTANINDIA ENT LIMITED,460,NSE,EQ,534597,Equity,,,0,00:00:00,BUY,10,46,10,460,,
2021-12-27 00:00:00,URJA GLOBAL LIMITED,850,NSE,EQ,526987,Equity,,,0,00:00:00,BUY,50,17,50,850,,
2021-12-28 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,252,NSE,EQ,512359,Equity,,,0,00:00:00,BUY,200,1.26,200,252,,
2021-12-29 00:00:00,JAIPRAKASH POWER VEN. LTD,332.5,NSE,EQ,532627,Equity,,,0,00:00:00,BUY,50,6.65,50,332.5,,
2021-12-29 00:00:00,PRAKASH STEELAGE LTD,922.5,NSE,EQ,533239,Equity,,,0,00:00:00,BUY,150,6.15,150,922.5,,
2021-12-29 00:00:00,PRAKASH STEELAGE LTD,302.5,NSE,EQ,533239,Equity,,,0,00:00:00,BUY,50,6.05,50,302.5,,
2021-12-29 00:00:00,RATTANINDIA ENT LIMITED,1924,NSE,EQ,534597,Equity,,,0,00:00:00,BUY,40,48.1,40,1924,,
2021-12-29 00:00:00,RATTANINDIA POWER LIMITED,337.5,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,50,6.75,50,337.5,,
2021-12-29 00:00:00,SUZLON ENERGY LIMITED,223.75,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,25,8.95,25,223.75,,
2021-12-30 00:00:00,CRESSANDA SOLUTIONS LTD.,117.23,NSE,EQ,512379,Equity,,,0,00:00:00,BUY,19,6.17,19,117.23,,
2021-12-30 00:00:00,CRESSANDA SOLUTIONS LTD.,6.17,NSE,EQ,512379,Equity,,,0,00:00:00,BUY,1,6.17,1,6.17,,
2021-12-31 00:00:00,CRESSANDA SOLUTIONS LTD.,1294,NSE,EQ,512379,Equity,,,0,00:00:00,BUY,200,6.47,200,1294,,
2021-12-31 00:00:00,CRESSANDA SOLUTIONS LTD.,64.7,NSE,EQ,512379,Equity,,,0,00:00:00,BUY,10,6.47,10,64.7,,
2021-12-31 00:00:00,K.P. Energy Limited,1141.5,NSE,EQ,539686,Equity,,,0,00:00:00,BUY,10,114.15,10,1141.5,,
2021-12-31 00:00:00,K.P. Energy Limited,1141.5,NSE,EQ,539686,Equity,,,0,00:00:00,BUY,10,114.15,10,1141.5,,
2021-12-31 00:00:00,KPIT TECHNOLOGIES LIMITED,6123,NSE,EQ,542651,Equity,,,0,00:00:00,BUY,10,612.3,10,6123,,
2021-12-31 00:00:00,VIJI FINANCE LIMITED,312.5,NSE,EQ,537820,Equity,,,0,00:00:00,BUY,50,6.25,50,312.5,,
2021-12-31 00:00:00,VIJI FINANCE LIMITED,312.5,NSE,EQ,537820,Equity,,,0,00:00:00,BUY,50,6.25,50,312.5,,
2022-01-03 00:00:00,CAPITAL TRADE LINKS LTD,4159.8,NSE,EQ,538476,Equity,,,0,00:00:00,SELL,324,12.84,-324,-4159.8,,
2022-01-03 00:00:00,CRESSANDA SOLUTIONS LTD.,135.8,NSE,EQ,512379,Equity,,,0,00:00:00,BUY,20,6.79,20,135.8,,
2022-01-03 00:00:00,CRESSANDA SOLUTIONS LTD.,169.75,NSE,EQ,512379,Equity,,,0,00:00:00,BUY,25,6.79,25,169.75,,entry missing so enter manually
2022-01-03 00:00:00,CRESSANDA SOLUTIONS LTD.,169.75,NSE,EQ,512379,Equity,,,0,00:00:00,BUY,25,6.79,25,169.75,,
2022-01-03 00:00:00,GITA RENEWABLE ENERGY LIMITED,1332,NSE,EQ,539013,Equity,,,0,00:00:00,BUY,5,266.4,5,1332,,
2022-01-03 00:00:00,RATTANINDIA POWER LIMITED,382.5,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,50,7.65,50,382.5,,
2022-01-03 00:00:00,RATTANINDIA POWER LIMITED,770,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,100,7.7,100,770,,
2022-01-03 00:00:00,TRIDENT LIMITED,537.5,NSE,EQ,521064,Equity,,,0,00:00:00,BUY,10,53.75,10,537.5,,
2022-01-04 00:00:00,RATTANINDIA ENT LIMITED,1032,NSE,EQ,534597,Equity,,,0,00:00:00,BUY,20,51.6,20,1032,,
2022-01-04 00:00:00,SUZLON ENERGY LIMITED,51,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,5,10.2,5,51,,
