Security Code,Security Id,Security Name,ISIN No,Instrument
F769K01DM9,MIRAE_ASSET_ETSF,MIRAE ASSET ELSS TAX SAVER FUND (0P00017844.BO),INF769K01DM9,Mutual Funds
F200K01UM9,SBI_MAGNUM_TGS,SBI MAGNUM TAX GAIN SCHEME (0P0000XVL9.BO),INF200K01UM9,Mutual Funds
500002,ABB,ABB India Limited,INE117A01022,Equity
500003,AEGISLOG,AEGIS LOGISTICS LTD.,INE208C01025,Equity
500008,ARE&M,Amara Raja Energy & Mobility Ltd,INE885A01032,Equity
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,INE432A01017,Equity
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,INE714B01016,Equity
500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,INE436A01026,Equity
500014,UTIQUE,Utique Enterprises Ltd,INE096A01010,Equity
500016,ARUNAHTEL,ARUNA HOTELS LTD.,INE957C01019,Equity
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,INE032A01023,Equity
500023,ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,Equity
500027,ATUL,ATUL LTD.,INE100A01010,Equity
500028,ATVPR,ATV PROJECTS INDIA LTD.,INE447A01015,Equity
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,INE193E01025,Equity
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,Equity
500033,FORCEMOT,FORCE MOTORS LTD.-$,INE451A01017,Equity
500034,BAJFINANCE,Bajaj Finance Limited,INE296A01024,Equity
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,INE119A01028,Equity
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,INE213C01025,Equity
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,INE055A01016,Equity
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,INE459A01010,Equity
500042,BASF,BASF INDIA LTD.,INE373A01013,Equity
500043,BATAINDIA,BATA INDIA LTD.,INE176A01028,Equity
500048,BEML,BEML LTD.,INE258A01016,Equity
500049,BEL,BHARAT ELECTRONICS LTD.,INE263A01024,Equity
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,INE922A01025,Equity
500058,BIHSPONG,BIHAR SPONGE IRON LTD.,INE819C01011,Equity
500059,BINANIIND,BINANI INDUSTRIES LTD.,INE071A01013,Equity
500060,BIRLACABLE,Birla Cable Ltd,INE800A01015,Equity
500067,BLUESTARCO,BLUE STAR LTD.,INE472A01039,Equity
500068,DISAQ,DISA INDIA LTD.,INE131C01011,Equity
500069,QUESTCAP,Quest Capital Markets Ltd,INE418C01012,Equity
500074,BPL,BPL LTD.,INE110A01019,Equity
500078,OAL,Oriental Aromatics Ltd-$,INE959C01023,Equity
500083,CENTEXT,CENTURY EXTRUSIONS LTD.,INE281A01026,Equity
500084,CESC,CESC LTD.,INE486A01021,Equity
500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,INE085A01013,Equity
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,INE302A01020,Equity
500087,CIPLA,CIPLA LTD.,INE059A01026,Equity
500089,DICIND,DIC INDIA LTD.,INE303A01010,Equity
500092,CRISIL,CRISIL LTD.,INE007A01025,Equity
500093,CGPOWER,CG Power and Industrial Solutions Ltd,INE067A01029,Equity
500096,DABUR,DABUR INDIA LTD.,INE016A01026,Equity
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,INE495A01022,Equity
500101,ARVIND,ARVIND LTD.,INE034A01011,Equity
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,INE257A01026,Equity
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,INE094A01015,Equity
500106,IFCI,IFCI LTD.,INE039A01010,Equity
500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,INE153A01019,Equity
500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,INE103A01014,Equity
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,INE178A01016,Equity
500112,SBIN,STATE BANK OF INDIA,INE062A01020,Equity
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,INE114A01011,Equity
500114,TITAN,Titan Company Limited,INE280A01028,Equity
500116,IDBI,IDBI BANK LTD.,INE008A01015,Equity
500117,DCW,DCW LTD.,INE500A01029,Equity
500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,INE041A01016,Equity
500120,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,INE591D01014,Equity
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,INE280B01018,Equity
500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,INE089A01023,Equity
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,INE126A01031,Equity
500126,PGHL,Procter & Gamble Health Ltd,INE199A01012,Equity
500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,INE086A01029,Equity
500133,ESABINDIA,ESAB INDIA LTD.,INE284A01012,Equity
500135,EPL,EPL Ltd,INE255A01020,Equity
500136,ESTER,ESTER INDUSTRIES LTD.,INE778B01029,Equity
500142,FGP,FGP LTD.,INE512A01016,Equity
500143,PHCAP,PH CAPITAL LTD.,INE160F01013,Equity
500144,FINCABLES,FINOLEX CABLES LTD.,INE235A01022,Equity
500147,COCKERILL,John Cockerill India Ltd-$,INE515A01019,Equity
500148,UFLEX,UFLEX LTD.,INE516A01017,Equity
500150,FOSECOIND,FOSECO INDIA LTD.,INE519A01011,Equity
500151,GOLDENTOBC,GOLDEN TOBACCO LTD.,INE973A01010,Equity
500153,GANESHBE,GANESH BENZOPLAST LTD.,INE388A01029,Equity
500159,METROGLOBL,Metroglobal Limited,INE085D01033,Equity
500160,GTL,GTL LTD.,INE043A01012,Equity
500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,INE260B01028,Equity
500164,GODREJIND,GODREJ INDUSTRIES LTD.,INE233A01035,Equity
500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.,INE531A01024,Equity
500166,GOODRICKE,GOODRICKE GROUP LTD.,INE300A01016,Equity
500168,GOODYEAR,GOODYEAR INDIA LTD.,INE533A01012,Equity
500170,GTNINDS,GTN INDUSTRIES LTD.,INE537A01013,Equity
500171,GHCL,GHCL LTD.,INE539A01019,Equity
500173,GFLLIMITED,GFL Ltd,INE538A01037,Equity
500174,GLFL,GUJARAT LEASE FINANCING LTD.,INE540A01017,Equity
500179,HCL-INSYS,HCL INFOSYSTEMS LTD.,INE236A01020,Equity
500180,HDFCBANK,HDFC Bank Ltd,INE040A01034,Equity
500182,HEROMOTOCO,HERO MOTOCORP LTD.,INE158A01026,Equity
500183,HFCL,HFCL Ltd,INE548A01028,Equity
500184,HSCL,Himadri Speciality Chemical Ltd,INE019C01026,Equity
500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,INE549A01026,Equity
500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,INE345A01011,Equity
500187,AGI,Agi Greenpac Ltd,INE415A01038,Equity
500188,HINDZINC,HINDUSTAN ZINC LTD.,INE267A01025,Equity
500189,NDLVENTURE,NDL Ventures Ltd,INE353A01023,Equity
500191,HMT,HMT LTD.,INE262A01018,Equity
500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,INE962B01011,Equity
500193,HLVLTD,HLV Ltd,INE102A01024,Equity
500199,IGPL,I G PETROCHEMICALS LTD.,INE204A01010,Equity
500201,INDIAGLYCO,INDIA GLYCOLS LTD.,INE560A01015,Equity
500202,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,INE333C01013,Equity
500206,MARGOFIN,Margo Finance Limited,INE680B01019,Equity
500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,INE156A01020,Equity
500209,INFY,INFOSYS LTD.,INE009A01021,Equity
