,high_amount,moving_avg,forcast
2019-11-27,35.45,,
2019-11-28,35.34,,
2019-11-29,35.39,,
2019-11-30,35.39,,
2019-12-01,35.39,,
2019-12-02,35.25,,
2019-12-03,34.89,,
2019-12-04,34.74,,
2019-12-05,34.74,,
2019-12-06,34.49,,
2019-12-07,34.49,,
2019-12-08,34.49,,
2019-12-09,33.99,,
2019-12-10,33.78,,
2019-12-11,33.49,,
2019-12-12,33.79,,
2019-12-13,34.29,,
2019-12-14,34.29,,
2019-12-15,34.29,,
2019-12-16,34.4,,
2019-12-17,34.3,,
2019-12-18,34.44,,
2019-12-19,34.19,,
2019-12-20,34.35,,
2019-12-21,34.35,,
2019-12-22,34.35,,
2019-12-23,34.35,,
2019-12-24,34.2,,
2019-12-25,34.2,,
2019-12-26,34.24,,
2019-12-27,34.36,,
2019-12-28,34.36,,
2019-12-29,34.36,,
2019-12-30,34.49,,
2019-12-31,34.57,,
2020-01-01,34.69,,
2020-01-02,35.05,,
2020-01-03,34.98,,
2020-01-04,34.98,,
2020-01-05,34.98,,
2020-01-06,34.6,,
2020-01-07,34.4,,
2020-01-08,33.9,,
2020-01-09,34.25,,
2020-01-10,352.87,,
2020-01-11,352.87,,
2020-01-12,352.87,,
2020-01-13,350.48,,
2020-01-14,347.06,,
2020-01-15,344.91,,
2020-01-16,342.68,,
2020-01-17,339.44,82.7401923076923,
2020-01-18,339.44,88.58615384615385,
2020-01-19,339.44,94.43423076923077,
2020-01-20,337.31,100.24038461538461,
2020-01-21,332.91999999999996,105.9621153846154,
2020-01-22,332.56,111.67692307692307,
2020-01-23,339.87,117.535,
2020-01-24,342.62,123.4528846153846,
2020-01-25,342.62,129.37365384615384,
2020-01-26,342.62,135.2944230769231,
2020-01-27,337.52,141.12192307692308,
2020-01-28,335.28999999999996,146.90653846153845,
2020-01-29,335.12,152.6878846153846,
2020-01-30,332.48,158.42807692307693,
2020-01-31,332.28,164.16846153846154,
2020-02-01,331.74,169.90403846153848,
2020-02-02,331.74,175.63384615384618,
2020-02-03,321.81,181.16307692307691,
2020-02-04,321.97,186.69538461538463,
2020-02-05,328.71000000000004,192.3573076923077,
2020-02-06,337.66,198.18923076923076,
2020-02-07,339.14,204.05153846153846,
2020-02-08,339.14,209.91115384615387,
2020-02-09,339.14,215.77557692307693,
2020-02-10,337.06,221.59692307692305,
2020-02-11,339.65000000000003,227.4680769230769,
2020-02-12,343.71,233.4173076923077,
2020-02-13,344.45,239.38076923076926,
2020-02-14,345.39,245.3651923076923,
2020-02-15,345.39,251.3496153846154,
2020-02-16,345.39,257.33326923076925,
2020-02-17,334.83,263.11153846153843,
2020-02-18,332.69,268.8486538461538,
2020-02-19,437.91999999999996,276.60942307692306,
2020-02-20,342.55,282.53365384615387,
2020-02-21,342.55,288.45634615384614,
2020-02-22,342.55,294.3767307692308,
2020-02-23,342.55,300.29019230769234,
2020-02-24,344.02,306.2332692307692,
2020-02-25,340.87,312.1157692307692,
2020-02-26,343.14,318.04192307692307,
2020-02-27,341.90000000000003,323.95153846153846,
2020-02-28,327.14000000000004,329.5811538461538,
2020-02-29,327.14000000000004,335.22038461538466,
2020-03-01,327.14000000000004,340.85288461538465,
2020-03-02,324.35,340.30442307692306,
2020-03-03,428.3,341.755,
2020-03-04,427.67999999999995,343.19365384615384,
2020-03-05,311.11,342.4365384615385,
2020-03-06,287.97999999999996,341.3003846153846,
2020-03-07,287.97999999999996,340.2055769230769,
2020-03-08,287.97999999999996,339.1536538461539,
2020-03-09,276.31,337.9396153846154,
2020-03-10,276.31,336.7255769230769,
2020-03-11,271.35,335.41615384615386,
2020-03-12,245.64000000000001,333.6532692307692,
2020-03-13,260.17,332.2542307692308,
2020-03-14,260.17,330.8621153846153,
2020-03-15,260.17,329.3294230769231,
2020-03-16,14417.75,600.005,
2020-03-17,14284.15,868.1113461538462,
2020-03-18,14672.460000000001,1143.6851923076924,
