date,open,high,low,close,volume,dividends,stock_splits
2021-02-01 00:00:00+05:30,11.130000114440918,11.789999961853027,10.819999694824219,11.710000038146973,84092140,0.0,0.0
2021-02-02 00:00:00+05:30,11.819999694824219,11.9399995803833,11.539999961853027,11.869999885559082,66240860,0.0,0.0
2021-02-03 00:00:00+05:30,11.899999618530273,12.75,11.720000267028809,12.260000228881836,96569050,0.0,0.0
2021-02-04 00:00:00+05:30,12.289999961853027,12.479999542236328,12.100000381469727,12.15999984741211,48927460,0.0,0.0
2021-02-05 00:00:00+05:30,12.199999809265137,12.430000305175781,11.890000343322754,11.989999771118164,56916760,0.0,0.0
2021-02-08 00:00:00+05:30,12.0600004196167,12.15999984741211,11.619999885559082,11.710000038146973,48400850,0.0,0.0
2021-02-09 00:00:00+05:30,11.600000381469727,12.5,11.600000381469727,11.960000038146973,101321300,0.0,0.0
2021-02-10 00:00:00+05:30,11.949999809265137,12.100000381469727,11.710000038146973,11.90999984741211,46829980,0.0,0.0
2021-02-11 00:00:00+05:30,11.859999656677246,13.0,11.859999656677246,12.899999618530273,168314100,0.0,0.0
2021-02-12 00:00:00+05:30,12.880000114440918,13.0,12.270000457763672,12.539999961853027,84603460,0.0,0.0
2021-02-15 00:00:00+05:30,12.140000343322754,12.899999618530273,11.920000076293945,12.079999923706055,68242120,0.0,0.0
2021-02-16 00:00:00+05:30,12.180000305175781,12.25,11.680000305175781,11.800000190734863,41760160,0.0,0.0
2021-02-17 00:00:00+05:30,11.720000267028809,12.369999885559082,11.680000305175781,11.890000343322754,75519070,0.0,0.0
2021-02-18 00:00:00+05:30,11.649999618530273,11.949999809265137,11.460000038146973,11.579999923706055,48014180,0.0,0.0
2021-02-19 00:00:00+05:30,11.460000038146973,11.699999809265137,10.789999961853027,10.90999984741211,102621800,0.0,0.0
2021-02-22 00:00:00+05:30,10.90999984741211,11.239999771118164,10.640000343322754,10.760000228881836,83005630,0.0,0.0
2021-02-23 00:00:00+05:30,10.819999694824219,11.140000343322754,10.800000190734863,11.010000228881836,76145290,0.0,0.0
2021-02-24 00:00:00+05:30,11.130000114440918,11.579999923706055,11.100000381469727,11.449999809265137,78047220,0.0,0.0
2021-02-25 00:00:00+05:30,11.520000457763672,11.829999923706055,11.460000038146973,11.640000343322754,54529730,0.0,0.0
2021-02-26 00:00:00+05:30,11.5,11.75,11.25,11.329999923706055,52183500,0.0,0.0
