username,date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
ptprashanttripathi,2021-04-12 00:00:00,INFOSYS LTD.,4303.8,NSE,EQ,500209,Equity,0,,27503947,10:50:01,Buy,3,1434.6
ptprashanttripathi,2021-04-12 00:00:00,INFOSYS LTD.,7169.75,NSE,EQ,500209,Equity,0,,27595176,10:55:51,Buy,5,1433.95
ptprashanttripathi,2021-04-12 00:00:00,TATA MOTORS,7670,NSE,EQ,500570,Equity,0,,77727720,10:44:33,Buy,26,295
ptprashanttripathi,2021-05-10 00:00:00,STATE BANK OF INDIA,5110,NSE,EQ,500112,Equity,0,,77486441,11:04:16,Buy,14,365
ptprashanttripathi,2021-06-04 00:00:00,GOLDBEES,84.06,NSE,EQ,590095,Equity,0,,27925159,12:10:54,Sell,2,42.03
ptprashanttripathi,2021-06-04 00:00:00,STATE BANK OF INDIA,6104,NSE,EQ,500112,Equity,0,,78079449,12:15:06,Sell,14,436
ptprashanttripathi,2021-06-14 00:00:00,INFOSYS LTD.,11656,NSE,EQ,500209,Equity,0,,28667371,13:23:56,Sell,8,1457
ptprashanttripathi,2021-06-14 00:00:00,NIFTY BEES,168.95,NSE,EQ,590103,Equity,0,,53879066,13:19:01,Sell,1,168.95
ptprashanttripathi,2021-06-14 00:00:00,PUNJAB NATBK,1243.5,NSE,EQ,532461,Equity,0,,53894297,13:20:29,Sell,30,41.45
ptprashanttripathi,2021-06-14 00:00:00,VODAFONE IDEA LTD,675.5,NSE,EQ,532822,Equity,0,,28613832,13:21:53,Sell,70,9.65
ptprashanttripathi,2021-06-15 00:00:00,TATA CHEMICALS LTD.,15024,NSE,EQ,500770,Equity,0,,78739395,13:16:17,Buy,20,751.2
ptprashanttripathi,2021-06-15 00:00:00,VOLTAS LTD,4236,NSE,EQ,500575,Equity,0,,78985319,13:36:57,Buy,4,1059
ptprashanttripathi,2021-08-06 00:00:00,BHARAT PETROLEUM CORPORATION L,19651,NSE,EQ,500547,Equity,0,,1960612,11:42:14,Buy,43,457
ptprashanttripathi,2021-11-10 00:00:00,YES BANK LTD,1950,NSE,EQ,532648,Equity,0,,79036967,13:16:26,Sell,150,13
