username,date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
,2025-04-02 00:00:00,MIRAE ASSET TAX SAVER FUND - D,4999.73,BMF,MF,F769K01DM9,MF,0,,,,Buy,100.19,49.9
,2025-04-02 00:00:00,NIFTY,2205,FON,FO,NIFTY,European Call,23550,03-04-2025,3251801,10:52:14,Buy,150,14.7
,2025-04-02 00:00:00,SBI Magnum Tax Gain Scheme - D,4999.79,BMF,MF,F200K01UM9,MF,0,,,,Buy,11.39,439.12
,2025-04-03 00:00:00,NIFTY,150,FON,FO,NIFTY,European Call,23550,03-04-2025,5929827,12:04:34,Sell,150,1
,2025-04-22 00:00:00,NIFTY,27405,FON,FO,NIFTY,European Call,24150,24-04-2025,3315756,14:48:09,Sell,300,91.35
,2025-04-22 00:00:00,NIFTY,31500,FON,FO,NIFTY,European Call,24150,24-04-2025,3270573,14:45:20,Buy,300,105
,2025-04-28 00:00:00,NIFTY,19162.5,FON,FO,NIFTY,European Call,24250,30-04-2025,3986685,14:47:57,Sell,150,127.75
,2025-04-28 00:00:00,NIFTY,25751.25,FON,FO,NIFTY,European Call,24200,08-05-2025,4182675,14:24:45,Sell,75,343.35
,2025-04-28 00:00:00,NIFTY,25755,FON,FO,NIFTY,European Call,24200,08-05-2025,4182674,14:24:45,Sell,75,343.4
,2025-04-28 00:00:00,NIFTY,40500,FON,FO,NIFTY,European Call,24250,30-04-2025,3937128,14:44:08,Buy,300,135
,2025-04-28 00:00:00,NIFTY,45000,FON,FO,NIFTY,European Call,24200,08-05-2025,2096833,10:29:11,Buy,150,300
,2025-04-28 00:00:00,NIFTY,9581.25,FON,FO,NIFTY,European Call,24250,30-04-2025,3986684,14:47:57,Sell,75,127.75
,2025-04-28 00:00:00,NIFTY,9581.25,FON,FO,NIFTY,European Call,24250,30-04-2025,3986686,14:47:57,Sell,75,127.75
,2025-04-29 00:00:00,NIFTY,12600,FON,FO,NIFTY,European Call,24350,30-04-2025,1924211,10:14:39,Buy,150,84
,2025-04-29 00:00:00,NIFTY,18900,FON,FO,NIFTY,European Call,24350,30-04-2025,1924210,10:14:39,Buy,225,84
,2025-04-29 00:00:00,NIFTY,4935,FON,FO,NIFTY,European Call,24350,30-04-2025,2358376,10:39:20,Buy,75,65.8
,2025-04-29 00:00:00,NIFTY,9870,FON,FO,NIFTY,European Call,24350,30-04-2025,2358375,10:39:20,Buy,150,65.8
,2025-04-30 00:00:00,NIFTY,2002.5,FON,FO,NIFTY,European Call,24350,30-04-2025,13376636,14:48:07,Buy,225,8.9
,2025-04-30 00:00:00,NIFTY,2670,FON,FO,NIFTY,European Call,24350,30-04-2025,13376635,14:48:07,Buy,300,8.9
,2025-04-30 00:00:00,NIFTY,3720,FON,FO,NIFTY,European Call,24350,30-04-2025,13585983,14:51:28,Sell,600,6.2
,2025-04-30 00:00:00,NIFTY,667.5,FON,FO,NIFTY,European Call,24350,30-04-2025,13376634,14:48:07,Buy,75,8.9
,2025-04-30 00:00:00,NIFTY,8940,FON,FO,NIFTY,European Call,24350,30-04-2025,9563307,12:59:49,Sell,600,14.9
,2025-05-02 00:00:00,MIRAE ASSET TAX SAVER FUND - D,4999.73,BMF,MF,F769K01DM9,MF,0,,,,Buy,96.39,51.87
,2025-05-02 00:00:00,SBI Magnum Tax Gain Scheme - D,4999.58,BMF,MF,F200K01UM9,MF,0,,,,Buy,11.1,450.41
,2025-05-06 00:00:00,NIFTY,7035,FON,FO,NIFTY,European Call,24350,08-05-2025,1850665,12:15:21,Buy,75,93.8
,2025-05-06 00:00:00,NIFTY,7140,FON,FO,NIFTY,European Call,24350,08-05-2025,1949778,12:33:43,Sell,75,95.2
,2025-05-08 00:00:00,NIFTY,1050,FON,FO,NIFTY,European Call,24500,08-05-2025,2578668,12:51:01,Sell,525,2
,2025-05-08 00:00:00,NIFTY,1080,FON,FO,NIFTY,European Call,24500,08-05-2025,4078522,14:29:18,Sell,1200,0.9
,2025-05-08 00:00:00,NIFTY,1125,FON,FO,NIFTY,European Call,24500,08-05-2025,4048433,14:27:34,Buy,1125,1
