datetime,exchange,segment,stock_name,side,amount,quantity,price,expiry_date,holding_quantity,holding_price_avg,holding_amount
2021-02-08 11:39:33,NSE,EQ,TATAPOWER,BUY,6480.0,72.0,90.0,,72.0,90.0,6480.0
2021-02-22 11:44:35,NSE,EQ,TATAPOWER,BUY,2970.0,33.0,90.0,,105.0,90.0,9450.0
2022-05-11 11:58:14,NSE,EQ,TATAPOWER,BUY,14384.0,64.0,224.75,,169.0,141.02958579881656,23834.0
2022-08-10 09:30:24,NSE,EQ,TATAPOWER,SELL,4372.85,19.0,230.15,,150.0,147.49333333333334,22124.0
