stock_name,quantity_buy,quantity_sell,amount_buy,amount_sell,buy_price,sell_price,pnl,holding_quantity,holding_amount
NIFTY-CE-24050-04JUL2024,100.0,100.0,18285.0,19166.25,182.85,191.6625,881.25,0.0,-881.25
NIFTY-CE-24100-04JUL2024,100.0,100.0,15750.0,17000.0,157.5,170.0,1250.0,0.0,-1250.0
NIFTY-CE-24100-11JUL2024,100.0,100.0,16700.0,18388.75,167.0,183.8875,1688.7499999999989,0.0,-1688.75
NIFTY-CE-24200-11JUL2024,50.0,50.0,8415.0,8812.5,168.3,176.25,397.49999999999943,0.0,-397.5
NIFTY-CE-24250-11JUL2024,75.0,75.0,12195.0,13875.0,162.6,185.0,1680.0000000000005,0.0,-1680.0
NIFTY-CE-24300-04JUL2024,25.0,25.0,1250.0,1317.5,50.0,52.7,67.50000000000007,0.0,-67.5
NIFTY-CE-24300-11JUL2024,225.0,225.0,26351.25,28795.0,117.11666666666666,127.97777777777777,2443.750000000001,0.0,-2443.75
NIFTY-CE-24350-11JUL2024,200.0,200.0,9975.0,4270.0,49.875,21.35,-5705.0,0.0,5705.0
NIFTY-CE-24400-11JUL2024,175.0,175.0,13412.5,17672.5,76.64285714285714,100.98571428571428,4260.0,0.0,-4260.0
NIFTY-CE-24500-25JUL2024,100.0,100.0,20532.5,10891.25,205.325,108.9125,-9641.25,0.0,9641.25
NIFTY-CE-24600-01AUG2024,25.0,25.0,4767.5,7125.0,190.7,285.0,2357.5000000000005,0.0,-2357.5
NIFTY-CE-24600-18JUL2024,100.0,100.0,4965.0,8710.0,49.65,87.1,3744.9999999999995,0.0,-3745.0
NIFTY-CE-24650-18JUL2024,250.0,250.0,10218.75,11922.5,40.875,47.69,1703.7499999999995,0.0,-1703.75
NIFTY-PE-23450-20JUN2024,25.0,25.0,3117.5,3200.0,124.7,128.0,82.49999999999993,0.0,-82.5
NIFTY-PE-23550-27JUN2024,100.0,100.0,13762.5,14095.0,137.625,140.95,332.49999999999886,0.0,-332.5
NIFTY-PE-23600-20JUN2024,25.0,25.0,1875.0,2500.0,75.0,100.0,625.0,0.0,-625.0
NIFTY-PE-24000-11JUL2024,25.0,25.0,1258.75,1437.5,50.35,57.5,178.74999999999997,0.0,-178.75
NIFTY-PE-24150-04JUL2024,25.0,25.0,3125.0,3508.75,125.0,140.35,383.7499999999999,0.0,-383.75
NIFTY-PE-24250-04JUL2024,150.0,150.0,13605.0,8475.0,90.7,56.5,-5130.0,0.0,5130.0
NIFTY-PE-24300-11JUL2024,100.0,100.0,11957.5,12115.0,119.575,121.15,157.50000000000028,0.0,-157.5
NIFTY-PE-24350-11JUL2024,100.0,100.0,8030.0,8055.0,80.3,80.55,25.0,0.0,-25.0
NIFTY-PE-24600-25JUL2024,75.0,75.0,18911.25,19020.0,252.15,253.6,108.74999999999915,0.0,-108.75
NIFTY-PE-24650-01AUG2024,25.0,25.0,3450.0,2653.75,138.0,106.15,-796.2499999999999,0.0,796.25
NIFTYBEES,1.0,1.0,162.52,168.95,162.52,168.95,6.429999999999978,0.0,-6.429999999999978
PNB,30.0,30.0,988.5,1243.5,32.95,41.45,255.0,0.0,-255.0
SBIN,14.0,14.0,5110.0,6104.0,365.0,436.0,994.0,0.0,-994.0
TATACHEM,20.0,20.0,15024.0,20600.0,751.2,1030.0,5575.999999999999,0.0,-5576.0
VOLTAS,4.0,4.0,4236.0,3944.0,1059.0,986.0,-292.0,0.0,292.0
YESBANK,150.0,150.0,1817.5,1950.0,12.116666666666667,13.0,132.49999999999994,0.0,-132.5
