Wallet,Trade Date,Settlement Date,Exchange,Segment,Type,Narration,Debit,Credit,Closing Balance
Securities,2023-04-05,2023-04-05,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for january 2023 to march 2023,88.5,,-265.5
Securities,2023-06-27,2023-06-27,FON,FO,Fund transfer,Funds added to your trading wallet,,265.5,0.0
Securities,2023-07-04,2023-07-04,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for april 2023 to june 2023,88.5,,-88.5
Securities,2023-10-04,2023-10-04,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for july 2023 to september 2023,88.5,,-177.0
Securities,2024-01-03,2024-01-03,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for october 2023 to december 2023,88.5,,-265.5
