Wallet,Trade Date,Settlement Date,Exchange,Segment,Type,Narration,Debit,Credit,Closing Balance
Securities,2021-04-12,2021-04-12,FON,FO,Fund transfer,Funds added to your trading wallet,,15000,15082.35
Securities,2021-04-12,2021-04-12,FON,FO,Fund transfer,Funds added to your trading wallet,,5000,20082.35
Securities,2021-04-12,2021-04-16,NSE,EQ,Order,BILL POSTING,19166.36,,915.99
Securities,2021-05-09,2021-05-09,FON,FO,Fund transfer,Funds added to your trading wallet,,4419,5334.99
Securities,2021-05-10,2021-05-12,NSE,EQ,Order,BILL POSTING,5116.23,,218.76
Securities,2021-06-04,2021-06-08,NSE,EQ,Order,BILL POSTING,,6138.13,6356.89
Securities,2021-06-14,2021-06-16,NSE,EQ,Order,BILL POSTING,,13642.06,19998.95
Securities,2021-06-15,2021-06-17,NSE,EQ,Order,BILL POSTING,19282.81,,716.14
Securities,2021-06-25,2021-06-25,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for january 2021 to march 2021.,88.5,,627.64
Securities,2021-07-10,2021-07-10,FON,FO,Quarterly settlement,Amount credited to registered bank account for quarterly settlement (july 2021 to september 2021),627.64,,0.0
Securities,2021-08-03,2021-08-03,FON,FO,Fund transfer,Funds added to your trading wallet,,20000,20000.0
Securities,2021-08-06,2021-08-10,NSE,EQ,Order,BILL POSTING,19674.83,,325.17
Securities,2021-08-13,2021-08-13,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for april 2021 to june 2021.,88.5,,236.67
Securities,2021-09-04,2021-09-04,FON,FO,Quarterly settlement,Amount credited to registered bank account for quarterly settlement (july 2021 to september 2021),236.67,,0.0
Securities,2021-11-10,2021-11-12,NSE,EQ,Order,BILL POSTING,,1926.08,1926.08
Securities,2021-11-13,2021-11-13,FON,FO,Withdrawal processed,Amount credited to registered bank account via our standard withdrawal process,1926.08,,0.0
Securities,2021-11-23,2021-11-23,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for july 2021 to september 2021.,88.5,,-88.5
Securities,2022-01-24,2022-01-24,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for october 2021 to december 2021.,88.5,,-177.0
