Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,128.949997,131.000000,128.949997,129.419998,129.419998,269259
2020-01-02,132.000000,134.600006,129.399994,130.139999,130.139999,329677
2020-01-03,129.070007,130.850006,129.070007,129.710007,129.710007,298681
2020-01-06,129.399994,129.470001,127.110001,127.370003,127.370003,721657
2020-01-07,127.949997,128.699997,127.309998,127.760002,127.760002,743200
2020-01-08,126.589996,127.750000,126.500000,127.559998,127.559998,422774
2020-01-09,128.949997,129.550003,128.350006,129.339996,129.339996,291102
2020-01-10,129.949997,130.199997,129.300003,129.610001,129.610001,426319
2020-01-13,127.000000,130.500000,124.400002,130.410004,130.410004,531373
2020-01-14,130.750000,131.229996,129.800003,131.009995,131.009995,325889
2020-01-15,131.399994,131.449997,130.000000,131.009995,131.009995,318992
2020-01-16,131.449997,131.500000,130.000000,130.910004,130.910004,277915
2020-01-17,131.449997,131.449997,130.500000,131.190002,131.190002,394076
2020-01-20,131.210007,131.500000,129.699997,129.779999,129.779999,769381
2020-01-21,130.350006,130.350006,129.050003,129.270004,129.270004,458654
2020-01-22,131.449997,131.449997,128.220001,128.529999,128.529999,471486
2020-01-23,129.449997,129.449997,128.199997,129.309998,129.309998,184783
2020-01-24,129.259995,130.300003,128.750000,130.110001,130.110001,630671
2020-01-27,129.000000,130.000000,128.550003,128.729996,128.729996,414564
2020-01-28,130.660004,130.660004,127.599998,128.100006,128.100006,826302
2020-01-29,128.750000,129.199997,128.050003,128.759995,128.759995,179693
2020-01-30,128.949997,129.000000,127.500000,127.739998,127.739998,1074097
2020-01-31,127.949997,128.429993,126.900002,127.169998,127.169998,632544
2020-02-03,124.760002,126.000000,123.500000,124.419998,124.419998,1306194
2020-02-04,125.250000,126.930000,124.050003,126.750000,126.750000,331366
2020-02-05,126.099998,128.100006,126.099998,127.910004,127.910004,343990
2020-02-06,127.860001,129.050003,127.550003,128.940002,128.940002,348705
2020-02-07,129.149994,129.149994,127.739998,128.190002,128.190002,512906
2020-02-10,129.850006,129.850006,127.309998,127.910004,127.910004,371411
2020-02-11,128.050003,129.949997,128.050003,128.300003,128.300003,301763
2020-02-12,128.850006,129.350006,128.600006,129.190002,129.190002,244082
2020-02-13,129.539993,129.539993,128.500000,129.300003,129.300003,491397
2020-02-14,129.539993,129.690002,128.089996,128.380005,128.380005,435089
2020-02-17,128.919998,129.000000,127.699997,127.839996,127.839996,254024
2020-02-18,126.949997,128.500000,126.550003,127.339996,127.339996,569499
2020-02-19,127.949997,128.699997,127.000000,128.589996,128.589996,463260
2020-02-20,128.550003,128.800003,128.000000,128.360001,128.360001,354821
2020-02-24,128.410004,128.410004,125.500000,125.730003,125.730003,3544077
2020-02-25,126.349998,126.400002,125.110001,125.339996,125.339996,587395
2020-02-26,125.389999,125.389999,123.800003,124.040001,124.040001,2733254
2020-02-27,123.550003,124.489998,122.540001,123.639999,123.639999,1863612
2020-02-28,121.650002,122.940002,119.110001,119.290001,119.290001,8148034
2020-03-02,122.050003,122.050003,117.209999,118.389999,118.389999,2355594
2020-03-03,119.440002,121.010002,118.550003,120.400002,120.400002,1810345
2020-03-04,121.400002,121.400002,117.910004,119.519997,119.519997,2300345
2020-03-05,142.949997,142.949997,118.599998,119.750000,119.750000,513870
2020-03-06,118.489998,118.489998,115.599998,117.180000,117.180000,3370046
2020-03-09,116.489998,116.489998,109.739998,111.620003,111.620003,8020071
2020-03-11,111.489998,112.500000,110.199997,111.309998,111.309998,3831170
2020-03-12,110.000000,110.000000,101.050003,102.989998,102.989998,10397243
2020-03-13,91.260002,120.849998,91.260002,106.360001,106.360001,8805565
2020-03-16,107.489998,107.489998,100.000000,102.370003,102.370003,5403873
2020-03-17,102.550003,105.000000,97.250000,99.199997,99.199997,4118897
2020-03-18,100.900002,102.800003,92.199997,96.080002,96.080002,6548497
2020-03-19,94.500000,94.500000,87.000000,89.470001,89.470001,9073817
2020-03-20,99.879997,99.879997,88.000000,92.970001,92.970001,5442253
2020-03-23,87.000000,94.830002,81.000000,83.519997,83.519997,8143705
2020-03-24,86.000000,90.000000,83.070000,85.000000,85.000000,8341374
2020-03-25,85.000000,90.000000,84.000000,89.459999,89.459999,4949333
2020-03-26,92.000000,94.800003,84.000000,92.680000,92.680000,5221001
2020-03-27,93.000000,96.400002,90.870003,91.260002,91.260002,4258490
2020-03-30,90.000000,92.500000,88.650002,89.169998,89.169998,4813354
2020-03-31,90.000000,92.650002,89.699997,91.940002,91.940002,3736401
2020-04-01,91.940002,91.940002,89.000000,89.349998,89.349998,2782739
2020-04-03,90.000000,91.199997,86.349998,86.589996,86.589996,4260702
2020-04-07,90.000000,92.800003,88.250000,92.410004,92.410004,4840105
2020-04-08,91.000000,98.000000,90.650002,92.820000,92.820000,5210533
2020-04-09,93.949997,96.500000,93.400002,96.230003,96.230003,4706256
2020-04-13,96.949997,96.949997,94.080002,95.620003,95.620003,2175060
2020-04-15,97.000000,97.900002,94.550003,95.199997,95.199997,2756785
2020-04-16,96.000000,96.000000,94.000000,95.680000,95.680000,1777655
2020-04-17,98.000000,98.699997,96.400002,98.209999,98.209999,2622443
2020-04-20,100.099998,100.959999,97.800003,97.989998,97.989998,2279271
2020-04-21,91.099998,105.989998,91.099998,95.599998,95.599998,2146145
2020-04-22,102.000000,102.000000,94.050003,97.379997,97.379997,1728534
2020-04-23,96.279999,98.849998,96.279999,98.620003,98.620003,1573782
2020-04-24,97.099998,98.139999,96.099998,97.099998,97.099998,6117467
2020-04-27,97.150002,99.050003,97.099998,98.430000,98.430000,2031629
2020-04-28,100.099998,100.099998,98.300003,99.349998,99.349998,1050246
2020-04-29,100.000000,101.699997,99.400002,101.120003,101.120003,2746729
2020-04-30,102.000000,104.690002,101.610001,104.180000,104.180000,3783682
2020-05-04,104.180000,104.209999,98.120003,98.800003,98.800003,4248986
2020-05-05,95.800003,102.500000,92.900002,97.650002,97.650002,2950518
2020-05-06,98.500000,99.000000,96.760002,98.500000,98.500000,1654503
2020-05-07,98.050003,99.000000,97.099998,97.599998,97.599998,1921850
2020-05-08,98.489998,99.360001,98.000000,98.120003,98.120003,871200
2020-05-11,98.989998,99.970001,98.010002,98.209999,98.209999,1212126
2020-05-12,98.190002,98.849998,96.209999,97.959999,97.959999,1596323
2020-05-13,95.900002,106.800003,95.900002,99.690002,99.690002,3330046
2020-05-14,97.699997,99.389999,97.110001,97.419998,97.419998,1975805
2020-05-15,97.500000,98.900002,96.370003,97.080002,97.080002,2010254
2020-05-18,97.849998,97.900002,93.750000,93.930000,93.930000,4744785
2020-05-19,95.010002,95.989998,94.199997,94.339996,94.339996,3341472
2020-05-20,95.650002,96.790001,94.019997,96.250000,96.250000,1980862
2020-05-21,97.449997,97.459999,95.500000,96.690002,96.690002,1286795
2020-05-22,99.000000,99.000000,94.800003,96.110001,96.110001,1872380
2020-05-26,98.000000,98.000000,84.599998,96.209999,96.209999,2194246
2020-05-27,96.949997,98.790001,95.519997,98.599998,98.599998,2916839
2020-05-28,98.949997,100.699997,98.699997,100.370003,100.370003,2933846
2020-05-29,99.900002,101.760002,98.800003,101.379997,101.379997,2556487
2020-06-01,102.000000,105.279999,102.000000,104.419998,104.419998,3862486
2020-06-02,102.000000,106.000000,95.000000,105.889999,105.889999,2967917
2020-06-03,106.879997,107.839996,106.110001,106.360001,106.360001,3693773
2020-06-04,106.360001,107.169998,105.099998,106.269997,106.269997,2256015
2020-06-05,106.269997,107.949997,106.250000,107.660004,107.660004,1847782
2020-06-08,108.500000,109.449997,107.669998,108.099998,108.099998,2765914
2020-06-09,109.000000,109.099998,106.599998,106.849998,106.849998,2356586
2020-06-10,107.400002,107.900002,104.209999,107.519997,107.519997,1833936
2020-06-11,107.050003,107.879997,105.110001,105.300003,105.300003,2105891
2020-06-12,103.870003,105.910004,102.199997,105.720001,105.720001,4921933
2020-06-15,105.650002,105.720001,103.389999,104.510002,104.510002,3330215
2020-06-16,106.250000,106.870003,103.370003,105.209999,105.209999,3829031
2020-06-17,104.930000,106.000000,104.320000,104.919998,104.919998,4345818
2020-06-18,105.379997,107.199997,104.099998,106.970001,106.970001,2874162
2020-06-19,107.800003,109.000000,106.099998,108.790001,108.790001,4181289
2020-06-22,109.800003,110.290001,108.709999,109.559998,109.559998,3664305
2020-06-23,110.000000,111.279999,109.250000,111.000000,111.000000,3164075
2020-06-24,111.000000,111.910004,109.220001,109.529999,109.529999,4180669
2020-06-25,109.000000,109.949997,108.010002,109.050003,109.050003,5601668
2020-06-26,109.580002,110.599998,109.330002,110.239998,110.239998,2440079
