date,BHAGERIA,BPCL,GOLDBEES,HERANBA,IDEA,INFY,IRCTC,KPITTECH,LICI,MIRAE-ASSET-TAX-SAVER-DIRECT-GROWTH,NIFTYBEES,PNB,SBI-MAGNUM-TAXGAIN-SCHEME-DIR-GR,SBIN,TATACHEM,TATAMOTORS,TATAPOWER,VOLTAS,YESBANK
2020-04-21,,,,,,,,,,,,,,,,75.1,,,
2020-04-22,,,,,,,,,,,,,,,,75.1,,,
2020-04-23,,,,,,,,,,,,,,,,75.1,,,
2020-04-24,,,,,,,,,,,,,,,,75.1,,,
2020-04-25,,,,,,,,,,,,,,,,75.1,,,
2020-04-26,,,,,,,,,,,,,,,,75.1,,,
2020-04-27,,,,,,,,,,,,,,,,75.1,,,
2020-04-28,,,,,,,,,,,,,,,,75.1,,,
2020-04-29,,,,,,,,,,,,,,,,75.1,,,
2020-04-30,,,,,,,,,,,,,,,,75.1,,,
2020-05-01,,,,,,,,,,,,,,,,75.1,,,
2020-05-02,,,,,,,,,,,,,,,,75.1,,,
2020-05-03,,,,,,,,,,,,,,,,75.1,,,
2020-05-04,,,,,,,,,,,,,,,,77.39,,,
2020-05-05,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-06,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-07,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-08,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-09,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-10,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-11,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-12,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-13,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-14,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-15,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-16,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-17,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-18,116.55,,,,,,,,,,,,,,,77.39,,,
2020-05-19,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-20,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-21,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-22,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-23,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-24,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-25,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-26,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-27,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-28,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-29,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-30,111.03,,,,,,,,,,,,,,,77.39,,,
2020-05-31,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-01,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-02,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-03,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-04,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-05,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-06,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-07,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-08,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-09,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-10,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-11,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-12,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-13,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-14,111.03,,,,,,,,,,,,,,,77.39,,,
2020-06-15,,,,,,,,,,,,,,,,77.39,,,
2020-06-16,,,,,,,,,,,,,,,,77.39,,,
2020-06-17,,,,,,,,,,,,,,,,77.39,,,
2020-06-18,,,,,,,,,,,,,,,,77.39,,,
2020-06-19,,,,,,,,,,,,,,,,77.39,,,
2020-06-20,,,,,,,,,,,,,,,,77.39,,,
2020-06-21,,,,,,,,,,,,,,,,77.39,,,
2020-06-22,,,,,,,,,,,,,,,,77.39,,,
2020-06-23,,,,,,,,,,,,,,,,77.39,,,
2020-06-24,,,,,,,,,,,,,,,,77.39,,,
2020-06-25,,,,,,,,,,,,,,,,77.39,,,
2020-06-26,,,,,,,,,,,,,,,,77.39,,,
2020-06-27,,,,,,,,,,,,,,,,77.39,,,
2020-06-28,,,,,,,,,,,,,,,,77.39,,,
2020-06-29,,,,,,,,,,,,,,,,77.39,,,
2020-06-30,,,,,,,,,,,,,,,,77.39,,,
2020-07-01,,,,,,,,,,,,,,,,77.39,,,
2020-07-02,,,,,,,,,,,,,,,,77.39,,,
2020-07-03,,,,,,,,,,,,,,,,89.13,,,
2020-07-04,,,,,,,,,,,,,,,,89.13,,,
2020-07-05,,,,,,,,,,,,,,,,89.13,,,
2020-07-06,,,,,,,,,,,,,,,,89.13,,,
2020-07-07,,,,,,,,,,,,,,,,89.13,,,
2020-07-08,,,,,,,,,,,,,,,,89.13,,,
2020-07-09,,,,,,,,,,,,,,,,89.13,,,
2020-07-10,,,,,,,,,,,,,,,,89.13,,,
2020-07-11,,,,,,,,,,,,,,,,89.13,,,
2020-07-12,,,,,,,,,,,,,,,,89.13,,,
2020-07-13,,,,,,,,,,,,,,,,89.13,,,
2020-07-14,,,,,,,,,,,,,,,,89.13,,,
2020-07-15,,,,,,,,,,,,,,,,89.13,,,
2020-07-16,,,,,,,,,,,,,,,,89.13,,,
2020-07-17,,,,,,,,,,,,,,,,89.13,,,
2020-07-18,,,,,,,,,,,,,,,,89.13,,,
2020-07-19,,,,,,,,,,,,,,,,89.13,,,
2020-07-20,,,,,,,,,,,,,,,,89.13,,,
2020-07-21,,,,,,,,,,,,,,,,89.13,,,
2020-07-22,,,,,,,,,,,,,,,,89.13,,,
2020-07-23,,,,,,,,,,,,,,,,89.13,,,
2020-07-24,,,,,,,,,,,,,,,,89.13,,,
2020-07-25,,,,,,,,,,,,,,,,89.13,,,
2020-07-26,,,,,,,,,,,,,,,,89.13,,,
2020-07-27,,,,,,,,,,,,,,,,89.13,,,12.3
2020-07-28,,,,,,,,,,,,,,,,89.13,,,12.3
2020-07-29,,,,,8.2,,,,,,,32.95,,,,89.13,,,12.12
2020-07-30,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-07-31,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-01,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-02,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-03,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-04,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-05,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-06,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-07,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-08,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-09,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-10,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-11,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-12,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-13,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-14,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-15,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-16,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-17,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-18,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-19,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-20,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-21,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-22,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-23,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-24,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-25,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-26,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-27,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-28,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-29,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-30,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-08-31,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-01,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-02,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-03,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-04,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-05,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-06,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-07,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-08,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-09,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-10,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-11,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-12,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-13,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-14,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-15,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-16,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-17,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-18,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-19,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-20,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-21,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-22,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-23,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-24,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-25,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-26,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-27,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-28,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-29,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-09-30,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-01,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-02,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-03,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-04,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-05,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-06,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-07,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-08,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-09,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-10,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-11,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-12,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-13,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
2020-10-14,,,,,8.02,,,,,,,32.95,,,,89.13,,,12.12
