date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2024-05-24,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,48.77,1000.27,48.77,1000.27,48.77,1000.27,48.77,1000.27
2024-05-24,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,428.89,999.31,428.89,999.31,428.89,999.31,428.89,999.31
2024-05-25,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,48.77,1000.27,48.77,1000.27,48.77,1000.27,48.77,1000.27
2024-05-25,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,428.89,999.31,428.89,999.31,428.89,999.31,428.89,999.31
2024-05-26,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,48.77,1000.27,48.77,1000.27,48.77,1000.27,48.77,1000.27
2024-05-26,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,428.89,999.31,428.89,999.31,428.89,999.31,428.89,999.31
2024-05-27,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,48.69,998.63,48.69,998.63,48.69,998.63,48.69,998.63
2024-05-27,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,428.6,998.64,428.6,998.64,428.6,998.64,428.6,998.64
2024-05-28,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,48.57,996.17,48.57,996.17,48.57,996.17,48.57,996.17
2024-05-28,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,427.59,996.28,427.59,996.28,427.59,996.28,427.59,996.28
2024-05-29,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,48.25,989.61,48.25,989.61,48.25,989.61,48.25,989.61
2024-05-29,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,424.88,989.97,424.88,989.97,424.88,989.97,424.88,989.97
2024-05-30,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,47.87,981.81,47.87,981.81,47.87,981.81,47.87,981.81
2024-05-30,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,420.27,979.23,420.27,979.23,420.27,979.23,420.27,979.23
2024-05-31,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,47.87,981.81,47.87,981.81,47.87,981.81,47.87,981.81
2024-05-31,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,420.27,979.23,420.27,979.23,420.27,979.23,420.27,979.23
2024-06-01,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,47.87,981.81,47.87,981.81,47.87,981.81,47.87,981.81
2024-06-01,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,420.27,979.23,420.27,979.23,420.27,979.23,420.27,979.23
2024-06-02,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,47.87,981.81,47.87,981.81,47.87,981.81,47.87,981.81
2024-06-02,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,420.27,979.23,420.27,979.23,420.27,979.23,420.27,979.23
2024-06-03,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,49.27,1010.53,49.27,1010.53,49.27,1010.53,49.27,1010.53
2024-06-03,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,436.2,1016.35,436.2,1016.35,436.2,1016.35,436.2,1016.35
2024-06-04,EQ,NSE,IRCTC,INDIAN RAILWAY CATERING AND TO,3.0,896.2,2688.6,1051.5,3154.5,1051.5,3154.5,841.7,2525.1,908.17,2724.51
2024-06-04,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,46.23,948.18,46.23,948.18,46.23,948.18,46.23,948.18
2024-06-04,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,409.09,953.18,409.09,953.18,409.09,953.18,409.09,953.18
2024-06-05,EQ,NSE,IRCTC,INDIAN RAILWAY CATERING AND TO,3.0,896.2,2688.6,940.98,2822.94,940.98,2822.94,854.35,2563.05,914.99,2744.97
2024-06-05,MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,MIRAE ASSET TAX SAVER FUND - D,20.51,48.77,1000.27,47.88,982.02,47.88,982.02,47.88,982.02,47.88,982.02
2024-06-05,MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,SBI MAGNUM TAX GAIN SCHEME - D,2.33,428.89,999.31,420.36,979.44,420.36,979.44,420.36,979.44,420.36,979.44
2024-06-06,EQ,NSE,IRCTC,INDIAN RAILWAY CATERING AND TO,3.0,896.2,2688.6,938.89,2816.67,980.66,2941.98,921.76,2765.28,969.16,2907.48
