username,scrip_name,symbol,exchange,segment,datetime,side,quantity,price,amount
deepshikhapatel,DSP BLACKROCK TAX SAVER FUND -,DSP_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-04-05 00:00:00,BUY,3.94,126.86,499.83
deepshikhapatel,DSP BLACKROCK TAX SAVER FUND -,DSP_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-04-26 00:00:00,BUY,3.87,129.26,500.24
deepshikhapatel,DSP BLACKROCK TAX SAVER FUND -,DSP_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-05-27 00:00:00,BUY,7.36,135.94,1000.52
deepshikhapatel,DSP BLACKROCK TAX SAVER FUND -,DSP_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-06-25 00:00:00,BUY,3.49,143.35,500.29
deepshikhapatel,DSP BLACKROCK TAX SAVER FUND -,DSP_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-07-31 00:00:00,BUY,3.25,153.76,499.72
deepshikhapatel,DSP BLACKROCK TAX SAVER FUND -,DSP_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-08-26 00:00:00,BUY,3.25,154.01,500.53
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2021-07-13 00:00:00,BUY,6.77,147.62,999.39
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2021-08-05 00:00:00,BUY,6.57,152.31,1000.68
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2021-09-07 00:00:00,BUY,12.32,162.31,1999.66
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2021-10-04 00:00:00,BUY,18.14,165.4,3000.36
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2021-11-11 00:00:00,BUY,17.93,167.3,2999.69
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2022-01-07 00:00:00,BUY,29.98,166.77,4999.76
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2022-02-03 00:00:00,BUY,30.4,164.46,4999.58
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2022-08-26 00:00:00,BUY,15.06,165.97,2499.51
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2022-09-05 00:00:00,BUY,29.95,166.97,5000.75
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2022-12-05 00:00:00,BUY,14.13,176.9,2499.6
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2024-03-07 00:00:00,BUY,2.33,214.81,500.51
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2024-04-26 00:00:00,BUY,2.34,214.03,500.83
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2024-05-27 00:00:00,BUY,4.56,219.42,1000.56
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2024-06-25 00:00:00,BUY,2.2,227.49,500.48
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2024-07-31 00:00:00,BUY,4.18,239.38,1000.61
deepshikhapatel,HDFC INDEX FUND - NIFTY PLAN -,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,BMF,MF,2024-08-26 00:00:00,BUY,2.08,240.43,500.09
harshalk2022,ADANI WILMAR LIMITED,AWL,NSE,EQ,2022-02-07 00:00:00,BUY,40.0,230.0,9200.0
harshalk2022,CAPITAL TRADE LINKS LTD,CTL,NSE,EQ,2021-11-29 00:00:00,BUY,165.0,10.8,1782.0
harshalk2022,DEEPAK NITRITE LTD,DEEPAKNTR,NSE,EQ,2024-06-21 00:00:00,BUY,1.0,2546.0,2546.0
harshalk2022,FCS SOFTWARE SOLN. LTD.,FCSSOFT,NSE,EQ,2022-01-05 00:00:00,BUY,150.0,6.48,972.0
harshalk2022,FCS SOFTWARE SOLN. LTD.,FCSSOFT,NSE,EQ,2022-01-31 00:00:00,BUY,150.0,6.75,1012.5
harshalk2022,GITA RENEWABLE ENERGY LIMITED,GITARENEW,NSE,EQ,2022-01-03 00:00:00,BUY,5.0,266.4,1332.0
harshalk2022,GRAVITA INDIA LIMITED,GRAVITA,NSE,EQ,2022-02-01 00:00:00,BUY,10.0,371.45,3714.5
harshalk2022,ORIENT GREEN POWER CO LTD,GREENPOWER,NSE,EQ,2022-01-21 00:00:00,BUY,100.0,22.05,2205.0
harshalk2022,ORIENT GREEN POWER CO LTD,GREENPOWER,NSE,EQ,2023-09-29 00:00:00,BUY,214.0,,0.0
harshalk2022,HFCL LIMITED,HFCL,NSE,EQ,2021-12-15 00:00:00,BUY,10.0,82.55,825.5
harshalk2022,HFCL LIMITED,HFCL,NSE,EQ,2021-12-21 00:00:00,BUY,15.0,76.95,1154.25
harshalk2022,HFCL LIMITED,HFCL,NSE,EQ,2022-02-01 00:00:00,BUY,5.0,84.95,424.75
harshalk2022,IDFC FIRST BANK LIMITED,IDFCFIRSTB,NSE,EQ,2024-06-21 00:00:00,BUY,23.0,83.5,1920.5
harshalk2022,KNR CONSTRU LTD.,KNRCON,NSE,EQ,2024-06-21 00:00:00,BUY,8.0,353.0,2824.0
harshalk2022,K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-27 00:00:00,BUY,40.0,118.55,4742.0
harshalk2022,K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-31 00:00:00,BUY,20.0,114.15,2283.0
harshalk2022,K.P. ENERGY LIMITED,KPEL,NSE,EQ,2024-02-12 00:00:00,BUY,120.0,,0.0
harshalk2022,KPIT TECHNOLOGIES LIMITED,KPITTECH,NSE,EQ,2021-12-31 00:00:00,BUY,10.0,612.3,6123.0
harshalk2022,KPIT TECHNOLOGIES LIMITED,KPITTECH,NSE,EQ,2022-01-28 00:00:00,BUY,10.0,641.1,6411.0
harshalk2022,LLOYDS ENGG WORK LIMITED,LLOYDSENGG,NSE,EQ,2021-11-29 00:00:00,BUY,100.0,12.5,1250.0
harshalk2022,LLOYDS ENGG WORK LIMITED,LLOYDSENGG,NSE,EQ,2024-01-25 00:00:00,BUY,5.0,,0.0
harshalk2022,PRAKASH STEELAGE LTD,PRAKASHSTL,NSE,EQ,2023-11-23 00:00:00,SELL,60.0,5.5,1650.0
harshalk2022,RAGHUVIR SYNTHETICS LTD.,RAGHUSYN,NSE,EQ,2022-02-16 00:00:00,BUY,1.0,225.95,225.95
harshalk2022,RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2021-12-27 00:00:00,BUY,10.0,46.0,460.0
harshalk2022,RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2021-12-29 00:00:00,BUY,40.0,48.1,1924.0
harshalk2022,RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2022-01-04 00:00:00,BUY,20.0,51.6,1032.0
harshalk2022,RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2022-01-25 00:00:00,BUY,10.0,53.35,533.5
harshalk2022,RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2022-01-25 00:00:00,BUY,10.0,53.65,536.5
harshalk2022,RATTANINDIA POWER LIMITED,RTNPOWER,NSE,EQ,2022-01-21 09:49:01,BUY,12.0,7.7,92.4
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2021-12-21 00:00:00,BUY,50.0,7.3,365.0
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2021-12-29 00:00:00,BUY,25.0,8.95,223.75
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-04 00:00:00,BUY,20.0,10.6,212.0
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-04 00:00:00,BUY,85.0,10.2,867.0
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-06 00:00:00,BUY,10.0,9.75,97.5
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-06 00:00:00,BUY,20.0,9.6,192.0
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-06 00:00:00,BUY,40.0,9.7,388.0
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-07 00:00:00,BUY,10.0,10.55,105.5
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-25 00:00:00,BUY,40.0,10.8,432.0
harshalk2022,SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-10-04 00:00:00,BUY,71.0,,0.0
harshalk2022,TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-24 15:27:53,BUY,2.0,477.05,954.1
harshalk2022,TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-25 11:56:08,BUY,8.0,483.8,3870.4
harshalk2022,TATA POWER CO LTD,TATAPOWER,NSE,EQ,2021-12-21 00:00:00,BUY,20.0,214.65,4293.0
harshalk2022,TATA POWER CO LTD,TATAPOWER,NSE,EQ,2022-01-24 00:00:00,BUY,10.0,227.9,2279.0
harshalk2022,TRIDENT LIMITED,TRIDENT,NSE,EQ,2021-12-10 00:00:00,BUY,50.0,56.0,2800.0
harshalk2022,TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-03 00:00:00,BUY,10.0,53.75,537.5
harshalk2022,TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-06 00:00:00,BUY,10.0,53.35,533.5
harshalk2022,TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-06 00:00:00,BUY,20.0,53.6,1072.0
harshalk2022,TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-21 00:00:00,BUY,10.0,64.9,649.0
harshalk2022,TATA TELESERV(MAHARASTRA),TTML,NSE,EQ,2021-12-24 00:00:00,BUY,30.0,161.8,4854.0
harshalk2022,VIKAS LIFECARE LIMITED,VIKASLIFE,NSE,EQ,2022-01-05 00:00:00,BUY,100.0,4.6,460.0
harshalk2022,VIKAS LIFECARE LIMITED,VIKASLIFE,NSE,EQ,2022-01-31 00:00:00,BUY,300.0,6.41,1923.0
harshalk2022,WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 09:50:01,BUY,5.0,588.25,2941.25
harshalk2022,WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 14:30:26,BUY,5.0,572.75,2863.75
harshalk2022,WIPRO LTD.,WIPRO,NSE,EQ,2022-06-07 14:35:19,BUY,5.0,467.0,2335.0
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 09:28:41,BUY,10.0,101.95,1019.5
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 14:30:28,BUY,10.0,93.1,931.0
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 15:26:07,BUY,10.0,90.95,909.5
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-25 11:54:40,BUY,20.0,99.05,1981.0
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 10:06:18,BUY,40.0,93.3,3732.0
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:20:07,BUY,5.0,91.15,455.75
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:21:01,BUY,3.0,91.0,273.0
harshalk2022,ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-02-16 09:25:10,BUY,2.0,84.85,169.7
