symbol,name
0P00005UNZ.BO,ICICI Prudential Asset Allocator Fund(FOF) Growth
0P00005UO4.BO,ICICI Prudential Multicap Fund Dividend Payout
0P00005UOC.BO,ICICI Prudential Short Term Fund Fortnightly Dividend Payout
0P00005UR1.BO,SBI Magnum Gilt Fund PF Plan Fixed Period 3 year Growth
0P00005USH.BO,SBI Consumption Opportunities Fund Regular Plan Dividend Payout
0P00005USL.BO,SBI Magnum Taxgain Scheme Regular Dividend Payout
0P00005UTA.BO,Sundaram Corporate Bond Fund - Growth
0P00005UTQ.BO,Sundaram Money Fund Daily Dividend Reinvestment
0P00005UTS.BO,Sundaram Money Fund Institutional Daily Dividend Reinvestment
0P00005UU6.BO,Sundaram Rural and Consumption Fund Growth
0P00005UUJ.BO,Sundaram Mid Cap Growth
0P00005UWA.BO,Tata Income Fund Regular Income Option Half Yearly Dividend Payout
0P00005UWV.BO,Tata Equity Savings Regular Periodic Dividend Payout
0P00005UY1.BO,UTI Regular Savings Fund Regluar Plan Growth
0P00005UY2.BO,UTI Regular Savings Fund Regluar Plan Flexi Dividend Payout
0P00005UY3.BO,UTI Regular Savings Fund Regluar Plan Monthly Dividend Payout
0P00005UY4.BO,UTI - Treasury Advantage Fund - Discontinued - Annaul Dividend Payout Option
0P00005UY5.BO,UTI - Treasury Advantage Fund - Discontinued Bonus Option
0P00005UY7.BO,UTI - Treasury Advantage Fund - Discontinued Growth Option
0P00005UYJ.BO,UTI Equity Fund Regular Plan Growth
0P00005UYV.BO,UTI Overnight Fund Regular Plan Growth
0P00005UZE.BO,UTI Mastershare Unit Regular Plan Dividend Payout
0P00005UZF.BO,UTI Mastershare Unit Regular Plan Growth
0P00005UZI.BO,UTI Money Market Fund- Discontinued - Regular Plan - Periodic Dividend Payout Option
0P00005V4C.BO,Aditya Birla Sun Life Money Manager Fund Regular Plan Weekly Dividend Reinvestment
0P00005V53.BO,Aditya Birla Sun Life India GenNext Fund Dividend Payout
0P00005V54.BO,Aditya Birla Sun Life India GenNext Fund Growth
0P00005V5W.BO,Aditya Birla Sun Life Tax Relief 96 Dividend Payout
0P00005V62.BO,Aditya Birla Sun Life Equity Fund Growth
0P00005V6S.BO,Baroda Gilt Fund - Plan A - Growth
0P00005V6X.BO,Baroda Liquid Fund Regular Dividend Payout
0P00005V7E.BO,Canara Robeco Equity Diversified Fund Growth
0P00005V7F.BO,Canara Robeco Equity Taxsaver Regular Dividend Payout
0P00005V7W.BO,L&amp;T Ultra Short Term Fund Regular Cumulative
0P00005VAB.BO,DSP India T.I.G.E.R. Fund Regular Plan Dividend Payout
0P00005VAC.BO,DSP India T.I.G.E.R. Fund - Regular Plan - Growth
0P00005VD6.BO,Franklin India Index Fund NSE Nifty Plan Growth
0P00005VDH.BO,Franklin India Taxshield Fund Dividend Payout
0P00005VDI.BO,Franklin India Taxshield Fund Growth
0P00005VE2.BO,Franklin India Dynamic Asst Allo Fund Of Funds Dividend Payout
0P00005VE3.BO,Franklin India Dynamic Asst Allo Fund Of Funds Growth
0P00005VEE.BO,Franklin India Life Stage Fund of Funds - The 50s Plus Plan Growth
0P00005WF0.BO,SBI Bluechip Fund Regular Growth
0P00005WF1.BO,SBI Magnum Children&apos;s Benefit Fund Regular Growth
0P00005WFD.BO,SBI Large &amp; Midcap Fund Regular Growth
0P00005WFN.BO,IDFC Multi Cap Fund Growth
0P00005WFQ.BO,Sundaram Equity Hybrid Fund Dividend Payout
0P00005WGZ.BO,Tata Equity P/E Trigger A 10% Dividend Payout
0P00005WHH.BO,Tata Treasury Advantage Fund Regular Growth
0P00005WHI.BO,Tata Treasury Advantage Fund Regular Weekly Dividend Payout
0P00005WID.BO,Taurus Tax Shield-Growth Option
0P00005WIE.BO,Taurus Starshare (Multi Cap) Fund - Growth
0P00005WJF.BO,Franklin India Dynamic Accrual Fund Dividend Payout
0P00005WJG.BO,Franklin India Dynamic Accrual Fund Growth
0P00005WKG.BO,UTI Gilt Fund PF Prescribed Date Auto Dividend Payout
0P00005WKW.BO,UTI - Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Payout Option
0P00005WKX.BO,UTI - Liquid Cash Plan- Discontinued - Regular Plan -Growth
0P00005WL2.BO,UTI - Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Payout Option
0P00005WLU.BO,HDFC Childrens Gift Fund(Lock-in)
0P00005WMS.BO,HDFC Dynamic Debt Plan Quaterly Dividend Payout
0P00005WNA.BO,HDFC TaxSaver Dividend Payout
0P00005WNB.BO,HDFC TaxSaver Growth
0P00005WSV.BO,Kotak Asset Allocator Fund Growth
0P00005WU9.BO,Kotak Liquid Fund Weekly Dividend Payout
0P00005WUL.BO,Kotak Taxsaver Fund Growth
0P00005WUM.BO,Kotak Taxsaver Fund Dividend Payout
0P00005WUX.BO,LIC MF Childrens Gift Fund
0P00005WVS.BO,LIC MF Index Sensex Growth
0P00005X09.BO,ICICI Prudential FMCG Fund Dividend Payout
0P00005X0A.BO,ICICI Prudential FMCG Fund Growth
0P00005X39.BO,Baroda ELSS 96 Plan A- Dividend Payout Option
0P00005X3A.BO,Baroda Multi Cap Fund - Plan A - Growth
0P00008T5J.BO,DSP Tax Saver Fund Dividend Payout
0P00008TH7.BO,Kotak Emerging Equity Scheme Dividend Payout
0P00008TMV.BO,DSP Tax Saver Fund Growth
0P00008TPO.BO,Kotak Emerging Equity Scheme Growth
0P00009J47.BO,SBI Magnum Equity ESG Fund Regular Growth
0P00009J48.BO,SBI Magnum Taxgain Scheme Regular Growth
0P00009JE1.BO,UTI - Treasury Advantage Fund - Discontinued - Periodic Dividend Payout Plan
0P00009JEW.BO,Nippon India Low Duration Fund Weekly Dividend Payout
0P00009MWY.BO,UTI - Treasury Advantage Fund - Discontinued Flexi Dividend Payout Plan
0P00009MX2.BO,UTI - Treasury Advantage Fund - Discontinued Monthly Dividend Payout Option
0P00009MX9.BO,UTI - Treasury Advantage Fund - Regular Plan - Growth Option
0P00009QD8.BO,SBI Magnum Low Duration Fund Regular Plan Monthly Dividend Payout
0P00009QD9.BO,SBI Magnum Low Duration Fund Regular Plan Fortnightly Dividend Payout
0P0000A4KC.BO,Edelweiss Mid CapFund Growth
0P0000ADWI.BO,Aditya Birla Sun Life Pure Value Fund Growth
0P0000AEK3.BO,Kotak Infrastructure and Economic Reform Fund - Standard Plan-Growth
0P0000AEK4.BO,Kotak Infrastructure and Economic Reform Fund Standard Plan-Dividend Payout
0P0000AERT.BO,Edelweiss Liquid Fund Regular Planl Daily Dividend Reinvestment
0P0000CN69.BO,Principal Ultra Short Term Fund Weekly Dividend Payout
0P0000GB29.BO,Aditya Birla Sun Life Tax Relief 96 Growth
