symbol,name
1STCUS.BO,The First Custodian Fund (I) Ltd.
20MICRONS.BO,20 Microns Limited
21STCENMGM.BO,Twentyfirst Century Management Services Limited
3IINFOTECH.BO,3i Infotech Limited
4THGEN.BO,Fourth Generation Information Systems Limited
543282.BO,Niks Technology Limited
7TEC.BO,Saven Technologies Limited
A2ZINFRA.BO,A2Z Infra Engineering Limited
AAIL.BO,Akar Auto Industries Limited
AAL.BO,A-1 Acid Limited
AANANDALAK.BO,Aananda Lakshmi Spinning Mills Limited
AANCHALISP.BO,Aanchal Ispat Limited
AARNAV.BO,AARNAV FASHIONS LIMITED
AARTECH.BO,Aartech Solonics Limited
AARTIDRUGS.BO,Aarti Drugs Limited
AARTIIND.BO,Aarti Industries Limited
AARTISURF.BO,Aarti Surfactants Limited
AARVEEDEN.BO,Aarvee Denims and Exports Limited
AAVAS.BO,AAVAS Financiers Limited
AAYUSH.BO,Aayush Food and Herbs Limited
ABAN.BO,Aban Offshore Limited
ABANSENT.BO,ABans Enterprises Limited
ABB.BO,ABB India Limited
ABBOTINDIA.BO,Abbott India Limited
ABCAPITAL.BO,Aditya Birla Capital Limited
ABCGAS.BO,ABC Gas (International) Limited
ABCINDQ.BO,ABC India Limited
ABFRL.BO,Aditya Birla Fashion and Retail Limited
ABFRLPP.BO,Aditya Birla Fashion and Retai
ABHICAP.BO,Abhinav Capital Services Limited
ABHIFIN.BO,Abhishek Finlease Limited
ABHIINFRA.BO,Abhishek Infraventures Limited
ABIRAFN.BO,Abirami Financial Services (India) Limited
ABMKNO.BO,ABM Knowledgeware Limited
ABSLBANETF.BO,Aditya Birla Sun Life Mutual F
ABSLNN50ET.BO,Aditya Birla Sun Life Mutual F
ABSLRIF6RG.BO,Aditya Birla Sun Life Mutual F
ABSLRIF7RG.BO,Aditya Birla Sun Life Mutual F
ABVL.BO,Arunjyoti Bio Ventures Limited
ACC.BO,ACC Limited
ACCEL.BO,Accel Limited
ACCELYA.BO,Accelya Solutions India Limited
ACE.BO,Action Construction Equipment Limited
ACEEDU.BO,ACE Edutrend Limited
ACEMEN.BO,Ace Men Engg Works Limited
ACESOFT.BO,Ace Software Exports Limited
ACEWIN.BO,ACEWIN AGRITECK LIMITED
ACGL.BO,Automobile Corporation of Goa Limited
ACIIN.BO,ACI Infocom Limited
ACKNIT.BO,Acknit Industries Limited
ACME.BO,Acme Resources Limited
ACML.BO,Aditya Consumer Marketing Limited
