Scrip Name,ISIN No,ISIN Reinvestment,Instrument Type
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,INF0QA701599,INF0QA701581,Mutual Fund
Bandhan Mutual Fund,,,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,INF194K019M8,,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,,INF194KA1JD3,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,,INF194K010N5,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Direct Growth,INF194K015G8,,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Direct IDCW,INF194K016G6,INF194K017G4,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,,INF194K011N3,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,INF194K018M0,,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,INF194K015M6,,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,,INF194KA1JC5,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,,INF194K016M4,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Regular Growth,INF194K01SN6,,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Regular IDCW,INF194K01SO4,INF194K012D2,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,,INF194K017M2,Mutual Fund
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,INF194K014M9,,Mutual Fund
Baroda BNP Paribas Mutual Fund,,,Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,INF955L01KF1,INF955L01KG9,Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,INF955L01KC8,,Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,INF955L01KD6,INF955L01KE4,Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,INF955L01JX6,,Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,INF955L01KA2,INF955L01KB0,Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,INF955L01JY4,INF955L01JZ1,Mutual Fund
Canara Robeco Mutual Fund,,,Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,INF760K01KC4,,Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,INF760K01KE0,INF760K01KD2,Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,INF760K01KF7,,Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),INF760K01KH3,INF760K01KG5,Mutual Fund
DSP Mutual Fund,,,Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - Growth,INF740K01ZW2,,Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,INF740K01A18,INF740K01A26,Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,,INF740KA1OF7,Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,INF740K01ZX0,INF740K01ZY8,Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,INF740K01ZZ5,INF740K01A00,Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,INF740KA1OG5,INF740KA1OH3,Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - Growth,INF740K01ZP6,,Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,INF740K01ZU6,INF740K01ZV4,Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,,INF740KA1OI1,Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,INF740K01ZQ4,INF740K01ZR2,Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,INF740K01ZS0,INF740K01ZT8,Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,INF740KA1OJ9,INF740KA1OK7,Mutual Fund
Edelweiss Mutual Fund,,,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,INF843K01FC8,,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,INF843K01FD6,INF843K01FE4,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,INF843K01FG9,,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,INF843K01FI5,INF843K01FH7,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,INF843K01FF1,,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,INF843K01FK1,,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,INF843K01FL9,INF843K01FM7,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,INF843K01FO3,,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,INF843K01FQ8,INF843K01FP0,Mutual Fund
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,INF843K01FN5,,Mutual Fund
Franklin Templeton Mutual Fund,,,Mutual Fund
