Scrip Name,ISIN No,ISIN Reinvestment,Instrument Type
UTI Credit Risk Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW,INF789F1ANP8,INF789F1ANQ6,Mutual Fund
UTI Credit Risk Fund- Regular Plan - Growth Option,INF789F01QZ1,,Mutual Fund
UTI Credit Risk Fund - Direct Plan - Annual IDCW,INF789FB1U28,INF789FB1U36,Mutual Fund
UTI Credit Risk Fund - Direct Plan - Flexi IDCW,INF789FB1U44,INF789FB1U51,Mutual Fund
UTI Credit Risk Fund - Direct Plan - Growth Option,INF789F01YB6,,Mutual Fund
UTI Credit Risk Fund - Direct Plan - Half-Yearly IDCW,INF789FA1W02,INF789FA1W10,Mutual Fund
UTI Credit Risk Fund - Direct Plan - Monthly IDCW,INF789FB1U02,INF789FB1U10,Mutual Fund
UTI Credit Risk Fund - Direct Plan - Quarterly IDCW,INF789F01YC4,INF789F01YD2,Mutual Fund
UTI Credit Risk Fund - Regular Plan - Annual IDCW,INF789FA1V60,INF789FA1V78,Mutual Fund
UTI Credit Risk Fund - Regular Plan - Flexi IDCW,INF789FA1V86,INF789FA1V94,Mutual Fund
UTI Credit Risk Fund - Regular Plan - Half-Yearly IDCW,INF789FA1V45,INF789FA1V52,Mutual Fund
UTI Credit Risk Fund - Regular Plan - Monthly IDCW,INF789FB1T88,INF789FB1T96,Mutual Fund
UTI Credit Risk Fund - Regular Plan - Quarterly IDCW,INF789F01RA2,INF789F01RB0,Mutual Fund
Open Ended Schemes (Debt Scheme - Dynamic Bond),,,Mutual Fund
360 ONE Mutual Fund (Formerly Known as IIFL Mutual Fund),,,Mutual Fund
360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,INF579M01183,,Mutual Fund
360 ONE Dynamic Bond Fund Direct Plan Growth,INF579M01266,,Mutual Fund
360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,INF579M01282,INF579M01316,Mutual Fund
360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,INF579M01290,INF579M01324,Mutual Fund
360 ONE Dynamic Bond Fund Regular Plan Bonus,INF579M01191,,Mutual Fund
360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,INF579M01225,INF579M01258,Mutual Fund
360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,INF579M01209,INF579M01233,Mutual Fund
360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,INF579M01217,INF579M01241,Mutual Fund
Aditya Birla Sun Life Mutual Fund,,,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,INF209K01N82,,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund - Growth - Regular Plan,INF209K01793,,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund -Direct - IDCW,INF209KA1TX3,,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund -DIRECT - MONTHLY IDCW,INF209K01R62,,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund -Direct - Quarterly IDCW,INF209K01R88,,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund -Regular - IDCW,INF209KA1TV7,,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund -REGULAR - MONTHLY IDCW,INF209K01801,INF209K01DG8,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund -Regular - Quarterly IDCW,INF209K01819,INF209K01DH6,Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund-Discipline Advantage Plan-Growth,INF209K01JW2,,Mutual Fund
Axis Mutual Fund,,,Mutual Fund
Axis Dynamic Bond Fund - Direct Plan - Growth Option,INF846K01DI3,,Mutual Fund
Axis Dynamic Bond Fund - Direct Plan - Half Yearly IDCW,INF846K01DJ1,INF846K01DK9,Mutual Fund
Axis Dynamic Bond Fund - Direct Plan - Quarterly IDCW,INF846K01DL7,INF846K01DM5,Mutual Fund
Axis Dynamic Bond Fund - Regular Plan - Growth Option,INF846K01917,,Mutual Fund
Axis Dynamic Bond Fund - Regular Plan - Half Yearly IDCW,INF846K01941,INF846K01958,Mutual Fund
Axis Dynamic Bond Fund - Regular Plan - Quarterly IDCW,INF846K01925,INF846K01933,Mutual Fund
Bandhan Mutual Fund,,,Mutual Fund
BANDHAN Dynamic Bond Fund - Regular Plan B - Quarterly IDCW,INF194K01QI0,INF194K01QH2,Mutual Fund
BANDHAN Dynamic Bond Fund - Regular Plan B - Annual IDCW,INF194K01QL4,INF194K01QK6,Mutual Fund
BANDHAN Dynamic Bond Fund - Regular Plan B - Growth,INF194K01QG4,,Mutual Fund
BANDHAN Dynamic Bond Fund - Regular Plan B - Half Yearly IDCW,INF194K018R9,INF194K019R7,Mutual Fund
BANDHAN Dynamic Bond Fund - Regular Plan B - IDCW,INF194K01QO8,INF194K01QN0,Mutual Fund
BANDHAN Dynamic Bond Fund - Regular Plan B - Periodic IDCW,INF194KA1TM3,INF194KA1TN1,Mutual Fund
BANDHAN Dynamic Bond Fund-Direct Plan-Annual IDCW,INF194K01O13,INF194K01O05,Mutual Fund
BANDHAN Dynamic Bond Fund-Direct Plan-Growth,INF194K01N63,,Mutual Fund
BANDHAN Dynamic Bond Fund-Direct Plan-Half Yearly IDCW,INF194K011P8,INF194K012P6,Mutual Fund
BANDHAN Dynamic Bond Fund-Direct Plan-IDCW,INF194K01O47,INF194K01O39,Mutual Fund
BANDHAN Dynamic Bond Fund-Direct Plan-Periodic IDCW,INF194KA1TP6,INF194KA1TQ4,Mutual Fund
BANDHAN Dynamic Bond Fund-Direct Plan-Quarterly IDCW,INF194K01N89,INF194K01N71,Mutual Fund
Baroda BNP Paribas Mutual Fund,,,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Daily IDCW Option,,INF251K01GX8,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Growth Option,INF251K01GW0,,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Half Yearly IDCW Option,INF251K01HD8,INF251K01HE6,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Monthly IDCW Option,INF251K01GZ3,INF251K01HA4,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Quarterly IDCW Option,INF251K01HB2,INF251K01HC0,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Weekly IDCW Option,,INF251K01GY6,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan - Daily IDCW Option,,INF251K01DX5,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan - Growth Option,INF251K01DW7,,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan - Half Yearly IDCW Option,INF251K01ED5,INF251K01EE3,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan - Monthly IDCW Option,INF251K01DZ0,INF251K01EA1,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan - Quarterly IDCW Option,INF251K01EB9,INF251K01EC7,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan - Weekly IDCW Option,,INF251K01DY3,Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund-Defunct Plan - Growth Option,INF251K01EF0,,Mutual Fund
Canara Robeco Mutual Fund,,,Mutual Fund
CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION,INF760K01EC7,,Mutual Fund
CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),INF760K01EA1,INF760K01EB9,Mutual Fund
CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - GROWTH OPTION,INF760K01449,,Mutual Fund
CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),INF760K01423,INF760K01431,Mutual Fund
DSP Mutual Fund,,,Mutual Fund
DSP Strategic Bond Fund - Direct Plan - Growth,INF740K01QG4,,Mutual Fund
DSP Strategic Bond Fund - Direct Plan - IDCW,INF740K01QI0,INF740K01QK6,Mutual Fund
DSP Strategic Bond Fund - Direct Plan - IDCW - Daily,,INF740KA1OX0,Mutual Fund
DSP Strategic Bond Fund - Direct Plan - IDCW - Monthly,INF740K01QH2,INF740K01QJ8,Mutual Fund
DSP Strategic Bond Fund - Direct Plan - IDCW - Weekly,INF740KA1OY8,INF740KA1OZ5,Mutual Fund
DSP Strategic Bond Fund - Regular Plan - Growth,INF740K01GK7,,Mutual Fund
DSP Strategic Bond Fund - Regular Plan - IDCW,INF740K01GO9,INF740K01GN1,Mutual Fund
DSP Strategic Bond Fund - Regular Plan - IDCW - Daily,,INF740KA1PA5,Mutual Fund
DSP Strategic Bond Fund - Regular Plan - IDCW - Monthly,INF740K01GM3,INF740K01GL5,Mutual Fund
DSP Strategic Bond Fund - Regular Plan - IDCW - Weekly,INF740K01GQ4,INF740K01GP6,Mutual Fund
Franklin Templeton Mutual Fund,,,Mutual Fund
Franklin India Dynamic Accrual Fund - Direct - Growth,INF090I01HB8,,Mutual Fund
Franklin India Dynamic Accrual Fund - Direct - IDCW,INF090I01GZ9,INF090I01HA0,Mutual Fund
Franklin India Dynamic Accrual Fund - IDCW,INF090I01BN6,INF090I01BO4,Mutual Fund
Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Growth Plan,INF090I01WD3,,Mutual Fund
Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Growth Plan,INF090I01WB7,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Dividend Plan,INF090I01TS7,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,INF090I01TT5,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Dividend Plan,INF090I01TQ1,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,INF090I01TR9,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - IDCW,INF090I01TU3,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct-Growth Plan,INF090I01TX7,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,INF090I01TV1,,Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - IDCW,INF090I01WA9,,Mutual Fund
Franklin India Dynamic Accrual Fund-Growth,INF090I01BP1,,Mutual Fund
Franklin India Dynamic Accrual Fund-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct IDCW,INF090I01TW9,,Mutual Fund
Franklin India Dynamic Accrual Fund-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct IDCW,INF090I01WC5,,Mutual Fund
Groww Mutual Fund,,,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option,INF666M01EK5,,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Regular Plan - Growth option,INF666M01ES8,,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),,INF666M01EL3,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01EO7,INF666M01EP4,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01EQ2,INF666M01ER0,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01EM1,INF666M01EN9,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),,INF666M01ET6,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01EW0,INF666M01EX8,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01EY6,INF666M01EZ3,Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01EU4,INF666M01EV2,Mutual Fund
HDFC Mutual Fund,,,Mutual Fund
HDFC Dynamic Debt Fund - Growth Option,INF179K01848,,Mutual Fund
HDFC Dynamic Debt Fund - Growth Option - Direct Plan,INF179K01WB4,,Mutual Fund
HDFC Dynamic Debt Fund - Half Yearly IDCW - Direct Plan,INF179K01WC2,INF179K01WD0,Mutual Fund
HDFC Dynamic Debt Fund - Half Yearly IDCW Option,INF179K01855,INF179K01863,Mutual Fund
HDFC Dynamic Debt Fund - Normal IDCW - Direct Plan,INF179KA1Q95,,Mutual Fund
HDFC Dynamic Debt Fund - Normal IDCW Option,INF179KA1R11,,Mutual Fund
HDFC Dynamic Debt Fund - Quarterly IDCW - Direct Plan,INF179K01WE8,INF179K01WF5,Mutual Fund
HDFC Dynamic Debt Fund - Quarterly IDCW Option,INF179K01871,INF179K01889,Mutual Fund
HDFC Dynamic Debt Fund - Yearly IDCW - Direct Plan,INF179K01WG3,INF179K01WH1,Mutual Fund
HDFC Dynamic Debt Fund - Yearly IDCW Option,INF179K01921,INF179K01939,Mutual Fund
HSBC Mutual Fund,,,Mutual Fund
HSBC Dynamic Bond Fund - Direct Annual IDCW,INF917K01VN4,INF917K01VM6,Mutual Fund
HSBC Dynamic Bond Fund - Direct Growth,INF917K01HA0,,Mutual Fund
HSBC Dynamic Bond Fund - Direct Monthly IDCW,INF917K01GZ9,INF917K01GY2,Mutual Fund
HSBC Dynamic Bond Fund - Regular Annual IDCW,INF917K01VP9,INF917K01VO2,Mutual Fund
HSBC Dynamic Bond Fund - Regular Growth,INF677K01916,,Mutual Fund
HSBC Dynamic Bond Fund - Regular Monthly IDCW,INF677K01924,INF677K01932,Mutual Fund
ICICI Prudential Mutual Fund,,,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Annual IDCW,INF109K01GO7,INF109K01GP4,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Bonus,INF109KA1H36,,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Direct Plan - Annual IDCW,INF109K012E4,INF109K013E2,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,INF109K016E5,,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Direct Plan - IDCW,INF109K014E0,INF109K015E7,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Direct Plan - Quarterly IDCW,INF109K017E3,INF109K018E1,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Direct Plan - Weekly IDCW,INF109K019E9,INF109K010F5,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Direct Plan Bonus,INF109KA1H28,,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Growth,INF109K01GN9,,Mutual Fund
ICICI Prudential All Seasons Bond Fund - IDCW,INF109K01GK5,INF109K01GL3,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Premium Growth Option,INF109K01GM1,,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Quarterly IDCW,INF109K01GE8,INF109K01GF5,Mutual Fund
ICICI Prudential All Seasons Bond Fund - Weekly IDCW,INF109K01FD2,INF109K01704,Mutual Fund
ICICI Prudential All Seasons Bond Fund Retail - Annual Dividend,INF109K01GI9,INF109K01GJ7,Mutual Fund
ICICI Prudential All Seasons Bond Fund Retail - Cumulative,INF109K01712,,Mutual Fund
ICICI Prudential All Seasons Bond Fund Retail - Quarterly Dividend,INF109K01GG3,INF109K01GH1,Mutual Fund
ITI Mutual Fund,,,Mutual Fund
ITI Dynamic Bond Fund - Direct Plan - Annually IDCW Option,INF00XX01BK7,INF00XX01BG5,Mutual Fund
ITI Dynamic Bond Fund - Direct Plan - Growth Option,INF00XX01BC4,,Mutual Fund
ITI Dynamic Bond Fund - Direct Plan - Half Yearly IDCW Option,INF00XX01BJ9,INF00XX01BF7,Mutual Fund
ITI Dynamic Bond Fund - Direct Plan - Monthly IDCWOption,INF00XX01BH3,INF00XX01BD2,Mutual Fund
ITI Dynamic Bond Fund - Direct Plan - Quarterly IDCW Option,INF00XX01BI1,INF00XX01BE0,Mutual Fund
ITI Dynamic Bond Fund - Regular Plan - Annually IDCWOption,INF00XX01BB6,INF00XX01AX2,Mutual Fund
ITI Dynamic Bond Fund - Regular Plan - Growth Option,INF00XX01AT0,,Mutual Fund
ITI Dynamic Bond Fund - Regular Plan - Half Yearly IDCW Option,INF00XX01BA8,INF00XX01AW4,Mutual Fund
ITI Dynamic Bond Fund - Regular Plan - Monthly IDCW Option,INF00XX01AY0,INF00XX01AU8,Mutual Fund
ITI Dynamic Bond Fund - Regular Plan - Quarterly IDCW Option,INF00XX01AZ7,INF00XX01AV6,Mutual Fund
JM Financial Mutual Fund,,,Mutual Fund
JM Dynamic Bond Fund (Direct) - Daily IDCW,,INF192K01CZ8,Mutual Fund
JM Dynamic Bond Fund (Direct) - IDCW,INF192K01DB7,INF192K01DC5,Mutual Fund
JM Dynamic Bond Fund (Direct) - Monthly IDCW,INF192K01IL5,INF192K01IM3,Mutual Fund
JM Dynamic Bond Fund (Direct) - Weekly IDCW,,INF192K01DA9,Mutual Fund
JM Dynamic Bond Fund (Regular) - Bonus Option - Principal Units,INF192K01EX9,,Mutual Fund
JM Dynamic Bond Fund (Regular) - Daily IDCW,,INF192K01668,Mutual Fund
JM Dynamic Bond Fund (Regular) - Growth Option,INF192K01700,,Mutual Fund
JM Dynamic Bond Fund (Regular) - Half Yearly Bonus Option - Principal Units,INF192K01IN1,,Mutual Fund
JM Dynamic Bond Fund (Regular) - IDCW,INF192K01684,INF192K01692,Mutual Fund
JM Dynamic Bond Fund (Regular) - Monthly IDCW,INF192K01IJ9,INF192K01IK7,Mutual Fund
JM Dynamic Bond Fund (Regular) - Weekly IDCW,,INF192K01676,Mutual Fund
JM Dynamic Bond Fund (Regular)- Premium Plan IDCW,INF192K01734,INF192K01742,Mutual Fund
JM Dynamic Bond Fund - (Direct) - Bonus Option-Principal Units,INF192K01EZ4,,Mutual Fund
JM Dynamic Bond Fund - (Direct) - Growth Option,INF192K01DD3,,Mutual Fund
JM Dynamic Bond Fund - (Direct) - Half Yearly Bonus Option - Principal Units,INF192K01IP6,,Mutual Fund
JM Dynamic Bond Fund - Premium Plan - Daily Dividend Option,,INF192K01718,Mutual Fund
JM Dynamic Bond Fund - Premium Plan - Growth Option,INF192K01759,,Mutual Fund
Kotak Mahindra Mutual Fund,,,Mutual Fund
Kotak Dynamic Bond Fund - Direct Plan - Standard Income Distribution cum capital withdrawal option,INF174K01JX6,,Mutual Fund
Kotak Dynamic Bond Fund - Growth - Direct,INF174K01JU2,,Mutual Fund
Kotak Dynamic Bond Fund Regular Plan - Standard Income Distribution cum capital withdrawal option,INF174K01IY6,INF174K01IZ3,Mutual Fund
Kotak Dynamic Bond Fund Regular Plan Growth,INF174K01FA2,,Mutual Fund
Mahindra Manulife Mutual Fund,,,Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth,INF174V01580,,Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Direct Plan - IDCW,INF174V01606,INF174V01598,Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Direct Plan - Quarterly IDCW,INF174V01622,INF174V01614,Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Regular Plan - Growth,INF174V01531,,Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Regular Plan - IDCW,INF174V01556,INF174V01549,Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Regular Plan - Quarterly IDCW,INF174V01572,INF174V01564,Mutual Fund
Mirae Asset Mutual Fund,,,Mutual Fund
Mirae Asset Dynamic Bond Fund -Direct Plan -Growth,INF769K01DR8,,Mutual Fund
Mirae Asset Dynamic Bond Fund Direct IDCW,INF769K01DS6,INF769K01DT4,Mutual Fund
Mirae Asset Dynamic Bond Fund Regular IDCW,INF769K01DP2,INF769K01DQ0,Mutual Fund
Mirae Asset Dynamic Bond Fund-Regular Plan Growth,INF769K01DO5,,Mutual Fund
Nippon India Mutual Fund,,,Mutual Fund
NIPPON INDIA DYNAMIC BOND FUND - Direct Plan - IDCW Option,INF204K01A33,INF204K01A41,Mutual Fund
NIPPON INDIA DYNAMIC BOND FUND - Direct Plan - QUARTERLY IDCW Option,INF204K01A58,INF204K01A66,Mutual Fund
Nippon India Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option,INF204K01A25,,Mutual Fund
NIPPON INDIA DYNAMIC BOND FUND - IDCW Option,INF204K01FJ8,INF204K01FK6,Mutual Fund
NIPPON INDIA DYNAMIC BOND FUND - QUARTERLY IDCW Option,INF204K01XB8,INF204K01XC6,Mutual Fund
Nippon India Dynamic Bond Fund-Growth Plan-Growth Option,INF204K01FI0,,Mutual Fund
PGIM India Mutual Fund,,,Mutual Fund
PGIM India Dynamic Bond Fund - Direct Plan-Growth Option,INF663L01AD7,,Mutual Fund
PGIM India Dynamic Bond Fund - Direct Plan-Monthly Dividend Option,INF663L01AF2,INF663L01AE5,Mutual Fund
PGIM India Dynamic Bond Fund - Direct Plan-Quarterly Dividend Option,INF663L01AI6,INF663L01AH8,Mutual Fund
PGIM India Dynamic Bond Fund - Dividend Option - Monthly,INF663L01492,INF663L01500,Mutual Fund
PGIM India Dynamic Bond Fund - Dividend Option - Quarterly,INF663L01526,INF663L01534,Mutual Fund
PGIM India Dynamic Bond Fund - Growth Option,INF663L01484,,Mutual Fund
PGIM India Dynamic Bond Fund-Bonus Option,INF663L01BF0,,Mutual Fund
Quantum Mutual Fund,,,Mutual Fund
Quantum Dynamic Bond Fund - Direct Plan Growth Option,INF082J01176,,Mutual Fund
Quantum Dynamic Bond Fund - Direct Plan Monthly IDCW,INF082J01184,INF082J01192,Mutual Fund
Quantum Dynamic Bond Fund - Regular Plan Growth Option,INF082J01218,,Mutual Fund
Quantum Dynamic Bond Fund - Regular Plan Monthly IDCW,INF082J01226,INF082J01234,Mutual Fund
SBI Mutual Fund,,,Mutual Fund
SBI Dynamic Bond Fund - DIRECT PLAN - Growth,INF200K01RD4,,Mutual Fund
SBI Dynamic Bond Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01RB8,INF200K01RC6,Mutual Fund
SBI Dynamic Bond Fund - REGULAR PLAN - Growth,INF200K01958,,Mutual Fund
SBI Dynamic Bond Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01966,INF200K01974,Mutual Fund
Tata Mutual Fund,,,Mutual Fund
Tata Dynamic Bond Fund- Direct Plan-Growth Option,INF277K01MV5,,Mutual Fund
Tata Dynamic Bond Fund- Regular Plan - Growth Option,INF277K01360,,Mutual Fund
Tata Dynamic Bond Fund- Regular Plan - Payout of IDCW Option,INF277K01DE0,INF277K01352,Mutual Fund
Tata Dynamic Bond- Direct Plan - Payout of IDCW Option,INF277K01MT9,INF277K01MU7,Mutual Fund
Union Mutual Fund,,,Mutual Fund
Union Dynamic Bond Fund - Direct Plan - Growth Option,INF582M01799,,Mutual Fund
Union Dynamic Bond Fund - Direct Plan - IDCW Option,INF582M01815,INF582M01807,Mutual Fund
Union Dynamic Bond Fund - Growth Option,INF582M01336,,Mutual Fund
Union Dynamic Bond Fund - IDCW Option,INF582M01351,INF582M01344,Mutual Fund
UTI Mutual Fund,,,Mutual Fund
UTI - Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,INF789F1APX7,,Mutual Fund
UTI - Dynamic Bond Fund (Segregated - 17022020) - Regular Plan - Growth Option,INF789F1APO6,,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Annual IDCW,INF789F1AQC9,INF789F1AQD7,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW,INF789F1AQE5,INF789F1AQF2,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Half-Yearly IDCW,INF789F1AQA3,INF789F1AQB1,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW,INF789F1APY5,INF789F1APZ2,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW,INF789F1APT5,INF789F1APU3,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW,INF789F1APV1,INF789F1APW9,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW,INF789F1APR9,INF789F1APS7,Mutual Fund
UTI Dynamic Bond Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW,INF789F1APP3,INF789F1APQ1,Mutual Fund
UTI Dynamic Bond Fund - Direct Plan - Annual IDCW,INF789FA1S65,INF789FA1S73,Mutual Fund
UTI Dynamic Bond Fund - Direct Plan - Flexi IDCW,INF789FA1S81,INF789FA1S99,Mutual Fund
UTI Dynamic Bond Fund - Direct Plan - Growth Option,INF789F01XD4,,Mutual Fund
UTI Dynamic Bond Fund - Direct Plan - Half-Yearly IDCW,INF789FA1S40,INF789FA1S57,Mutual Fund
UTI Dynamic Bond Fund - Direct Plan - Quarterly IDCW,INF789F01XB8,INF789F01XC6,Mutual Fund
UTI Dynamic Bond Fund - Regular Plan - Annual IDCW,INF789FA1S08,INF789FA1S16,Mutual Fund
UTI Dynamic Bond Fund - Regular Plan - Flexi IDCW,INF789FA1S24,INF789FA1S32,Mutual Fund
UTI Dynamic Bond Fund - Regular Plan - Growth Option,INF789F01JQ5,,Mutual Fund
UTI Dynamic Bond Fund - Regular Plan - Half-Yearly IDCW,INF789FA1R82,INF789FA1R90,Mutual Fund
UTI Dynamic Bond Fund - Regular Plan - Quarterly IDCW,INF789F01JO0,INF789F01JP7,Mutual Fund
Open Ended Schemes (Debt Scheme - Floater Fund),,,Mutual Fund
Aditya Birla Sun Life Mutual Fund,,,Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-Direct - daily IDCW,INF209K01UW9,,Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-Direct - weekly IDCW,INF209K01UY5,,Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth,INF209K01UX7,,Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-Regular - DAILY IDCW,,INF209KA1LN1,Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-REGULAR - WEEKLY IDCW,,INF209K01MH7,Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-Regular Plan-Growth,INF209K01MG9,,Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-RETAIL - WEEKLY IDCW,,INF209K01MI5,Mutual Fund
