username,scrip_name,symbol,exchange,segment,datetime,side,quantity,price,amount
,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-01-02 00:00:00,BUY,18.76,53.31,1000.1
,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-02-06 00:00:00,BUY,19.7,50.77,1000.17
,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-03-03 00:00:00,BUY,21.36,46.82,1000.08
,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-04-02 00:00:00,BUY,100.19,49.9,4999.48
,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-05-02 00:00:00,BUY,96.39,51.87,4999.75
,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-06-02 00:00:00,BUY,92.89,53.82,4999.34
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-05-24 00:00:00,BUY,2.33,428.89,999.31
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-07-02 00:00:00,BUY,2.2,455.11,1001.24
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-08-02 00:00:00,BUY,2.11,474.32,1000.82
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-09-02 00:00:00,BUY,2.08,481.11,1000.71
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-10-03 00:00:00,BUY,2.07,482.09,997.93
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-11-04 00:00:00,BUY,2.16,462.44,998.87
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-12-02 00:00:00,BUY,2.15,466.15,1002.22
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-01-02 00:00:00,BUY,2.15,464.34,998.33
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-02-06 00:00:00,BUY,2.24,447.11,1001.53
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-03-03 00:00:00,BUY,2.4,415.9,998.16
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-04-02 00:00:00,BUY,11.39,439.12,5001.58
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-05-02 00:00:00,BUY,11.1,450.41,4999.55
,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-06-02 00:00:00,BUY,10.71,466.71,4998.46
