exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage,brokerage
FON,FO,NIFTY,NIFTY-PE-21650-11JAN2024,LONG,50.0,2024-01-05 14:27:22,BUY,125.0,6250.0,2024-01-05 14:32:02,SELL,118.0,5900.0,-350.0,-5.6,53.3
FON,FO,NIFTY,NIFTY-PE-21800-21MAR2024,LONG,50.0,2024-03-20 10:21:39,BUY,105.0,5250.0,2024-03-20 10:26:20,SELL,104.0,5200.0,-50.0,-0.95,52.57
FON,FO,NIFTY,NIFTY-PE-21950-29FEB2024,LONG,50.0,2024-02-29 13:41:01,BUY,37.0,1850.0,2024-02-29 13:54:11,SELL,23.55,1177.5,-672.5,-36.35,48.44
FON,FO,NIFTY,NIFTY-PE-22000-29FEB2024,LONG,50.0,2024-02-28 13:09:09,BUY,150.65,7532.5,2024-02-28 13:23:50,SELL,115.0,5750.0,-1782.5,-23.66,53.19
FON,FO,NIFTY,NIFTY-PE-22100-18JAN2024,LONG,50.0,2024-01-16 12:16:50,BUY,114.0,5700.0,2024-01-16 12:22:45,SELL,110.0,5500.0,-200.0,-3.51,52.88
FON,FO,NIFTY,NIFTY-PE-22250-22FEB2024,LONG,50.0,2024-02-21 12:45:49,BUY,100.0,5000.0,2024-02-21 12:47:17,SELL,97.15,4857.5,-142.5,-2.85,52.22
FON,FO,NIFTY,NIFTY-PE-22450-02MAY2024,LONG,25.0,2024-04-26 14:32:57,BUY,113.0,2825.0,2024-04-26 14:36:33,SELL,106.4,2660.0,-165.0,-5.84,49.95
FON,FO,NIFTY,NIFTY-PE-22500-10APR2024,LONG,50.0,2024-04-05 11:29:46,BUY,128.0,6400.0,2024-04-05 11:36:01,SELL,120.0,6000.0,-400.0,-6.25,53.4
FON,FO,NIFTY,NIFTY-PE-22700-02MAY2024,LONG,25.0,2024-05-02 12:50:44,BUY,41.0,1025.0,2024-05-02 12:58:30,SELL,35.0,875.0,-150.0,-14.63,48.11
FON,FO,NIFTY,NIFTY-PE-23500-27JUN2024,LONG,25.0,2024-06-21 13:03:30,BUY,155.65,3891.25,2024-06-21 13:13:18,SELL,156.85,3921.25,30.0,0.77,51.25
FON,FO,NIFTY,NIFTY-PE-24150-04JUL2024,LONG,25.0,2024-07-02 12:15:13,BUY,105.0,2625.0,2024-07-02 13:08:15,SELL,138.0,3450.0,825.0,31.43,50.73
FON,FO,NIFTY,NIFTY-PE-24300-04JUL2024,LONG,25.0,2024-07-03 14:00:57,BUY,91.0,2275.0,2024-07-03 14:18:39,SELL,93.75,2343.75,68.75,3.02,49.62
FON,FO,NIFTY,NIFTY-PE-24300-11JUL2024,LONG,50.0,2024-07-11 11:00:35,BUY,83.0,4150.0,2024-07-11 11:04:18,SELL,78.0,3900.0,-250.0,-6.02,51.23
FON,FO,NIFTY,NIFTY-PE-24300-11JUL2024,LONG,50.0,2024-07-11 11:02:45,BUY,71.1,3555.0,2024-07-11 11:11:20,SELL,77.75,3887.5,332.5,9.35,51.2
FON,FO,NIFTY,NIFTY-PE-24400-25JUL2024,EXPIRED,25.0,2024-07-25 14:46:36,BUY,11.0,275.0,2024-07-25 15:30:00,EXPIRED,0.0,0.0,-275.0,-100.0,47.21
FON,FO,NIFTY,NIFTY-PE-24450-25JUL2024,LONG,25.0,2024-07-23 10:29:00,BUY,231.0,5775.0,2024-07-23 10:34:05,SELL,208.25,5206.25,-568.75,-9.85,52.59
FON,FO,NIFTY,NIFTY-PE-24750-22AUG2024,LONG,25.0,2024-08-21 13:27:20,BUY,90.0,2250.0,2024-08-21 13:31:26,SELL,81.0,2025.0,-225.0,-10.0,49.3
FON,FO,NIFTY,NIFTY-PE-24800-18JUL2024,LONG,25.0,2024-07-18 14:58:18,BUY,11.0,275.0,2024-07-18 15:26:25,SELL,0.15,3.75,-271.25,-98.64,47.21
FON,FO,NIFTY,NIFTY-PE-24850-12SEP2024,LONG,25.0,2024-09-06 13:17:53,BUY,150.55,3763.75,2024-09-06 13:33:54,SELL,138.7,3467.5,-296.25,-7.87,50.79
FON,FO,NIFTY,NIFTY-PE-25200-05SEP2024,LONG,25.0,2024-09-05 13:16:27,BUY,40.0,1000.0,2024-09-05 14:22:42,SELL,48.0,1200.0,200.0,20.0,48.43
