segment,exchange,symbol,min_date,max_date,isin
EQ,NSE,BAJAJHFL,2024-09-13,2025-01-01,INE377Y01014
EQ,NSE,BHAGERIA,2020-05-05,2020-06-14,INE354C01027
EQ,NSE,BPCL,2021-08-06,2022-08-09,INE029A01011
EQ,NSE,GOLDBEES,2021-02-09,2021-06-03,INF204KB17I5
EQ,NSE,HERANBA,2021-03-04,2021-03-08,INE694N01015
EQ,NSE,IDEA,2020-07-29,2021-06-13,INE669E01016
EQ,NSE,INFY,2021-04-12,2021-06-13,INE009A01021
EQ,NSE,IRCTC,2024-06-04,2025-01-01,INE335Y01020
EQ,NSE,KPITTECH,2024-06-13,2025-01-01,INE04I401011
EQ,NSE,LICI,2022-05-13,2022-08-09,INE0J1Y01017
EQ,NSE,NIFTYBEES,2021-02-09,2021-06-13,INF204KB14I2
EQ,NSE,PNB,2020-07-29,2021-06-13,INE160A01022
EQ,NSE,SBIN,2021-05-10,2021-06-03,INE062A01020
EQ,NSE,TATACHEM,2021-06-15,2022-08-09,INE092A01019
EQ,NSE,TATAMOTORS,2020-04-21,2025-01-01,INE155A01022
EQ,NSE,TATAPOWER,2021-02-08,2025-01-01,INE245A01021
EQ,NSE,UNITDSPR,2024-11-19,2025-01-01,INE854D01024
EQ,NSE,VOLTAS,2021-06-15,2022-08-09,INE226A01021
EQ,NSE,YESBANK,2020-07-27,2021-11-09,INE528G01035
MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,2024-05-24,2025-01-01,INF769K01DM9
MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,2024-05-24,2025-01-01,INF200K01UM9
