date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-08-01 00:00:00+05:30,3018.64,3025.52,2988.85,2991.84,2053847.0,0.0,0.0,
2025-08-04 00:00:00+05:30,2997.92,3067.96,2980.48,3062.98,2519252.0,0.0,0.0,
2025-08-05 00:00:00+05:30,3062.98,3066.06,3030.7,3052.52,1927996.0,0.0,0.0,
2025-08-06 00:00:00+05:30,3051.62,3055.4,3014.76,3021.03,1487081.0,0.0,0.0,
2025-08-07 00:00:00+05:30,3004.79,3040.26,2999.71,3035.68,2543076.0,0.0,0.0,
2025-08-08 00:00:00+05:30,3036.77,3048.43,3013.76,3025.12,2762140.0,0.0,0.0,
2025-08-11 00:00:00+05:30,3025.12,3038.57,3010.07,3029.5,1884215.0,0.0,0.0,
2025-08-12 00:00:00+05:30,3029.7,3084.89,3015.65,3024.12,3358232.0,0.0,0.0,
2025-08-13 00:00:00+05:30,3024.82,3033.09,3017.35,3024.92,2148166.0,0.0,0.0,
2025-08-14 00:00:00+05:30,3022.73,3044.54,3007.88,3011.07,3342174.0,0.0,0.0,
2025-08-18 00:00:00+05:30,3035.18,3037.67,2992.24,3000.01,2945609.0,0.0,0.0,
2025-08-19 00:00:00+05:30,3000.01,3013.76,2999.91,3004.99,2650784.0,0.0,0.0,
2025-08-20 00:00:00+05:30,2999.71,3091.87,2999.71,3087.09,4952358.0,0.0,0.0,
2025-08-21 00:00:00+05:30,3118.37,3118.37,3071.64,3091.07,3230726.0,0.0,0.0,
2025-08-22 00:00:00+05:30,3074.53,3084.2,3038.67,3042.65,1593791.0,0.0,0.0,
2025-08-25 00:00:00+05:30,3075.83,3140.29,3065.67,3128.93,3448370.0,0.0,0.0,
2025-08-26 00:00:00+05:30,3117.37,3150.25,3108.41,3145.47,5522097.0,0.0,0.0,
2025-08-28 00:00:00+05:30,3133.31,3134.81,3075.03,3082.2,3116051.0,0.0,0.0,
2025-08-29 00:00:00+05:30,3081.51,3103.43,3065.77,3073.24,2271789.0,0.0,0.0,
