Date,Exchange,Segment,Debit Amount,Credit Amount,Group Name,Bill Number
09-03-2021,NSE,EQ,0.0,8493.82,Rolling,27454.0
05-03-2021,NSE,EQ,0.0,9807.76,Rolling,32699.0
22-02-2021,NSE,EQ,2973.13,0.0,Rolling,31198.0
09-02-2021,NSE,EQ,246.18,0.0,Rolling,30999.0
08-02-2021,NSE,EQ,6487.27,0.0,Rolling,32498.0
30-07-2020,NSE,EQ,397.52,0.0,Rolling,35125.0
29-07-2020,NSE,EQ,1742.08,0.0,Rolling,37622.0
27-07-2020,NSE,EQ,1231.06,0.0,Rolling,59905.0
03-07-2020,NSE,EQ,1562.3,0.0,Rolling,41287.0
15-06-2020,NSE,EQ,0.0,1670.92,Rolling,40777.0
19-05-2020,NSE,EQ,501.08,0.0,Rolling,37907.0
05-05-2020,NSE,EQ,1166.68,0.0,Rolling,45047.0
04-05-2020,NSE,EQ,419.06,0.0,Rolling,51857.0
21-04-2020,NSE,EQ,1052.56,0.0,Rolling,50792.0
