date,open,high,low,close,holding
2020-04-21,1096.34,1096.34,1029.56,1040.06,1051.4
2020-04-22,1040.06,1066.52,1010.1,1056.02,1051.4
2020-04-23,1065.12,1094.38,1047.76,1052.52,1051.4
2020-04-24,1047.76,1070.02,1029.56,1031.66,1051.4
2020-04-25,1047.76,1070.02,1029.56,1031.66,1051.4
2020-04-26,1047.76,1070.02,1029.56,1031.66,1051.4
2020-04-27,1057.42,1059.52,1040.76,1047.06,1051.4
2020-04-28,1056.02,1086.68,1047.76,1070.72,1051.4
2020-04-29,1081.08,1103.34,1067.92,1087.38,1051.4
2020-04-30,1081.08,1103.34,1067.92,1087.38,1051.4
2020-05-01,1081.08,1103.34,1067.92,1087.38,1051.4
2020-05-02,1081.08,1103.34,1067.92,1087.38,1051.4
2020-05-03,1081.08,1103.34,1067.92,1087.38,1051.4
2020-05-04,1651.29,1651.29,1539.0,1584.22,1470.4
2020-05-05,2693.53,2773.98,2541.79,2584.95,2635.9
2020-05-06,2625.5,2753.42,2559.59,2697.91,2635.9
2020-05-07,2707.86,2757.77,2635.76,2654.61,2635.9
2020-05-08,2723.42,2726.27,2559.95,2590.55,2635.9
2020-05-09,2723.42,2726.27,2559.95,2590.55,2635.9
2020-05-10,2723.42,2726.27,2559.95,2590.55,2635.9
2020-05-11,2616.55,2778.81,2556.85,2662.03,2635.9
2020-05-12,2640.83,2755.64,2564.56,2622.08,2635.9
2020-05-13,2802.18,2834.68,2635.23,2675.69,2635.9
2020-05-14,2627.52,2673.53,2585.06,2612.82,2635.9
2020-05-15,2610.22,2626.58,2564.01,2596.52,2635.9
2020-05-16,2610.22,2626.58,2564.01,2596.52,2635.9
2020-05-17,2610.22,2626.58,2564.01,2596.52,2635.9
2020-05-18,2586.22,2597.02,2421.29,2471.65,2635.9
2020-05-19,2991.86,3076.13,2912.3,2943.15,3135.9
2020-05-20,2954.4,3035.22,2931.95,2994.11,3135.9
2020-05-21,2987.26,3118.47,2983.46,3043.27,3135.9
2020-05-22,3065.21,3075.67,2997.05,3016.06,3135.9
