date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount,close,current_value
2021-10-12,EQ,BPCL,43.0,457.0,19651.0,206.01,8858.43
2021-10-13,EQ,BPCL,43.0,457.0,19651.0,207.55,8924.65
2021-10-14,EQ,BPCL,43.0,457.0,19651.0,207.85,8937.55
2021-10-15,EQ,BPCL,43.0,457.0,19651.0,207.85,8937.55
2021-10-16,EQ,BPCL,43.0,457.0,19651.0,207.85,8937.55
2021-10-17,EQ,BPCL,43.0,457.0,19651.0,207.85,8937.55
2021-10-18,EQ,BPCL,43.0,457.0,19651.0,209.29,8999.47
2021-10-19,EQ,BPCL,43.0,457.0,19651.0,205.02,8815.86
2021-10-20,EQ,BPCL,43.0,457.0,19651.0,199.61,8583.23
2021-10-21,EQ,BPCL,43.0,457.0,19651.0,204.11,8776.73
2021-10-22,EQ,BPCL,43.0,457.0,19651.0,202.39,8702.77
2021-10-23,EQ,BPCL,43.0,457.0,19651.0,202.39,8702.77
