date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4
