Date,Open,High,Low,Close,Adj Close,Volume
2018-10-30,106.180000,107.698997,106.180000,106.871002,106.871002,508320
2018-10-31,106.938004,108.580002,105.800003,108.475998,108.475998,439920
2018-11-01,108.625000,109.000000,108.101997,108.639000,108.639000,242560
2018-11-02,109.849998,110.599998,109.099998,110.182999,110.182999,563420
2018-11-05,112.389999,114.589996,109.459999,110.148003,110.148003,409630
2018-11-06,110.489998,110.919998,109.900002,110.218002,110.218002,157430
2018-11-07,111.849998,114.000000,110.099998,110.983002,110.983002,106710
2018-11-09,110.769997,111.190002,110.471001,110.821999,110.821999,169920
2018-11-12,110.901001,111.489998,109.400002,109.764000,109.764000,585760
2018-11-13,109.500000,110.940002,109.199997,110.783997,110.783997,365450
2018-11-14,111.000000,111.403999,109.964996,110.402000,110.402000,534060
2018-11-15,111.500000,111.500000,110.315002,110.793999,110.793999,237050
2018-11-16,110.900002,111.650002,110.900002,111.496002,111.496002,489890
2018-11-19,111.510002,112.400002,111.510002,112.239998,112.239998,525110
2018-11-20,111.925003,112.184998,111.360001,111.528000,111.528000,393140
2018-11-21,111.529999,111.775002,110.528000,110.702003,110.702003,281260
2018-11-22,110.970001,111.199997,110.099998,110.337997,110.337997,752790
2018-11-26,110.989998,111.449997,109.900002,111.323997,111.323997,238340
2018-11-27,111.000000,111.785004,110.754997,111.601997,111.601997,387570
2018-11-28,111.599998,112.199997,111.599998,111.959000,111.959000,372870
2018-11-29,112.419998,113.699997,112.419998,113.552002,113.552002,324500
2018-11-30,113.559998,114.000000,113.099998,113.508003,113.508003,532260
2018-12-03,113.800003,114.199997,104.699997,113.799004,113.799004,583070
2018-12-04,113.560997,113.800003,113.250000,113.616997,113.616997,443680
2018-12-05,113.293999,113.316002,112.401001,112.643997,112.643997,407820
2018-12-06,112.199997,112.199997,110.723000,111.016998,111.016998,699320
2018-12-07,111.199997,112.099998,107.000000,111.917999,111.917999,445220
2018-12-10,111.800003,111.800003,109.745003,109.883003,109.883003,1253300
2018-12-11,109.025002,110.779999,108.199997,110.584999,110.584999,1083850
2018-12-12,110.669998,112.400002,110.464996,112.168999,112.168999,382990
2018-12-13,112.529999,113.098999,112.129997,112.549004,112.549004,502230
2018-12-14,112.800003,112.800003,112.010002,112.652000,112.652000,446700
2018-12-17,112.699997,113.792000,112.699997,113.639000,113.639000,514620
2018-12-18,113.355003,114.175003,112.904999,113.911003,113.911003,239420
2018-12-19,106.000000,114.955002,106.000000,114.540001,114.540001,264750
2018-12-20,114.199997,114.870003,113.839996,114.525002,114.525002,869700
2018-12-21,114.000000,115.000000,107.525002,112.597000,112.597000,1305860
2018-12-24,113.000000,113.000000,111.629997,111.836998,111.836998,916330
2018-12-26,118.800003,118.800003,110.300003,112.382004,112.382004,343590
2018-12-27,112.800003,113.478996,112.800003,112.983002,112.983002,297520
2018-12-28,113.010002,113.889999,113.010002,113.570999,113.570999,637290
2018-12-31,113.400002,114.089996,113.400002,113.675003,113.675003,322130
2019-01-01,113.675003,114.099998,113.010002,113.984001,113.984001,307490
2019-01-02,113.664001,113.899002,112.370003,112.973000,112.973000,314230
2019-01-03,112.949997,113.197998,111.650002,111.834999,111.834999,467370
2019-01-04,111.834999,112.594002,111.410004,112.490997,112.490997,335620
2019-01-07,112.800003,113.570000,112.400002,112.561996,112.561996,384590
2019-01-08,112.540001,113.098000,112.254997,112.857002,112.857002,452840
2019-01-09,113.480003,113.480003,112.300003,113.263000,113.263000,617250
2019-01-10,113.599998,113.599998,112.870003,113.248001,113.248001,456330
2019-01-11,112.800003,113.399002,112.230003,112.686996,112.686996,658990
2019-01-14,112.879997,112.879997,111.889999,112.167000,112.167000,372120
2019-01-15,112.589996,113.699997,112.517998,113.598999,113.598999,671660
2019-01-16,113.599998,114.180000,113.426003,114.126999,114.126999,706260
2019-01-17,114.199997,114.400002,113.559998,114.148003,114.148003,501200
2019-01-18,114.148003,114.199997,113.400002,113.833000,113.833000,336650
2019-01-21,113.800003,114.689003,113.800003,114.477997,114.477997,446610
2019-01-22,114.489998,114.489998,113.699997,114.069000,114.069000,203880
2019-01-23,114.000000,114.489998,113.099998,113.315002,113.315002,347470
2019-01-24,113.315002,113.698997,112.860001,113.471001,113.471001,202270
2019-01-25,113.500000,114.300003,112.530998,112.918999,112.918999,389890
2019-01-28,112.918999,113.199997,111.481003,111.780998,111.780998,1023080
2019-01-29,112.099998,113.599998,111.029999,111.801003,111.801003,536040
2019-01-30,112.000000,112.089996,111.205002,111.595001,111.595001,249530
2019-01-31,110.955002,113.644997,110.855003,113.469002,113.469002,260900
2019-02-01,110.955002,114.733002,110.264999,113.857002,113.857002,779350
2019-02-04,113.900002,114.367996,113.110001,114.301003,114.301003,209770
2019-02-05,114.300003,114.889999,113.774002,114.711998,114.711998,3749950
2019-02-06,114.699997,116.099998,114.609001,115.447998,115.447998,6036120
2019-02-07,115.500000,116.299004,115.500000,115.697998,115.697998,174020
2019-02-08,115.500000,115.599998,114.199997,114.643997,114.643997,143910
2019-02-11,114.510002,114.510002,113.849998,114.214996,114.214996,159490
2019-02-12,114.214996,114.419998,113.474998,113.579002,113.579002,156260
2019-02-14,113.300003,113.300003,112.547997,112.856003,112.856003,390990
2019-02-15,113.000000,113.000000,111.260002,112.246002,112.246002,4427960
2019-02-18,111.800003,112.500000,111.530998,111.668999,111.668999,582840
2019-02-19,112.400002,112.599998,111.199997,111.375999,111.375999,523930
2019-02-20,111.800003,112.400002,111.535004,112.317001,112.317001,204110
2019-02-21,112.150002,112.999001,112.111000,112.766998,112.766998,272710
2019-02-22,113.000000,113.000000,112.400002,112.897003,112.897003,104130
2019-02-25,113.000000,113.839996,113.000000,113.653999,113.653999,176690
2019-02-26,113.000000,114.238998,112.599998,113.625000,113.625000,763820
2019-02-27,113.700996,114.370003,112.500000,112.914001,112.914001,849570
2019-02-28,113.224998,113.885002,113.026001,113.360001,113.360001,319960
2019-03-01,113.360001,114.158997,113.360001,113.709999,113.709999,276810
2019-03-05,113.000000,115.000000,112.199997,114.889000,114.889000,1268060
2019-03-06,114.800003,115.736000,114.800003,115.585999,115.585999,327820
2019-03-07,116.000000,116.139999,115.306000,115.750999,115.750999,488920
2019-03-08,115.500000,115.986000,115.209999,115.816002,115.816002,542060
2019-03-11,116.199997,117.272003,115.900002,117.225998,117.225998,235300
2019-03-12,117.000000,118.599998,117.000000,118.467003,118.467003,423220
2019-03-13,118.300003,118.980003,118.084999,118.823997,118.823997,235720
2019-03-14,118.989998,119.198997,118.500000,118.725998,118.725998,257490
