date,open,high,low,close,holding
2020-04-21,1085.28,1085.28,1029.56,1038.66,1051.4
2020-04-22,1035.86,1065.12,1009.4,1056.02,1051.4
2020-04-23,1067.92,1094.24,1049.02,1052.52,1051.4
2020-04-24,1043.56,1070.02,1029.56,1032.36,1051.4
2020-04-25,1043.56,1070.02,1029.56,1032.36,1051.4
2020-04-26,1043.56,1070.02,1029.56,1032.36,1051.4
2020-04-27,1056.02,1060.22,1040.76,1047.06,1051.4
2020-04-28,1052.52,1088.08,1046.36,1070.58,1051.4
2020-04-29,1077.58,1103.34,1065.12,1087.38,1051.4
2020-04-30,1195.88,1304.38,1195.88,1297.38,1051.4
2020-05-01,1195.88,1304.38,1195.88,1297.38,1051.4
2020-05-02,1195.88,1304.38,1195.88,1297.38,1051.4
2020-05-03,1195.88,1304.38,1195.88,1297.38,1051.4
2020-05-04,1642.74,1646.54,1539.0,1584.22,1470.4
2020-05-05,2696.13,2774.14,2534.9,2581.5,2635.9
2020-05-06,2611.25,2754.17,2562.15,2698.31,2635.9
2020-05-07,2692.61,2756.67,2631.41,2655.91,2635.9
2020-05-08,2720.52,2729.07,2564.55,2582.05,2635.9
2020-05-09,2720.52,2729.07,2564.55,2582.05,2635.9
2020-05-10,2720.52,2729.07,2564.55,2582.05,2635.9
2020-05-11,2574.15,2790.01,2552.0,2652.93,2635.9
2020-05-12,2635.08,2679.84,2556.32,2624.33,2635.9
2020-05-13,2775.67,2807.67,2625.28,2682.14,2635.9
2020-05-14,2600.07,2669.73,2571.76,2608.02,2635.9
2020-05-15,2623.72,2635.88,2559.61,2595.97,2635.9
2020-05-16,2623.72,2635.88,2559.61,2595.97,2635.9
2020-05-17,2623.72,2635.88,2559.61,2595.97,2635.9
2020-05-18,2627.02,2627.02,2408.49,2471.05,2635.9
2020-05-19,2995.56,3082.63,2920.35,2940.71,3135.9
2020-05-20,2931.2,3050.52,2920.75,2993.77,3135.9
