datetime,stock_name,trade_type,trade_quantity,buy_price,sell_price,holding_quantity,avg_price
2020-04-21 14:41:30,TATAMOTORS,Buy,14,75.1,,14,75.1
2020-05-04 14:33:45,TATAMOTORS,Buy,5,83.8,,19,77.39
2020-05-05 11:31:20,BHAGERIA,Buy,10,116.55,,10,116.55
2020-05-19 14:44:06,BHAGERIA,Buy,5,100.0,,15,111.03
2020-06-15 10:57:42,BHAGERIA,Sell,15,111.03,113.0,0,0.0
2020-07-03 13:31:19,TATAMOTORS,Buy,15,104.0,,34,89.13
2020-07-27 10:47:51,YESBANK,Buy,100,12.3,,100,12.3
2020-07-29 14:11:01,YESBANK,Buy,50,11.75,,150,12.12
2020-07-29 14:12:52,PNB,Buy,30,32.95,,30,32.95
2020-07-29 14:14:01,IDEA,Buy,20,8.2,,20,8.2
2020-07-30 15:15:54,IDEA,Buy,50,7.95,,70,8.02
2021-02-08 11:39:33,TATAPOWER,Buy,72,90.0,,72,90.0
2021-02-09 14:25:00,GOLDBEES,Buy,2,41.82,,2,41.82
2021-02-09 14:25:00,NIFTYBEES,Buy,1,162.52,,1,162.52
2021-02-22 11:44:35,TATAPOWER,Buy,33,90.0,,105,90.0
2021-03-04 00:00:00,HERANBA,Buy,23,627.0,,23,627.0
2021-03-05 15:24:27,HERANBA,Sell,12,627.0,820.0,11,627.0
2021-03-09 10:38:35,HERANBA,Sell,11,627.0,775.0,0,0.0
2021-04-12 10:44:33,TATAMOTORS,Buy,26,295.0,,60,178.34
2021-04-12 10:50:01,INFY,Buy,3,1434.6,,3,1434.6
2021-04-12 10:55:51,INFY,Buy,5,1433.95,,8,1434.19
2021-05-10 11:04:16,SBIN,Buy,14,365.0,,14,365.0
2021-06-04 12:10:54,GOLDBEES,Sell,2,41.82,42.03,0,0.0
2021-06-04 12:15:06,SBIN,Sell,14,365.0,436.0,0,0.0
2021-06-14 13:19:01,NIFTYBEES,Sell,1,162.52,168.95,0,0.0
2021-06-14 13:20:29,PNB,Sell,30,32.95,41.45,0,0.0
2021-06-14 13:21:53,IDEA,Sell,70,8.02,9.65,0,0.0
2021-06-14 13:23:56,INFY,Sell,8,1434.19,1457.0,0,0.0
2021-06-15 13:16:17,TATACHEM,Buy,20,751.2,,20,751.2
2021-06-15 13:36:57,VOLTAS,Buy,4,1059.0,,4,1059.0
2021-08-06 11:42:14,BPCL,Buy,43,457.0,,43,457.0
2021-11-10 13:16:26,YESBANK,Sell,150,12.12,13.0,0,0.0
2022-05-11 11:50:35,TATAMOTORS,Buy,40,385.0,,100,261.0
2022-05-11 11:58:14,TATAPOWER,Buy,64,224.75,,169,141.03
2022-05-13 00:00:00,LICI,Buy,15,904.0,,15,904.0
2022-08-10 09:15:00,VOLTAS,Sell,4,1059.0,986.0,0,0.0
2022-08-10 09:26:12,BPCL,Sell,43,457.0,328.85,0,0.0
2022-08-10 09:27:00,LICI,Sell,15,904.0,684.35,0,0.0
2022-08-10 09:30:24,TATAPOWER,Sell,19,90.0,230.15,150,147.49
2022-08-10 09:33:26,TATACHEM,Sell,20,751.2,1030.0,0,0.0
2024-06-04 12:19:21,IRCTC,Buy,3,896.2,,3,896.2
2024-06-13 13:58:03,KPITTECH,Buy,2,1500.0,,2,1500.0
