date,segment,stock_name,strike_price,quantity,buy_price,buy_amount,sell_price,sell_amount,pnl
2024-07-23,CE,NIFTY,24500,50.0,205.35,10267.5,108.9,5445.0,-4822.5
2024-07-23,CE,NIFTY,24500,25.0,205.3,5132.5,108.9,2722.5,-2410.0
2024-07-23,CE,NIFTY,24500,25.0,205.3,5132.5,108.95,2723.75,-2408.75
2024-07-26,CE,NIFTY,24600,25.0,190.7,4767.5,285.0,7125.0,2357.5
2024-07-30,CE,NIFTY,24950,25.0,105.0,2625.0,85.0,2125.0,-500.0
2024-07-30,CE,NIFTY,24950,25.0,105.0,2625.0,85.0,2125.0,-500.0
2024-07-29,CE,NIFTY,25000,75.0,100.0,7500.0,66.0,4950.0,-2550.0
2024-07-30,CE,NIFTY,25150,50.0,28.0,1400.0,28.7,1435.0,35.0
2024-07-29,CE,NIFTY,25400,100.0,9.0,900.0,10.35,1035.0,135.0
2024-06-14,PE,NIFTY,23450,25.0,124.7,3117.5,128.0,3200.0,82.5
2024-06-19,PE,NIFTY,23600,25.0,75.0,1875.0,100.0,2500.0,625.0
2024-06-24,PE,NIFTY,23550,25.0,137.7,3442.5,140.95,3523.75,81.25
2024-06-24,PE,NIFTY,23550,25.0,137.6,3440.0,140.95,3523.75,83.75
2024-06-24,PE,NIFTY,23550,25.0,137.6,3440.0,140.95,3523.75,83.75
2024-06-24,PE,NIFTY,23550,25.0,137.6,3440.0,140.95,3523.75,83.75
2024-07-02,PE,NIFTY,24150,25.0,125.0,3125.0,140.35,3508.75,383.75
2024-07-03,PE,NIFTY,24250,25.0,104.55,2613.75,56.5,1412.5,-1201.25
2024-07-03,PE,NIFTY,24250,25.0,104.55,2613.75,56.5,1412.5,-1201.25
2024-07-03,PE,NIFTY,24250,25.0,104.55,2613.75,56.5,1412.5,-1201.25
2024-07-03,PE,NIFTY,24250,25.0,104.55,2613.75,56.5,1412.5,-1201.25
2024-07-03,PE,NIFTY,24250,25.0,63.0,1575.0,56.5,1412.5,-162.5
2024-07-03,PE,NIFTY,24250,25.0,63.0,1575.0,56.5,1412.5,-162.5
2024-07-05,PE,NIFTY,24000,25.0,50.35,1258.75,57.5,1437.5,178.75
2024-07-05,PE,NIFTY,24300,25.0,119.15,2978.75,121.15,3028.75,50.0
2024-07-05,PE,NIFTY,24300,25.0,119.15,2978.75,121.15,3028.75,50.0
2024-07-05,PE,NIFTY,24300,50.0,120.0,6000.0,121.15,6057.5,57.5
2024-07-09,PE,NIFTY,24350,25.0,80.3,2007.5,80.55,2013.75,6.25
2024-07-09,PE,NIFTY,24350,75.0,80.3,6022.5,80.55,6041.25,18.75
2024-07-15,PE,NIFTY,24650,50.0,115.25,5762.5,115.75,5787.5,25.0
2024-07-18,PE,NIFTY,24650,25.0,77.7,1942.5,70.25,1756.25,-186.25
2024-07-18,PE,NIFTY,24650,25.0,77.65,1941.25,70.25,1756.25,-185.0
2024-07-18,PE,NIFTY,24650,100.0,3.0,300.0,0.0,0.0,-300.0
2024-07-22,PE,NIFTY,24600,75.0,252.15,18911.25,253.6,19020.0,108.75
2024-07-29,PE,NIFTY,24450,50.0,12.0,600.0,10.45,522.5,-77.5
2024-07-29,PE,NIFTY,24450,25.0,12.0,300.0,10.45,261.25,-38.75
2024-07-26,PE,NIFTY,24650,25.0,138.0,3450.0,106.15,2653.75,-796.25
2024-07-29,PE,NIFTY,24900,50.0,125.0,6250.0,83.85,4192.5,-2057.5
2024-07-29,PE,NIFTY,24900,25.0,125.0,3125.0,83.9,2097.5,-1027.5
2024-07-30,PE,NIFTY,24900,25.0,101.95,2548.75,102.75,2568.75,20.0
2024-07-30,PE,NIFTY,24900,25.0,101.95,2548.75,102.75,2568.75,20.0
2024-07-31,PE,NIFTY,24950,25.0,98.85,2471.25,85.45,2136.25,-335.0
2024-07-31,PE,NIFTY,25000,25.0,97.45,2436.25,104.55,2613.75,177.5
