exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage,brokerage
NSE,EQ,ADANIPORTS,ADANI PORTS LTD,LONG,10.0,2022-04-25 10:37:02,BUY,864.3,8643.0,2022-09-20 14:28:11,SELL,976.85,9768.5,1125.5,13.02,30.59
NSE,EQ,ADANIPORTS,ADANI PORTS LTD,LONG,10.0,2022-04-25 10:37:02,BUY,864.3,8643.0,2022-09-20 14:28:11,SELL,976.9,9769.0,1126.0,13.03,30.59
NSE,EQ,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES,LONG,15.0,2020-12-23 00:00:00,BUY,288.0,4320.0,2020-12-24 10:06:27,SELL,590.25,8853.75,4533.75,104.95,21.61
NSE,EQ,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES,LONG,35.0,2020-12-23 00:00:00,BUY,288.0,10080.0,2020-12-24 10:06:27,SELL,590.2,20657.0,10577.0,104.93,50.41
NSE,EQ,CARTRADE,CARTRADE TECH LIMITED,LONG,3.0,2021-08-17 00:00:00,BUY,1618.0,4854.0,2021-09-08 10:38:12,SELL,1485.5,4456.5,-397.5,-8.19,15.54
NSE,EQ,CARTRADE,CARTRADE TECH LIMITED,LONG,6.0,2021-08-17 00:00:00,BUY,1618.0,9708.0,2021-09-08 10:38:12,SELL,1485.1,8910.6,-797.4,-8.21,31.08
NSE,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,LONG,45.0,2020-09-16 00:00:00,BUY,166.0,7470.0,2020-09-17 10:01:32,SELL,383.25,17246.25,9776.25,130.87,40.44
NSE,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,LONG,45.0,2020-09-16 00:00:00,BUY,166.0,7470.0,2020-09-17 10:06:04,SELL,367.1,16519.5,9049.5,121.14,39.29
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2019-11-27 15:43:41,BUY,34.98,34.98,2023-12-14 13:04:07,SELL,87.18,87.18,52.2,149.23,0.2
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2021-07-22 10:26:23,BUY,40.39,40.39,2023-12-14 13:04:07,SELL,87.18,87.18,46.79,115.85,0.21
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,2.0,2021-08-06 09:17:51,BUY,41.06,82.12,2023-12-14 13:04:07,SELL,87.18,174.36,92.24,112.32,0.42
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2022-04-04 11:45:15,BUY,49.88,49.88,2023-12-14 13:04:07,SELL,87.18,87.18,37.3,74.78,0.23
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,5.0,2022-04-04 11:45:15,BUY,49.83,249.15,2023-12-14 13:04:07,SELL,87.18,435.9,186.75,74.95,1.13
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,2.0,2022-04-25 10:37:54,BUY,50.1,100.2,2023-12-14 13:04:07,SELL,87.18,174.36,74.16,74.01,0.45
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2022-10-04 14:48:31,BUY,52.11,52.11,2023-12-14 13:04:07,SELL,87.18,87.18,35.07,67.3,0.23
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,7.0,2022-12-06 10:37:07,BUY,57.71,403.97,2023-12-14 13:04:07,SELL,87.18,610.26,206.29,51.07,1.67
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,35.0,2022-12-06 10:37:07,BUY,57.73,2020.55,2023-12-14 13:04:07,SELL,87.18,3051.3,1030.75,51.01,8.37
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,40.0,2023-05-23 15:11:42,BUY,62.82,2512.8,2023-12-14 13:04:07,SELL,87.18,3487.2,974.4,38.78,9.92
NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,48.0,2023-05-24 11:04:39,BUY,63.03,3025.44,2023-12-14 13:04:07,SELL,87.18,4184.64,1159.2,38.32,11.93
