exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage,brokerage
FON,FO,NIFTY,NIFTY-CE-23800-27JUN2024,LONG,50.0,2024-06-26 15:00:09,BUY,121.0,6050.0,2024-06-27 10:08:12,SELL,176.85,8842.5,2792.5,46.16,56.24
FON,FO,NIFTY,NIFTY-CE-23800-27JUN2024,LONG,50.0,2024-06-26 15:00:09,BUY,121.0,6050.0,2024-06-27 10:33:11,SELL,175.0,8750.0,2700.0,44.63,56.15
FON,FO,NIFTY,NIFTY-CE-23850-07NOV2024,LONG,25.0,2024-11-05 12:38:57,BUY,220.0,5500.0,2024-11-05 12:55:18,SELL,227.8,5695.0,195.0,3.55,53.07
FON,FO,NIFTY,NIFTY-CE-23850-07NOV2024,LONG,75.0,2024-11-05 12:38:57,BUY,220.0,16500.0,2024-11-05 12:55:18,SELL,227.75,17081.25,581.25,3.52,64.81
FON,FO,NIFTY,NIFTY-CE-24000-04JUL2024,LONG,50.0,2024-07-02 12:44:33,BUY,181.55,9077.5,2024-07-02 14:54:13,SELL,201.05,10052.5,975.0,10.74,57.54
FON,FO,NIFTY,NIFTY-CE-24000-04JUL2024,LONG,50.0,2024-07-02 12:44:33,BUY,181.55,9077.5,2024-07-02 14:54:13,SELL,201.1,10055.0,977.5,10.77,57.55
FON,FO,NIFTY,NIFTY-CE-24000-07NOV2024,LONG,75.0,2024-11-04 09:30:57,BUY,274.2,20565.0,2024-11-04 09:45:30,SELL,235.65,17673.75,-2891.25,-14.06,65.53
FON,FO,NIFTY,NIFTY-CE-24000-21NOV2024,LONG,500.0,2024-11-19 11:35:37,BUY,15.0,7500.0,2024-11-21 12:38:03,SELL,0.75,375.0,-7125.0,-95.0,47.81
FON,FO,NIFTY,NIFTY-CE-24000-28NOV2024,LONG,200.0,2024-11-28 13:28:13,BUY,58.35,11670.0,2024-11-28 13:43:58,SELL,58.85,11770.0,100.0,0.86,59.34
FON,FO,NIFTY,NIFTY-CE-24050-04JUL2024,LONG,25.0,2024-07-01 11:31:03,BUY,182.85,4571.25,2024-07-01 13:45:26,SELL,191.7,4792.5,221.25,4.84,52.14
FON,FO,NIFTY,NIFTY-CE-24050-04JUL2024,LONG,75.0,2024-07-01 11:31:03,BUY,182.85,13713.75,2024-07-01 13:45:26,SELL,191.65,14373.75,660.0,4.81,62.01
FON,FO,NIFTY,NIFTY-CE-24100-04JUL2024,LONG,50.0,2024-06-28 12:13:12,BUY,170.0,8500.0,2024-06-28 14:29:25,SELL,170.0,8500.0,0.0,0.0,55.97
FON,FO,NIFTY,NIFTY-CE-24100-04JUL2024,LONG,50.0,2024-06-28 12:21:13,BUY,145.0,7250.0,2024-06-28 14:29:25,SELL,170.0,8500.0,1250.0,17.24,55.93
FON,FO,NIFTY,NIFTY-CE-24100-11JUL2024,LONG,25.0,2024-07-10 11:46:04,BUY,167.0,4175.0,2024-07-10 12:11:22,SELL,183.85,4596.25,421.25,10.09,51.93
FON,FO,NIFTY,NIFTY-CE-24100-11JUL2024,LONG,75.0,2024-07-10 11:46:04,BUY,167.0,12525.0,2024-07-10 12:11:22,SELL,183.9,13792.5,1267.5,10.12,61.39
FON,FO,NIFTY,NIFTY-CE-24150-08AUG2024,LONG,25.0,2024-08-06 14:00:50,BUY,113.75,2843.75,2024-08-06 14:10:58,SELL,90.3,2257.5,-586.25,-20.62,49.55
FON,FO,NIFTY,NIFTY-CE-24150-28NOV2024,LONG,25.0,2024-11-26 13:52:47,BUY,140.0,3500.0,2024-11-26 14:03:06,SELL,142.15,3553.75,53.75,1.54,50.87
FON,FO,NIFTY,NIFTY-CE-24150-28NOV2024,LONG,125.0,2024-11-26 13:52:47,BUY,140.0,17500.0,2024-11-26 14:03:06,SELL,142.05,17756.25,256.25,1.46,65.52
FON,FO,NIFTY,NIFTY-CE-24150-28NOV2024,LONG,150.0,2024-11-26 14:05:08,BUY,155.9,23385.0,2024-11-26 14:29:50,SELL,139.45,20917.5,-2467.5,-10.55,68.86
FON,FO,NIFTY,NIFTY-CE-24200-11JUL2024,LONG,50.0,2024-07-05 10:44:46,BUY,168.3,8415.0,2024-07-05 11:33:05,SELL,176.25,8812.5,397.5,4.72,56.28
FON,FO,NIFTY,NIFTY-CE-24200-31OCT2024,LONG,400.0,2024-10-31 13:25:05,BUY,18.0,7200.0,2024-10-31 13:44:05,SELL,24.0,9600.0,2400.0,33.33,57.03
FON,FO,NIFTY,NIFTY-CE-24250-11JUL2024,LONG,75.0,2024-07-05 12:36:40,BUY,162.6,12195.0,2024-07-05 15:12:21,SELL,185.0,13875.0,1680.0,13.78,61.47
FON,FO,NIFTY,NIFTY-CE-24300-04JUL2024,LONG,25.0,2024-07-04 11:16:40,BUY,50.0,1250.0,2024-07-04 11:23:32,SELL,52.7,1317.5,67.5,5.4,48.56
FON,FO,NIFTY,NIFTY-CE-24300-08AUG2024,LONG,25.0,2024-08-06 11:53:31,BUY,100.0,2500.0,2024-08-06 12:26:04,SELL,93.5,2337.5,-162.5,-6.5,49.62
FON,FO,NIFTY,NIFTY-CE-24300-11JUL2024,LONG,100.0,2024-07-08 15:02:08,BUY,120.0,12000.0,2024-07-09 09:47:45,SELL,145.45,14545.0,2545.0,21.21,62.13
FON,FO,NIFTY,NIFTY-CE-24300-11JUL2024,LONG,25.0,2024-07-09 10:19:25,BUY,140.0,3500.0,2024-07-09 10:20:55,SELL,137.45,3436.25,-63.75,-1.82,50.75
FON,FO,NIFTY,NIFTY-CE-24300-11JUL2024,LONG,25.0,2024-07-09 10:19:25,BUY,140.0,3500.0,2024-07-09 10:20:55,SELL,137.5,3437.5,-62.5,-1.79,50.75
FON,FO,NIFTY,NIFTY-CE-24300-11JUL2024,LONG,50.0,2024-07-09 10:19:25,BUY,140.0,7000.0,2024-07-09 10:20:55,SELL,137.55,6877.5,-122.5,-1.75,54.3
FON,FO,NIFTY,NIFTY-CE-24300-11JUL2024,LONG,25.0,2024-07-11 11:05:32,BUY,14.05,351.25,2024-07-11 14:11:00,SELL,19.95,498.75,147.5,41.99,47.71
FON,FO,NIFTY,NIFTY-CE-24300-28NOV2024,LONG,100.0,2024-11-25 11:35:33,BUY,159.0,15900.0,2024-11-25 11:36:14,SELL,148.95,14895.0,-1005.0,-6.32,62.6
FON,FO,NIFTY,NIFTY-CE-24350-08AUG2024,LONG,25.0,2024-08-07 10:45:11,BUY,98.4,2460.0,2024-08-07 14:32:12,SELL,62.45,1561.25,-898.75,-36.53,48.84
FON,FO,NIFTY,NIFTY-CE-24350-11JUL2024,LONG,100.0,2024-07-11 09:16:44,BUY,59.75,5975.0,2024-07-11 10:13:20,SELL,21.35,2135.0,-3840.0,-64.27,49.52
FON,FO,NIFTY,NIFTY-CE-24350-11JUL2024,LONG,100.0,2024-07-11 09:26:06,BUY,40.0,4000.0,2024-07-11 10:13:20,SELL,21.35,2135.0,-1865.0,-46.62,49.46
FON,FO,NIFTY,NIFTY-CE-24400-11JUL2024,LONG,150.0,2024-07-09 12:44:04,BUY,89.0,13350.0,2024-07-09 13:17:26,SELL,117.1,17565.0,4215.0,31.57,65.2
FON,FO,NIFTY,NIFTY-CE-24400-11JUL2024,SHORT,25.0,2024-07-11 11:05:32,SELL,4.3,107.5,2024-07-11 14:09:06,BUY,2.5,62.5,45.0,41.86,47.27
FON,FO,NIFTY,NIFTY-CE-24500-05DEC2024,LONG,300.0,2024-12-02 15:19:14,BUY,60.0,18000.0,2024-12-03 10:34:38,SELL,90.0,27000.0,9000.0,50.0,74.79
FON,FO,NIFTY,NIFTY-CE-24500-12DEC2024,LONG,50.0,2024-11-29 13:26:37,BUY,120.6,6030.0,2024-12-02 14:53:27,SELL,158.5,7925.0,1895.0,31.43,55.32
FON,FO,NIFTY,NIFTY-CE-24500-12DEC2024,LONG,50.0,2024-11-29 13:26:37,BUY,120.6,6030.0,2024-12-02 14:53:27,SELL,158.6,7930.0,1900.0,31.51,55.32
FON,FO,NIFTY,NIFTY-CE-24500-14AUG2024,LONG,25.0,2024-08-09 14:47:44,BUY,89.5,2237.5,2024-08-12 09:43:40,SELL,50.3,1257.5,-980.0,-43.8,48.53
FON,FO,NIFTY,NIFTY-CE-24500-14NOV2024,LONG,500.0,2024-11-08 11:13:07,BUY,40.0,20000.0,2024-11-11 11:50:11,SELL,48.0,24000.0,4000.0,20.0,71.84
FON,FO,NIFTY,NIFTY-CE-24500-14NOV2024,LONG,25.0,2024-11-12 09:15:48,BUY,24.0,600.0,2024-11-12 12:13:01,SELL,12.65,316.25,-283.75,-47.29,47.54
FON,FO,NIFTY,NIFTY-CE-24500-14NOV2024,LONG,475.0,2024-11-12 09:15:48,BUY,23.95,11376.25,2024-11-12 12:13:01,SELL,12.65,6008.75,-5367.5,-47.18,53.57
FON,FO,NIFTY,NIFTY-CE-24500-25JUL2024,LONG,25.0,2024-07-23 11:27:49,BUY,205.3,5132.5,2024-07-23 12:22:03,SELL,108.9,2722.5,-2410.0,-46.96,50.08
FON,FO,NIFTY,NIFTY-CE-24500-25JUL2024,LONG,25.0,2024-07-23 11:27:49,BUY,205.3,5132.5,2024-07-23 12:22:03,SELL,108.95,2723.75,-2408.75,-46.93,50.09
FON,FO,NIFTY,NIFTY-CE-24500-25JUL2024,LONG,50.0,2024-07-23 11:27:49,BUY,205.35,10267.5,2024-07-23 12:22:03,SELL,108.9,5445.0,-4822.5,-46.97,52.97
FON,FO,NIFTY,NIFTY-CE-24600-01AUG2024,LONG,25.0,2024-07-26 12:20:50,BUY,190.7,4767.5,2024-07-26 13:22:36,SELL,285.0,7125.0,2357.5,49.45,54.48
FON,FO,NIFTY,NIFTY-CE-24600-18JUL2024,LONG,100.0,2024-07-18 09:47:51,BUY,49.65,4965.0,2024-07-18 09:57:15,SELL,87.1,8710.0,3745.0,75.43,56.07
FON,FO,NIFTY,NIFTY-CE-24650-18JUL2024,LONG,25.0,2024-07-16 13:57:37,BUY,70.05,1751.25,2024-07-18 09:55:59,SELL,56.45,1411.25,-340.0,-19.41,48.67
FON,FO,NIFTY,NIFTY-CE-24650-18JUL2024,LONG,25.0,2024-07-16 13:57:37,BUY,70.1,1752.5,2024-07-18 09:55:59,SELL,56.45,1411.25,-341.25,-19.47,48.67
FON,FO,NIFTY,NIFTY-CE-24650-18JUL2024,LONG,100.0,2024-07-18 10:14:50,BUY,50.0,5000.0,2024-07-18 10:22:23,SELL,40.0,4000.0,-1000.0,-20.0,51.36
FON,FO,NIFTY,NIFTY-CE-24650-18JUL2024,LONG,100.0,2024-07-18 12:00:26,BUY,17.15,1715.0,2024-07-18 12:18:21,SELL,51.0,5100.0,3385.0,197.38,52.36
FON,FO,NIFTY,NIFTY-CE-24650-22AUG2024,LONG,25.0,2024-08-21 11:14:07,BUY,100.0,2500.0,2024-08-21 12:46:47,SELL,114.0,2850.0,350.0,14.0,50.13
FON,FO,NIFTY,NIFTY-CE-24700-08AUG2024,LONG,25.0,2024-08-02 15:07:27,BUY,140.0,3500.0,2024-08-05 09:32:11,SELL,30.0,750.0,-2750.0,-78.57,48.06
FON,FO,NIFTY,NIFTY-CE-24750-17OCT2024,LONG,1800.0,2024-10-17 15:08:07,BUY,1.6,2880.0,2024-10-17 15:10:41,SELL,4.0,7200.0,4320.0,150.0,54.5
FON,FO,NIFTY,NIFTY-CE-24750-17OCT2024,LONG,1800.0,2024-10-17 15:19:54,BUY,1.65,2970.0,2024-10-17 15:20:43,SELL,1.05,1890.0,-1080.0,-36.36,49.18
FON,FO,NIFTY,NIFTY-CE-24750-22AUG2024,LONG,25.0,2024-08-19 12:02:17,BUY,40.0,1000.0,2024-08-19 13:03:28,SELL,45.0,1125.0,125.0,12.5,48.36
FON,FO,NIFTY,NIFTY-CE-24750-22AUG2024,LONG,25.0,2024-08-21 10:25:16,BUY,88.35,2208.75,2024-08-21 12:46:47,SELL,55.65,1391.25,-817.5,-37.01,48.66
FON,FO,NIFTY,NIFTY-CE-24800-17OCT2024,EXPIRED,1800.0,2024-10-17 15:25:52,BUY,0.05,90.0,2024-10-17 15:30:00,EXPIRED,0.0,0.0,-90.0,-100.0,47.2
FON,FO,NIFTY,NIFTY-CE-24800-22AUG2024,LONG,100.0,2024-08-22 13:55:55,BUY,19.1,1910.0,2024-08-22 14:48:44,SELL,10.65,1065.0,-845.0,-44.24,48.33
FON,FO,NIFTY,NIFTY-CE-24800-22AUG2024,LONG,50.0,2024-08-22 14:46:22,BUY,14.05,702.5,2024-08-22 15:15:25,SELL,6.5,325.0,-377.5,-53.74,47.55
FON,FO,NIFTY,NIFTY-CE-24800-22AUG2024,LONG,50.0,2024-08-22 14:46:22,BUY,14.1,705.0,2024-08-22 15:15:25,SELL,6.5,325.0,-380.0,-53.9,47.55
FON,FO,NIFTY,NIFTY-CE-24850-12SEP2024,LONG,50.0,2024-09-09 12:41:07,BUY,120.0,6000.0,2024-09-09 12:56:32,SELL,125.0,6250.0,250.0,4.17,53.64
FON,FO,NIFTY,NIFTY-CE-24850-12SEP2024,LONG,50.0,2024-09-10 10:54:59,BUY,140.6,7030.0,2024-09-10 11:24:39,SELL,158.55,7927.5,897.5,12.77,55.35
FON,FO,NIFTY,NIFTY-CE-24850-22AUG2024,LONG,25.0,2024-08-20 11:27:40,BUY,34.6,865.0,2024-08-21 12:46:47,SELL,21.4,535.0,-330.0,-38.15,47.76
FON,FO,NIFTY,NIFTY-CE-24850-22AUG2024,LONG,25.0,2024-08-22 10:28:46,BUY,14.65,366.25,2024-08-22 10:50:56,SELL,14.9,372.5,6.25,1.71,47.58
