Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,238.500000,239.899994,235.000000,239.100006,239.100006,5661460
2023-10-31,240.500000,241.850006,238.250000,239.350006,239.350006,6266858
2023-11-01,239.949997,240.250000,236.300003,236.899994,236.899994,4027707
2023-11-02,238.000000,245.050003,238.000000,244.800003,244.800003,9816661
2023-11-03,245.850006,246.149994,243.899994,244.600006,244.600006,5030180
2023-11-06,247.000000,251.199997,245.600006,249.550003,249.550003,9389448
2023-11-07,249.949997,252.000000,248.899994,249.800003,249.800003,7066697
2023-11-08,252.899994,256.350006,251.500000,254.949997,254.949997,13131393
2023-11-09,254.000000,254.000000,247.199997,248.000000,248.000000,15388769
2023-11-10,248.000000,251.850006,246.850006,251.399994,251.399994,6974541
2023-11-13,252.750000,258.500000,251.250000,257.049988,257.049988,10251490
2023-11-15,259.200012,262.250000,258.100006,259.200012,259.200012,8436750
2023-11-16,259.399994,265.500000,259.350006,262.450012,262.450012,13551131
2023-11-17,262.899994,264.950012,261.399994,262.649994,262.649994,6452353
2023-11-20,263.850006,264.399994,260.100006,260.850006,260.850006,4859705
2023-11-21,263.750000,265.399994,260.750000,262.649994,262.649994,6931541
2023-11-22,263.399994,263.600006,259.250000,262.100006,262.100006,4537969
2023-11-23,262.100006,263.750000,259.799988,260.750000,260.750000,5466513
2023-11-24,261.399994,261.899994,257.049988,258.149994,258.149994,7153583
2023-11-28,259.399994,271.399994,258.500000,270.799988,270.799988,24745437
2023-11-29,275.000000,275.700012,271.500000,273.399994,273.399994,26392589
2023-11-30,273.000000,273.000000,265.100006,267.899994,267.899994,20403510
2023-12-01,270.000000,278.500000,268.549988,276.000000,276.000000,32159928
2023-12-04,285.000000,286.000000,278.899994,281.549988,281.549988,28890541
2023-12-05,283.000000,283.200012,276.500000,281.500000,281.500000,21565252
2023-12-06,281.549988,298.600006,280.200012,294.149994,294.149994,45934967
2023-12-07,295.000000,332.149994,292.149994,325.799988,325.799988,152381610
2023-12-08,331.950012,335.950012,318.100006,323.549988,323.549988,74992149
2023-12-11,325.399994,335.299988,322.350006,333.649994,333.649994,40351523
2023-12-12,335.000000,335.000000,327.600006,330.799988,330.799988,22627713
2023-12-13,332.100006,340.500000,329.750000,338.149994,338.149994,33632037
2023-12-14,340.899994,341.899994,335.000000,335.399994,335.399994,16560229
2023-12-15,337.399994,338.500000,331.799988,333.200012,333.200012,17080409
2023-12-18,339.000000,340.299988,334.399994,337.049988,337.049988,15561817
2023-12-19,338.500000,338.500000,330.450012,335.899994,335.899994,11713755
2023-12-20,336.700012,346.899994,318.000000,320.149994,320.149994,40678163
2023-12-21,318.000000,330.700012,312.700012,328.549988,328.549988,26393082
2023-12-22,331.000000,332.000000,323.549988,326.649994,326.649994,15179674
2023-12-26,328.549988,331.399994,325.000000,325.399994,325.399994,11314266
2023-12-27,327.049988,329.899994,321.649994,324.850006,324.850006,10349372
2023-12-28,326.600006,331.000000,324.000000,329.799988,329.799988,16182026
2023-12-29,330.100006,336.000000,326.049988,332.149994,332.149994,19909151
2024-01-01,333.899994,335.850006,328.149994,330.299988,330.299988,10096386
2024-01-02,331.700012,332.700012,319.600006,329.850006,329.850006,15689859
2024-01-03,329.600006,329.600006,324.850006,326.700012,326.700012,9954264
2024-01-04,326.799988,340.799988,326.799988,337.850006,337.850006,26968463
2024-01-05,339.350006,349.700012,336.149994,340.750000,340.750000,37557423
2024-01-08,344.000000,344.000000,337.350006,338.950012,338.950012,14548833
2024-01-09,341.649994,344.850006,338.049988,340.200012,340.200012,14504090
2024-01-10,342.200012,348.750000,340.750000,346.450012,346.450012,23432704
2024-01-11,349.450012,360.000000,347.850006,357.299988,357.299988,33499272
2024-01-12,361.649994,361.850006,356.549988,357.750000,357.750000,20933438
2024-01-15,359.649994,360.200012,353.000000,358.899994,358.899994,12869181
2024-01-16,358.950012,360.700012,349.000000,353.450012,353.450012,14129539
2024-01-17,352.399994,355.350006,346.500000,348.799988,348.799988,12084011
2024-01-18,347.799988,350.000000,335.299988,345.549988,345.549988,16863929
2024-01-19,348.000000,351.299988,345.100006,348.649994,348.649994,13483525
